SOC_lo,SOC_hi,I_lo,I_hi,temp_set_C,T_cell_C,n,R_mOhm,g,Ea_kJ_mol
0.0,0.15,0.0,8.0,-20,-19.56,1,194.4213,8.96476,25.69
0.0,0.15,0.0,8.0,-10,-10.1,1,119.816,5.52472,25.69
0.0,0.15,0.0,8.0,0,-0.32,3,100.6647,4.64165,25.69
0.0,0.15,0.0,8.0,10,9.57,3,44.2658,2.0411,25.69
0.0,0.15,0.0,8.0,25,24.03,4,21.6873,1.0,25.69
0.0,0.15,0.0,8.0,40,38.8,5,14.385,0.66329,25.69
0.0,0.15,8.0,22.0,-10,-9.78,1,99.3728,5.82556,24.78
0.0,0.15,8.0,22.0,0,-0.32,1,108.3154,6.34981,24.78
0.0,0.15,8.0,22.0,25,24.08,1,17.0581,1.0,24.78
0.0,0.15,8.0,22.0,40,38.7,3,16.348,0.95837,24.78
0.15,0.3,0.0,8.0,-20,-19.77,6,166.9141,10.93395,30.17
0.15,0.3,0.0,8.0,-10,-9.78,4,75.297,4.93244,30.17
0.15,0.3,0.0,8.0,0,-0.47,4,39.9694,2.61826,30.17
0.15,0.3,0.0,8.0,10,9.46,3,23.4931,1.53895,30.17
0.15,0.3,0.0,8.0,25,24.03,4,15.2657,1.0,30.17
0.15,0.3,0.0,8.0,40,38.75,4,12.1321,0.79473,30.17
0.15,0.3,8.0,22.0,-20,-19.66,1,74.4438,5.0822,22.97
0.15,0.3,8.0,22.0,-10,-9.72,4,57.1094,3.8988,22.97
0.15,0.3,8.0,22.0,0,-0.32,2,35.8157,2.4451,22.97
0.15,0.3,8.0,22.0,10,9.52,2,22.3926,1.52872,22.97
0.15,0.3,8.0,22.0,25,24.09,2,14.6479,1.0,22.97
0.15,0.3,8.0,22.0,40,38.75,2,11.692,0.7982,22.97
0.15,0.3,22.0,100.0,0,-0.42,2,36.3535,2.451,20.22
0.15,0.3,22.0,100.0,10,9.46,2,23.628,1.59303,20.22
0.15,0.3,22.0,100.0,25,24.13,2,14.8321,1.0,20.22
0.15,0.3,22.0,100.0,40,38.8,2,11.6324,0.78427,20.22
0.3,0.45,0.0,8.0,-20,-19.98,5,104.4212,7.48657,25.31
0.3,0.45,0.0,8.0,-10,-9.57,3,51.4759,3.69061,25.31
0.3,0.45,0.0,8.0,0,-0.32,3,30.8783,2.21385,25.31
0.3,0.45,0.0,8.0,10,9.46,4,20.4913,1.46914,25.31
0.3,0.45,0.0,8.0,25,24.08,3,13.9478,1.0,25.31
0.3,0.45,0.0,8.0,40,38.59,3,11.5709,0.82959,25.31
0.3,0.45,8.0,22.0,-20,-19.45,1,65.3317,4.78011,20.18
0.3,0.45,8.0,22.0,-10,-9.99,2,41.8373,3.06111,20.18
0.3,0.45,8.0,22.0,0,-0.63,1,29.5328,2.16082,20.18
0.3,0.45,8.0,22.0,10,9.57,1,19.3381,1.41491,20.18
0.3,0.45,8.0,22.0,25,24.08,1,13.6674,1.0,20.18
0.3,0.45,8.0,22.0,40,38.8,1,11.3705,0.83194,20.18
0.3,0.45,22.0,100.0,0,-0.32,1,26.8204,2.00547,15.68
0.3,0.45,22.0,100.0,10,9.57,1,18.3357,1.37104,15.68
0.3,0.45,22.0,100.0,25,24.19,1,13.3736,1.0,15.68
0.3,0.45,22.0,100.0,40,38.7,1,11.1513,0.83383,15.68
0.45,0.6,0.0,8.0,-20,-19.93,4,85.6376,5.57255,22.33
0.45,0.6,0.0,8.0,-10,-9.99,3,48.7904,3.17486,22.33
0.45,0.6,0.0,8.0,0,-0.53,4,31.6204,2.05758,22.33
0.45,0.6,0.0,8.0,10,9.46,3,20.2557,1.31806,22.33
