cell,cycle,n,bad_frac,T_min,T_med,T_lowV_med,note
BOOST,5,35055,0.0,24.77,25.91,25.84,
BOOST,40,35031,0.0,24.52,25.97,25.98,
BOOST,76,35001,0.0,24.64,25.95,25.93,
BOOST,112,35041,0.0,24.65,25.98,26.0,
BOOST,150,35073,0.0,24.47,25.81,25.89,
BOOST,187,35054,0.0,24.02,25.84,25.89,
BOOST,225,35060,0.0,24.41,25.73,25.7,
BOOST,262,35034,0.0,24.52,25.99,26.0,
BOOST,300,35018,0.0,24.67,26.15,26.18,
BOOST,337,35055,0.0,24.51,26.13,26.09,
BOOST,375,35019,0.0,24.24,26.02,26.05,
BOOST,412,34472,0.0,22.98,25.73,25.51,
BOOST,450,35034,0.0,24.03,26.0,25.97,
BOOST,487,35064,0.0,24.63,25.8,25.81,
BOOST,525,34957,0.0,24.0,26.01,26.03,
BOOST,562,34992,0.0,24.68,25.87,25.87,
BOOST,600,34977,0.0,24.91,25.96,25.98,
BOOST,637,34950,0.0,24.84,25.97,25.95,
BOOST,675,34953,0.0,24.8,25.95,25.96,
BOOST,712,34902,0.0,24.83,26.11,26.07,
BOOST,750,34873,0.0,24.13,26.06,26.11,
BOOST,787,34876,0.0,24.27,26.12,26.15,
BOOST,825,34842,0.0,24.36,26.11,26.05,
BOOST,862,34836,0.0,23.04,26.11,26.0,
BOOST,900,34834,0.0,25.35,26.85,26.8,
BOOST,937,34802,0.0,25.36,26.78,26.73,
BOOST,975,34752,0.0,21.46,26.16,26.18,
BOOST,1012,34790,0.0,24.37,26.17,26.14,
BOOST,1050,34744,0.0,24.25,26.17,26.19,
BOOST,1087,34713,0.0,24.24,26.14,26.07,
BOOST,1125,34662,0.0,23.45,26.23,26.24,
BOOST,1162,34663,0.0,24.55,26.23,26.21,
BOOST,1200,34617,0.0,24.49,26.24,26.18,
BOOST,1237,34574,0.0,24.63,26.15,26.19,
BOOST,1275,34558,0.0,24.75,26.15,26.11,
BOOST,1312,34489,0.0,24.39,25.93,25.89,
BOOST,1350,34482,0.0,24.2,25.93,25.97,
BOOST,1387,34507,0.0,24.03,25.99,25.96,
BOOST,1425,34470,0.0,24.01,25.93,25.79,
BOOST,1462,34348,1.0,-0.58,0.0,0.01,
BOOST,1500,34266,0.0,24.21,26.01,25.99,
