temp_set_C,T_cell_C,SOC,direction,rate_rank,I_A,V_pre_V,rest_before_s,n_points,R0_mOhm,R1_mOhm,tau1_s,R2_mOhm,tau2_s,fit_rmse_mV,file
-20,-21.66,1.0,discharge,0,-1.499,4.17871,99999.0,101,46.4624,119.8614,0.6336,55.6494,4.3985,1.3076,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-23.13,1.0,discharge,1,-3.001,4.17753,869.6,101,79.6452,95.1923,0.4714,25.41,2.9986,1.1042,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-22.5,0.9999,discharge,2,-6.0,4.17753,1127.7,101,61.299,61.2861,0.3146,14.6416,1.6076,0.6967,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-20.82,0.9999,discharge,3,-11.999,4.1777,1455.3,101,46.827,31.2964,0.2121,10.7728,1.1008,0.5226,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-20.19,0.95,discharge,0,-1.497,4.0742,5882.2,101,39.7661,84.1823,0.3926,33.1008,2.9034,1.2053,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-20.51,0.95,discharge,1,-3.001,4.07488,687.7,101,47.6941,64.9486,0.3643,20.185,3.7292,0.5599,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-20.82,0.95,discharge,2,-6.0,4.07572,611.2,101,45.5186,45.7159,0.2721,14.237,3.2305,0.8526,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-20.19,0.9499,discharge,3,-11.999,4.07673,620.6,101,40.8539,27.4442,0.2205,8.8828,2.8378,1.4598,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.98,0.9,discharge,0,-1.499,4.06038,4829.0,101,38.5128,73.2279,0.324,28.5475,3.6401,1.0388,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.66,0.9,discharge,1,-3.001,4.06123,685.6,101,45.3648,53.1124,0.3222,19.5217,4.6762,0.6991,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.45,0.9,charge,0,1.042,4.06881,73.6,58,42.8072,83.1648,0.1444,0.01,3000.0,0.7774,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.66,0.9,discharge,2,-6.0,4.06207,626.1,101,42.0731,38.0801,0.2504,13.7425,4.0735,1.4015,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.56,0.9,charge,1,1.04,4.07404,107.6,38,70.1943,50.9374,0.0775,0.01,3000.0,0.0619,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.77,0.8999,discharge,3,-11.999,4.06291,621.3,101,37.5768,25.3128,0.2012,9.4221,3.6956,1.7694,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.24,0.9,charge,2,1.04,4.0801,174.1,30,101.6466,13.6538,0.0809,0.0104,2999.7222,0.0878,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.45,0.8,discharge,0,-1.499,3.97677,5431.5,101,35.9972,56.8348,0.2292,27.7099,4.768,0.8351,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.98,0.8,discharge,1,-3.001,3.98082,685.8,101,45.6331,42.4374,0.2532,21.3661,5.0699,0.6848,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.87,0.8,charge,0,1.497,3.98959,73.8,101,38.2539,54.6687,0.221,18.0699,4.8576,0.6604,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.87,0.7999,discharge,2,-6.0,3.98369,627.2,101,44.1973,30.2125,0.2208,14.8206,4.5217,0.9734,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.77,0.8,charge,1,2.098,3.99734,107.7,96,35.537,26.9732,0.0985,34.0764,0.3597,0.211,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.56,0.7999,discharge,3,-11.999,3.98672,632.9,101,37.5328,21.058,0.1844,10.3764,4.28,1.7708,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.03,0.8,charge,2,2.163,4.00661,175.1,87,56.0318,33.3576,0.1026,0.01,2999.9994,0.3557,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.87,0.7,discharge,0,-1.497,3.87766,5434.7,101,35.1333,53.9996,0.2078,21.3959,5.001,0.6147,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.77,0.7,discharge,1,-3.001,3.88086,685.5,101,46.3812,35.2885,0.2331,16.7835,5.2609,0.5871,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-19.77,0.7,charge,0,1.497,3.93278,73.7,100,27.5338,29.1377,0.2424,15.9784,5.3179,0.3732,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
-20,-20.09,0.6999,discharge,2,-6.0,3.8839,626.9,101,40.6572,29.6067,0.1768,12.5281,4.3376,1.3711,06-28-19_20.09 866_HPPC_-20degC_IN21700_30T.mat
