T_C,SOC,Ah,Direction,CRate,OCV_V,R_mOhm
-20.0,1.0,0,discharge,0.5,4.1787146615,216.63783980000002
-20.0,0.95,0.15000000000000013,discharge,0.5,4.0742046538,156.40378939999997
-20.0,0.9,0.29999999999999993,discharge,0.5,4.0603823625,139.09811020000026
-20.0,0.8,0.5999999999999999,discharge,0.5,3.9767743563,117.6330448000001
-20.0,0.7,0.9000000000000001,discharge,0.5,3.8776584136,107.85436046666655
-20.0,0.6,1.2000000000000002,discharge,0.5,3.7898362942,99.87389540000002
-20.0,0.5,1.5,discharge,0.5,3.6949344647,101.89441800000024
-20.0,0.4,1.7999999999999998,discharge,0.5,3.6189118623,104.81435446666659
-20.0,0.3,2.0999999999999996,discharge,0.5,3.5494632766,125.93878333333328
-20.0,0.2,2.4000000000000004,discharge,0.5,3.4515272855,178.52685066666663
-20.0,0.15,2.55,discharge,0.5,3.4073633791,228.5315874
-20.0,1.0,0,discharge,1.0,4.1787146615,200.07104709999996
-20.0,0.95,0.15000000000000013,discharge,1.0,4.0742046538,131.52263486666655
-20.0,0.9,0.29999999999999993,discharge,1.0,4.0603823625,115.67795676666674
-20.0,0.8,0.5999999999999999,discharge,1.0,3.9767743563,105.45110019999997
-20.0,0.7,0.9000000000000001,discharge,1.0,3.8776584136,95.16787916666658
-20.0,0.6,1.2000000000000002,discharge,1.0,3.7898362942,92.30137140000005
-20.0,0.5,1.5,discharge,1.0,3.6949344647,91.68223180000012
-20.0,0.4,1.7999999999999998,discharge,1.0,3.6189118623,95.44583579999995
-20.0,0.3,2.0999999999999996,discharge,1.0,3.5494632766,103.70441446666665
-20.0,0.2,2.4000000000000004,discharge,1.0,3.4515272855,156.0126764666667
-20.0,0.15,2.55,discharge,1.0,3.4073633791,236.52704833333334
-20.0,1.0,0,discharge,2.0,4.1787146615,137.34318581666665
-20.0,0.95,0.15000000000000013,discharge,2.0,4.0742046538,104.78265996666666
-20.0,0.9,0.29999999999999993,discharge,2.0,4.0603823625,92.6463530333334
-20.0,0.8,0.5999999999999999,discharge,2.0,3.9767743563,86.69013118333332
-20.0,0.7,0.9000000000000001,discharge,2.0,3.8776584136,80.76191333333334
-20.0,0.6,1.2000000000000002,discharge,2.0,3.7898362942,78.87916953333337
-20.0,0.5,1.5,discharge,2.0,3.6949344647,78.65387910000007
-20.0,0.4,1.7999999999999998,discharge,2.0,3.6189118623,83.12024805000003
-20.0,0.3,2.0999999999999996,discharge,2.0,3.5494632766,89.66554563333337
-20.0,0.2,2.4000000000000004,discharge,2.0,3.4515272855,142.64860545000002
-20.0,1.0,0,discharge,4.0,4.1787146615,89.03910430833332
-20.0,0.95,0.15000000000000013,discharge,4.0,4.0742046538,76.87448334166665
-20.0,0.9,0.29999999999999993,discharge,4.0,4.0603823625,71.66317001666671
-20.0,0.8,0.5999999999999999,discharge,4.0,3.9767743563,67.33658936666667
-20.0,0.7,0.9000000000000001,discharge,4.0,3.8776584136,64.61127194999997
-20.0,0.6,1.2000000000000002,discharge,4.0,3.7898362942,64.33008835833336
-20.0,0.5,1.5,discharge,4.0,3.6949344647,64.55456056666668
-20.0,0.4,1.7999999999999998,discharge,4.0,3.6189118623,65.22857693333336
-20.0,0.3,2.0999999999999996,discharge,4.0,3.5494632766,74.007477075
-20.0,0.9,0.29999999999999993,charge,0.25,4.0603823625,150.35955933333275
-20.0,0.8,0.5999999999999999,charge,0.25,3.9767743563,120.91695519999963
-20.0,0.7,0.9000000000000001,charge,0.25,3.8776584136,113.0506104000002
