protocol,cycle,SOH,CAP_Ah,SOC,soc_group,direction,rate_rank,I_A,CRate_rated,tau_s,tau_actual_s,V_pre_V,V_tau_V,R_mOhm,file
BOOST,5,0.99876,2.99189,1.0,0,discharge,0,-2.993,0.998,10.0,9.9,4.18,4.1302,16.6377,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.9999,0,discharge,1,-11.968,3.989,10.0,9.9,4.1789,3.9924,15.5832,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.9998,1,discharge,0,-23.931,7.977,10.0,9.9,4.1797,3.8287,14.6672,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.9997,2,discharge,0,-34.396,11.465,10.0,9.9,4.1797,3.7029,13.8621,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.95,4,discharge,0,-2.992,0.997,10.0,9.9,4.1036,4.06,14.5741,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.9499,4,discharge,1,-11.967,3.989,10.0,9.9,4.1036,3.9378,13.8548,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.9498,4,discharge,2,-23.931,7.977,10.0,9.9,4.1037,3.792,13.0249,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.9497,5,discharge,0,-34.4,11.467,10.0,9.9,4.1041,3.6704,12.6076,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.9001,7,discharge,0,-2.993,0.998,10.0,9.9,4.0824,4.0395,14.3315,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.9001,7,discharge,1,-11.968,3.989,10.0,9.9,4.0823,3.9195,13.6029,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.9,7,discharge,2,-23.932,7.977,10.0,9.9,4.0818,3.7745,12.8405,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.8999,8,discharge,0,-34.4,11.467,10.0,9.9,4.0828,3.6502,12.5756,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.8004,10,discharge,0,-2.994,0.998,10.0,9.9,4.0257,3.9779,15.9674,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.8004,10,discharge,1,-11.967,3.989,10.0,9.9,4.0265,3.8459,15.0915,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.8003,10,discharge,2,-23.93,7.977,10.0,9.9,4.0269,3.6928,13.9616,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.8002,10,discharge,3,-34.4,11.467,10.0,9.9,4.0271,3.5657,13.4128,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.7007,12,discharge,0,-2.994,0.998,10.0,9.9,3.9211,3.8709,16.7691,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.7007,12,discharge,1,-11.967,3.989,10.0,9.9,3.9211,3.7428,14.8993,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.7006,13,discharge,0,-23.931,7.977,10.0,9.9,3.9214,3.598,13.5139,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.7005,14,discharge,0,-34.399,11.466,10.0,9.9,3.9219,3.4768,12.9393,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.601,16,discharge,0,-2.995,0.998,10.0,9.9,3.851,3.799,17.3605,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.601,16,discharge,1,-11.965,3.988,10.0,9.9,3.8513,3.6705,15.1107,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.6008,16,discharge,2,-23.932,7.977,10.0,9.9,3.8519,3.5228,13.7515,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.6008,16,discharge,3,-34.4,11.467,10.0,9.9,3.8525,3.3984,13.2006,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.5013,18,discharge,0,-2.993,0.998,10.0,9.9,3.7273,3.6853,14.0318,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.5012,18,discharge,1,-11.967,3.989,10.0,9.9,3.7266,3.5661,13.4119,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.5012,18,discharge,2,-23.932,7.977,10.0,9.9,3.7275,3.4155,13.0369,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.5011,19,discharge,0,-34.398,11.466,10.0,9.9,3.7274,3.2887,12.7536,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.4016,21,discharge,0,-2.993,0.998,10.0,9.9,3.6473,3.6068,13.5302,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.4015,21,discharge,1,-11.968,3.989,10.0,9.9,3.6474,3.4873,13.3773,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.4014,21,discharge,2,-23.931,7.977,10.0,9.9,3.6475,3.3372,12.9664,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.4014,22,discharge,0,-34.399,11.466,10.0,9.9,3.6478,3.2112,12.6922,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.3019,24,discharge,0,-2.995,0.998,10.0,9.9,3.5889,3.5482,13.5873,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.3018,24,discharge,1,-11.968,3.989,10.0,9.9,3.5889,3.4281,13.4358,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
BOOST,5,0.99876,2.99189,0.3017,24,discharge,2,-23.932,7.977,10.0,9.9,3.5885,3.2757,13.0704,05-03-21_20.24_BOOST_protocol_HPPC_IN21700_30T_cycle_#5.mat
