protocol,cycle,SOH,CAP_Ah,SOC,soc_group,direction,rate_rank,I_A,CRate_rated,tau_s,tau_actual_s,V_pre_V,V_tau_V,R_mOhm,file
CC,5,0.99952,2.97197,1.0,0,discharge,0,-2.975,0.992,10.0,9.9,4.1803,4.1307,16.6717,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9999,0,discharge,1,-11.889,3.963,10.0,9.9,4.1801,3.9926,15.7709,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9998,0,discharge,2,-23.775,7.925,10.0,9.9,4.1801,3.8289,14.7718,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9996,0,discharge,3,-34.174,11.391,10.0,9.9,4.1798,3.7034,13.9404,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9501,1,discharge,0,-2.973,0.991,10.0,9.9,4.104,4.0604,14.6638,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.95,1,discharge,1,-11.889,3.963,10.0,9.9,4.104,3.9381,13.9541,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9499,1,discharge,2,-23.776,7.925,10.0,9.9,4.1041,3.7926,13.1014,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9498,1,discharge,3,-34.172,11.391,10.0,9.9,4.1044,3.6713,12.6741,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9005,2,discharge,0,-2.971,0.99,10.0,9.9,4.0828,4.0396,14.5406,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9005,2,discharge,1,-11.889,3.963,10.0,9.9,4.0826,3.9195,13.7186,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
