temp_set_C,temp_cell_C,SOC,SOP_meas_W,SOP_pred_W,error_W,limit_hit
40,40.4,1.000,107.37,,,out-of-hull
40,40.4,0.950,106.69,107.91,+1.22,current
40,40.4,0.900,106.24,106.64,+0.40,current
40,40.4,0.800,104.41,103.91,-0.50,current
40,40.4,0.700,102.29,101.32,-0.97,current
40,40.4,0.600,99.49,98.19,-1.30,current
40,40.4,0.500,96.69,95.36,-1.33,current
40,40.4,0.400,94.16,90.62,-3.53,current
40,40.4,0.300,91.24,83.01,-8.23,current
40,40.4,0.200,85.68,,,out-of-hull
40,40.4,0.150,81.56,,,out-of-hull
40,40.4,0.100,69.59,,,out-of-hull
40,40.4,0.050,43.89,,,out-of-hull
40,40.4,0.020,25.23,,,out-of-hull
25,25.7,1.000,102.96,,,out-of-hull
25,25.7,0.950,102.86,104.59,+1.73,current
25,25.7,0.900,100.41,103.81,+3.40,current
25,25.7,0.800,100.41,101.12,+0.71,current
25,25.7,0.700,98.47,98.88,+0.41,current
25,25.7,0.600,95.78,95.70,-0.07,current
25,25.7,0.500,92.78,92.87,+0.09,current
25,25.7,0.400,89.87,87.79,-2.08,current
25,25.7,0.300,85.95,,,out-of-hull
25,25.7,0.200,77.98,,,out-of-hull
25,25.7,0.150,64.65,,,out-of-hull
25,25.7,0.100,42.75,,,out-of-hull
25,25.7,0.050,26.94,,,out-of-hull
25,25.7,0.020,18.66,,,out-of-hull
10,10.9,1.000,93.65,,,out-of-hull
10,10.9,0.950,93.92,98.00,+4.07,current
10,10.9,0.900,93.41,97.85,+4.44,current
10,10.9,0.800,91.68,95.36,+3.68,current
10,10.9,0.700,89.49,93.55,+4.06,current
10,10.9,0.600,86.68,90.38,+3.70,current
10,10.9,0.500,83.34,87.50,+4.16,current
10,10.9,0.400,79.34,81.10,+1.77,current
10,10.9,0.300,63.15,56.84,-6.32,voltage
10,10.9,0.200,36.81,,,out-of-hull
10,10.9,0.150,26.32,,,out-of-hull
10,10.9,0.100,18.29,,,out-of-hull
10,10.9,0.050,11.66,,,out-of-hull
10,10.9,0.020,8.14,,,out-of-hull
0,1.3,1.000,85.27,,,out-of-hull
0,1.3,0.950,85.51,83.94,-1.58,current
0,1.3,0.900,85.25,86.33,+1.08,current
0,1.3,0.800,83.53,84.18,+0.65,current
0,1.3,0.700,81.50,83.89,+2.39,current
0,1.3,0.600,78.95,81.32,+2.38,current
0,1.3,0.500,75.09,78.47,+3.38,current
0,1.3,0.400,61.82,64.84,+3.02,voltage
0,1.3,0.300,43.26,39.06,-4.19,voltage
0,1.3,0.200,26.86,,,out-of-hull
0,1.3,0.150,20.57,,,out-of-hull
0,1.3,0.100,15.65,,,out-of-hull
0,1.3,0.050,11.27,,,out-of-hull
0,1.3,0.020,9.20,,,out-of-hull
-10,-8.4,1.000,72.10,,,out-of-hull
-10,-8.4,0.950,73.41,81.35,+7.94,current
-10,-8.4,0.900,72.36,83.72,+11.36,current
-10,-8.4,0.800,66.97,81.67,+14.70,current
-10,-8.4,0.700,61.36,81.93,+20.58,current
-10,-8.4,0.600,54.76,79.44,+24.68,current
-10,-8.4,0.500,45.94,76.56,+30.63,voltage
-10,-8.4,0.400,35.37,43.36,+7.99,voltage
-10,-8.4,0.300,24.82,25.29,+0.48,voltage
-10,-8.4,0.200,16.89,,,out-of-hull
-10,-8.4,0.150,13.38,,,out-of-hull
-10,-8.4,0.100,10.84,,,out-of-hull
-10,-8.4,0.050,8.42,,,out-of-hull
-10,-8.4,0.020,7.14,,,out-of-hull
-20,-18.0,1.000,40.72,,,out-of-hull
-20,-18.0,0.950,41.73,81.35,+39.62,current
-20,-18.0,0.900,40.85,83.72,+42.87,current
-20,-18.0,0.800,37.95,81.67,+43.71,current
-20,-18.0,0.700,34.32,39.06,+4.74,voltage
-20,-18.0,0.600,30.11,79.44,+49.33,current
-20,-18.0,0.500,25.41,76.56,+51.15,voltage
-20,-18.0,0.400,20.36,27.93,+7.57,voltage
-20,-18.0,0.300,15.37,9.72,-5.65,voltage
-20,-18.0,0.200,11.31,,,out-of-hull
-20,-18.0,0.150,9.59,,,out-of-hull
-20,-18.0,0.100,7.96,,,out-of-hull
-20,-18.0,0.050,6.68,,,out-of-hull
-20,-18.0,0.020,5.93,,,out-of-hull
