condition,direction,tau_s,n_rows,exceed,lambda_median,usable_mean_pct,usable_worst_pct,worst_cell
oracle SOH + oracle SOC,discharge,10.0,491,1,0.6832,69.61,59.85,BOOST_REST
oracle SOH + oracle SOC,discharge,2.0,140,2,0.4701,58.30,54.25,BOOST
oracle SOH + oracle SOC,charge,10.0,2461,1,0.5860,59.49,53.53,BOOST_REST
oracle SOH + oracle SOC,charge,2.0,2082,2,0.5599,57.53,49.65,BOOST_REST
estimated SOH + oracle SOC,discharge,10.0,496,1,0.6830,68.88,58.93,BOOST_REST
estimated SOH + oracle SOC,discharge,2.0,138,1,0.5020,59.99,57.78,BOOST
estimated SOH + oracle SOC,charge,10.0,2459,2,0.5271,55.53,48.13,BOOST_REST
estimated SOH + oracle SOC,charge,2.0,2080,3,0.5477,57.74,49.95,BOOST_REST
oracle SOH + estimated SOC,discharge,10.0,455,20,0.5886,66.91,50.20,BOOST_NEGPULSE
oracle SOH + estimated SOC,discharge,2.0,154,2,0.4488,56.52,50.66,BOOST
oracle SOH + estimated SOC,charge,10.0,2449,1,0.4035,41.36,37.06,BOOST_REST
oracle SOH + estimated SOC,charge,2.0,2078,1,0.3674,39.27,34.81,BOOST_REST
estimated SOH + estimated SOC,discharge,10.0,485,20,0.5882,66.24,51.36,BOOST_REST
estimated SOH + estimated SOC,discharge,2.0,154,5,0.4631,59.95,51.89,CC
estimated SOH + estimated SOC,charge,10.0,2443,5,0.5379,57.20,49.60,BOOST_REST
estimated SOH + estimated SOC,charge,2.0,2075,4,0.5636,60.30,53.62,BOOST_REST
