condition,direction,tau_s,n_kept,n_common,n_outside,n_scored,exceed,exceed_rate_pct
oracle SOH + oracle SOC,discharge,10.0,491,388,103,103,1,0.97
estimated SOH + oracle SOC,discharge,10.0,496,388,108,108,1,0.93
oracle SOH + estimated SOC,discharge,10.0,455,388,67,15,0,0.00
estimated SOH + estimated SOC,discharge,10.0,485,388,97,97,27,27.84
oracle SOH + oracle SOC,discharge,2.0,140,121,19,0,0,
estimated SOH + oracle SOC,discharge,2.0,138,121,17,0,0,
oracle SOH + estimated SOC,discharge,2.0,154,121,33,6,0,0.00
estimated SOH + estimated SOC,discharge,2.0,154,121,33,8,0,0.00
oracle SOH + oracle SOC,charge,10.0,2461,2442,19,0,0,
estimated SOH + oracle SOC,charge,10.0,2459,2442,17,0,0,
oracle SOH + estimated SOC,charge,10.0,2449,2442,7,0,0,
estimated SOH + estimated SOC,charge,10.0,2443,2442,1,0,0,
oracle SOH + oracle SOC,charge,2.0,2082,2074,8,0,0,
estimated SOH + oracle SOC,charge,2.0,2080,2074,6,0,0,
oracle SOH + estimated SOC,charge,2.0,2078,2074,4,0,0,
estimated SOH + estimated SOC,charge,2.0,2075,2074,1,0,0,
