condition,direction,tau_s,n_rows,exceed,exceed_rate_upper95_pct,worst_overshoot_A,usable_mean_pct,usable_worst_pct,lambda_median_from_oracle,per_cell_exceed
oracle SOH + oracle SOC,discharge,10.0,388,3,1.99,1.043,73.03,63.34,0.7081,BOOST:0/108 BOOST_NEGPULSE:0/16 BOOST_NEGPULSE_1S:0/119 BOOST_REST:0/2 CC:3/101 CC_CELL2:0/42
estimated SOH + oracle SOC,discharge,10.0,388,2,1.61,0.224,72.20,62.08,0.7081,BOOST:0/108 BOOST_NEGPULSE:0/16 BOOST_NEGPULSE_1S:0/119 BOOST_REST:0/2 CC:2/101 CC_CELL2:0/42
oracle SOH + estimated SOC,discharge,10.0,388,3,1.99,0.679,72.60,60.39,0.7081,BOOST:0/108 BOOST_NEGPULSE:0/16 BOOST_NEGPULSE_1S:1/119 BOOST_REST:0/2 CC:2/101 CC_CELL2:0/42
estimated SOH + estimated SOC,discharge,10.0,388,1,1.22,0.643,72.02,61.27,0.7081,BOOST:0/108 BOOST_NEGPULSE:0/16 BOOST_NEGPULSE_1S:1/119 BOOST_REST:0/2 CC:0/101 CC_CELL2:0/42
oracle SOH + oracle SOC,discharge,2.0,121,1,3.86,1.213,59.16,56.48,0.5020,BOOST:0/37 BOOST_NEGPULSE_1S:1/43 CC:0/37 CC_CELL2:0/4
estimated SOH + oracle SOC,discharge,2.0,121,1,3.86,1.214,59.26,56.72,0.5020,BOOST:0/37 BOOST_NEGPULSE_1S:1/43 CC:0/37 CC_CELL2:0/4
oracle SOH + estimated SOC,discharge,2.0,121,1,3.86,0.870,59.23,56.23,0.5020,BOOST:0/37 BOOST_NEGPULSE_1S:1/43 CC:0/37 CC_CELL2:0/4
estimated SOH + estimated SOC,discharge,2.0,121,1,3.86,0.872,59.24,56.25,0.5020,BOOST:0/37 BOOST_NEGPULSE_1S:1/43 CC:0/37 CC_CELL2:0/4
oracle SOH + oracle SOC,charge,10.0,2442,1,0.19,0.518,59.50,53.53,0.5860,BOOST:0/439 BOOST_NEGPULSE:0/389 BOOST_NEGPULSE_1S:0/453 BOOST_REST:0/316 CC:1/418 CC_CELL2:0/427
estimated SOH + oracle SOC,charge,10.0,2442,1,0.19,2.573,60.23,53.57,0.5860,BOOST:0/439 BOOST_NEGPULSE:0/389 BOOST_NEGPULSE_1S:1/453 BOOST_REST:0/316 CC:0/418 CC_CELL2:0/427
oracle SOH + estimated SOC,charge,10.0,2442,5,0.43,9.162,59.59,53.92,0.5860,BOOST:1/439 BOOST_NEGPULSE:0/389 BOOST_NEGPULSE_1S:3/453 BOOST_REST:0/316 CC:1/418 CC_CELL2:0/427
estimated SOH + estimated SOC,charge,10.0,2442,3,0.32,1.737,60.38,54.04,0.5860,BOOST:0/439 BOOST_NEGPULSE:0/389 BOOST_NEGPULSE_1S:3/453 BOOST_REST:0/316 CC:0/418 CC_CELL2:0/427
oracle SOH + oracle SOC,charge,2.0,2074,2,0.30,0.634,57.48,49.65,0.5599,BOOST:0/384 BOOST_NEGPULSE:0/319 BOOST_NEGPULSE_1S:2/384 BOOST_REST:0/254 CC:0/364 CC_CELL2:0/369
estimated SOH + oracle SOC,charge,2.0,2074,3,0.37,1.244,58.54,51.06,0.5599,BOOST:0/384 BOOST_NEGPULSE:0/319 BOOST_NEGPULSE_1S:3/384 BOOST_REST:0/254 CC:0/364 CC_CELL2:0/369
oracle SOH + estimated SOC,charge,2.0,2074,3,0.37,10.746,58.11,53.04,0.5599,BOOST:1/384 BOOST_NEGPULSE:0/319 BOOST_NEGPULSE_1S:1/384 BOOST_REST:0/254 CC:1/364 CC_CELL2:0/369
estimated SOH + estimated SOC,charge,2.0,2074,2,0.30,0.577,58.95,53.27,0.5599,BOOST:0/384 BOOST_NEGPULSE:0/319 BOOST_NEGPULSE_1S:2/384 BOOST_REST:0/254 CC:0/364 CC_CELL2:0/369
