condition,direction,tau_s,n_rows,exceed,exceed_rate_upper95_pct,worst_overshoot_A,usable_mean_pct,usable_worst_pct,lambda_median,per_cell_exceed
oracle SOH + oracle SOC,discharge,10.0,388,3,1.99,1.043,73.03,63.34,0.7081,BOOST:0/108 BOOST_NEGPULSE:0/16 BOOST_NEGPULSE_1S:0/119 BOOST_REST:0/2 CC:3/101 CC_CELL2:0/42
estimated SOH + oracle SOC,discharge,10.0,388,1,1.22,0.097,73.69,64.05,0.7305,BOOST:0/108 BOOST_NEGPULSE:0/16 BOOST_NEGPULSE_1S:0/119 BOOST_REST:0/2 CC:0/101 CC_CELL2:1/42
oracle SOH + estimated SOC,discharge,10.0,388,1,1.22,0.918,69.34,56.77,0.6656,BOOST:0/108 BOOST_NEGPULSE:0/16 BOOST_NEGPULSE_1S:1/119 BOOST_REST:0/2 CC:0/101 CC_CELL2:0/42
estimated SOH + estimated SOC,discharge,10.0,388,3,1.99,1.240,69.70,57.78,0.6678,BOOST:0/108 BOOST_NEGPULSE:0/16 BOOST_NEGPULSE_1S:3/119 BOOST_REST:0/2 CC:0/101 CC_CELL2:0/42
oracle SOH + oracle SOC,discharge,2.0,121,1,3.86,1.213,59.16,56.48,0.5020,BOOST:0/37 BOOST_NEGPULSE_1S:1/43 CC:0/37 CC_CELL2:0/4
estimated SOH + oracle SOC,discharge,2.0,121,1,3.86,1.282,59.34,56.72,0.5020,BOOST:0/37 BOOST_NEGPULSE_1S:1/43 CC:0/37 CC_CELL2:0/4
oracle SOH + estimated SOC,discharge,2.0,121,1,3.86,0.816,59.90,57.37,0.5122,BOOST:0/37 BOOST_NEGPULSE_1S:1/43 CC:0/37 CC_CELL2:0/4
estimated SOH + estimated SOC,discharge,2.0,121,1,3.86,0.850,59.95,57.38,0.5121,BOOST:0/37 BOOST_NEGPULSE_1S:1/43 CC:0/37 CC_CELL2:0/4
oracle SOH + oracle SOC,charge,10.0,2442,1,0.19,0.518,59.50,53.53,0.5860,BOOST:0/439 BOOST_NEGPULSE:0/389 BOOST_NEGPULSE_1S:0/453 BOOST_REST:0/316 CC:1/418 CC_CELL2:0/427
estimated SOH + oracle SOC,charge,10.0,2442,2,0.26,3.024,55.56,48.18,0.5271,BOOST:0/439 BOOST_NEGPULSE:0/389 BOOST_NEGPULSE_1S:2/453 BOOST_REST:0/316 CC:0/418 CC_CELL2:0/427
oracle SOH + estimated SOC,charge,10.0,2442,1,0.19,1.537,41.38,37.12,0.4035,BOOST:0/439 BOOST_NEGPULSE:0/389 BOOST_NEGPULSE_1S:0/453 BOOST_REST:0/316 CC:1/418 CC_CELL2:0/427
estimated SOH + estimated SOC,charge,10.0,2442,5,0.43,2.836,57.20,49.60,0.5379,BOOST:0/439 BOOST_NEGPULSE:0/389 BOOST_NEGPULSE_1S:5/453 BOOST_REST:0/316 CC:0/418 CC_CELL2:0/427
oracle SOH + oracle SOC,charge,2.0,2074,2,0.30,0.634,57.48,49.65,0.5599,BOOST:0/384 BOOST_NEGPULSE:0/319 BOOST_NEGPULSE_1S:2/384 BOOST_REST:0/254 CC:0/364 CC_CELL2:0/369
estimated SOH + oracle SOC,charge,2.0,2074,3,0.37,1.602,57.74,49.95,0.5477,BOOST:0/384 BOOST_NEGPULSE:0/319 BOOST_NEGPULSE_1S:3/384 BOOST_REST:0/254 CC:0/364 CC_CELL2:0/369
oracle SOH + estimated SOC,charge,2.0,2074,1,0.23,3.983,39.27,34.81,0.3674,BOOST:0/384 BOOST_NEGPULSE:0/319 BOOST_NEGPULSE_1S:0/384 BOOST_REST:0/254 CC:1/364 CC_CELL2:0/369
estimated SOH + estimated SOC,charge,2.0,2074,4,0.44,1.806,60.29,53.62,0.5636,BOOST:0/384 BOOST_NEGPULSE:0/319 BOOST_NEGPULSE_1S:4/384 BOOST_REST:0/254 CC:0/364 CC_CELL2:0/369
