fold,direction,cycle,SOH,temp_C,SOC,SOP_meas_W,SOP_A0_W,SOP_A8_W,k_f,k_s,limit_hit
BOOST,discharge,136,0.9781,25,1.000,112.23,,,1.1037,1.0294,out-of-hull
BOOST,discharge,136,0.9781,10,1.000,107.35,,,1.1037,1.0294,out-of-hull
BOOST,discharge,136,0.9781,25,0.950,111.52,111.43,110.45,1.1037,1.0294,current
BOOST,discharge,136,0.9781,10,0.950,106.83,107.23,105.86,1.1037,1.0294,current
BOOST,discharge,136,0.9781,25,0.900,110.91,110.89,109.91,1.1037,1.0294,current
BOOST,discharge,136,0.9781,10,0.900,106.41,107.03,105.71,1.1037,1.0294,current
BOOST,discharge,136,0.9781,25,0.800,108.36,107.96,106.98,1.1037,1.0294,current
BOOST,discharge,136,0.9781,10,0.800,104.30,103.91,102.64,1.1037,1.0294,current
BOOST,discharge,136,0.9781,25,0.700,105.95,105.57,104.59,1.1037,1.0294,current
BOOST,discharge,136,0.9781,10,0.700,102.14,101.86,100.59,1.1037,1.0294,current
BOOST,discharge,136,0.9781,25,0.600,103.65,102.39,101.42,1.1037,1.0294,current
BOOST,discharge,136,0.9781,10,0.600,99.46,98.63,97.36,1.1037,1.0294,current
BOOST,discharge,136,0.9781,25,0.500,100.39,99.66,98.73,1.1037,1.0294,current
BOOST,discharge,136,0.9781,10,0.500,96.09,95.95,94.73,1.1037,1.0294,current
BOOST,discharge,136,0.9781,25,0.400,97.77,97.36,96.44,1.1037,1.0294,current
BOOST,discharge,136,0.9781,10,0.400,93.52,93.31,92.04,1.1037,1.0294,current
BOOST,discharge,136,0.9781,25,0.300,95.59,94.29,93.26,1.1037,1.0294,current
BOOST,discharge,136,0.9781,10,0.300,90.89,87.40,85.84,1.1037,1.0294,current
BOOST,discharge,136,0.9781,25,0.200,92.36,,,1.1037,1.0294,out-of-hull
BOOST,discharge,136,0.9781,10,0.200,84.46,,,1.1037,1.0294,out-of-hull
BOOST,discharge,136,0.9781,25,0.150,88.95,,,1.1037,1.0294,out-of-hull
BOOST,discharge,136,0.9781,10,0.150,68.39,,,1.1037,1.0294,out-of-hull
BOOST,discharge,136,0.9781,25,0.100,73.76,,,1.1037,1.0294,out-of-hull
BOOST,discharge,136,0.9781,10,0.100,39.21,,,1.1037,1.0294,out-of-hull
BOOST,discharge,136,0.9781,25,0.050,39.69,,,1.1037,1.0294,out-of-hull
BOOST,discharge,136,0.9781,10,0.050,17.50,,,1.1037,1.0294,out-of-hull
BOOST,discharge,136,0.9781,25,0.020,22.36,,,1.1037,1.0294,out-of-hull
BOOST,discharge,136,0.9781,25,0.005,14.97,,,1.1037,1.0294,out-of-hull
BOOST,discharge,273,0.9594,25,1.000,111.58,,,1.0295,1.0065,out-of-hull
BOOST,discharge,273,0.9594,10,1.000,105.81,,,1.0295,1.0065,out-of-hull
BOOST,discharge,273,0.9594,25,0.950,110.87,111.04,110.74,1.0295,1.0065,current
BOOST,discharge,273,0.9594,10,0.950,105.85,106.69,106.30,1.0295,1.0065,current
BOOST,discharge,273,0.9594,25,0.900,110.23,110.35,110.06,1.0295,1.0065,current
BOOST,discharge,273,0.9594,10,0.900,105.35,106.35,105.96,1.0295,1.0065,current
BOOST,discharge,273,0.9594,25,0.800,107.77,107.32,107.03,1.0295,1.0065,current
BOOST,discharge,273,0.9594,10,0.800,103.41,103.08,102.73,1.0295,1.0065,current
BOOST,discharge,273,0.9594,25,0.700,105.52,105.08,104.79,1.0295,1.0065,current
BOOST,discharge,273,0.9594,10,0.700,101.44,101.22,100.88,1.0295,1.0065,current
BOOST,discharge,273,0.9594,25,0.600,103.18,101.86,101.56,1.0295,1.0065,current
BOOST,discharge,273,0.9594,10,0.600,98.81,97.95,97.61,1.0295,1.0065,current
BOOST,discharge,273,0.9594,25,0.500,99.92,98.97,98.73,1.0295,1.0065,current
BOOST,discharge,273,0.9594,10,0.500,95.70,95.17,94.82,1.0295,1.0065,current
BOOST,discharge,273,0.9594,25,0.400,97.30,96.58,96.34,1.0295,1.0065,current
BOOST,discharge,273,0.9594,10,0.400,93.05,92.33,91.99,1.0295,1.0065,current
BOOST,discharge,273,0.9594,25,0.300,95.03,93.02,92.72,1.0295,1.0065,current
