axis,value,n_calls,n_in_hull,in_hull_pct
SOC,0.01,180,0,0.0
SOC,0.02,252,0,0.0
SOC,0.05,300,0,0.0
SOC,0.10,312,24,7.7
SOC,0.15,312,84,26.9
SOC,0.20,312,132,42.3
SOC,0.30,312,276,88.5
SOC,0.40,312,312,100.0
SOC,0.50,312,312,100.0
SOC,0.60,312,312,100.0
SOC,0.70,312,312,100.0
SOC,0.80,312,312,100.0
SOC,0.90,312,312,100.0
SOC,0.95,312,312,100.0
SOC,1.00,192,0,0.0
temp_C,10,2094,1356,64.8
temp_C,25,2262,1344,59.4
SOH,0.82,336,180,53.6
SOH,0.84,360,180,50.0
SOH,0.85,354,198,55.9
SOH,0.86,354,198,55.9
SOH,0.89,672,408,60.7
SOH,0.91,336,216,64.3
SOH,0.92,336,216,64.3
SOH,0.93,636,432,67.9
SOH,0.95,324,216,66.7
SOH,0.96,324,228,70.4
SOH,0.98,324,228,70.4
direction,charge,2118,1488,70.3
direction,discharge,2238,1212,54.2
