fold,direction,n_in_hull,lambda_uypydj,lambda_needed,margin,exceed,usable_pct,worst_overshoot_W
BOOST,charge,248,0.5860,0.3969,0.677,9,58.45,2.114
BOOST,discharge,202,0.6832,0.9747,1.427,0,67.43,0.000
BOOST_NEGPULSE,charge,248,0.5860,0.3969,0.677,9,58.45,2.114
BOOST_NEGPULSE,discharge,202,0.6832,0.9429,1.380,0,67.36,0.000
BOOST_NEGPULSE_1S,charge,248,0.5860,0.3969,0.677,11,58.37,3.028
BOOST_NEGPULSE_1S,discharge,202,0.6832,0.8940,1.309,0,67.57,0.000
BOOST_REST,charge,248,0.5860,0.3969,0.677,10,58.45,2.114
BOOST_REST,discharge,202,0.6832,0.9743,1.426,0,67.42,0.000
CC,charge,248,0.5860,0.3969,0.677,9,58.45,2.114
CC,discharge,202,0.6832,0.9752,1.427,0,67.38,0.000
CC_CELL2,charge,248,0.5860,0.3969,0.677,9,58.47,2.114
CC_CELL2,discharge,202,0.6832,0.8863,1.297,0,67.32,0.000
