direction,tau_s,extrap_max,method,n_rows,exceed,usable_mean_pct,usable_worst_pct
discharge,10.0,1,A0  no correction,137,2,70.60,56.26
discharge,10.0,1,A8  dR_fast alone,137,1,74.72,72.01
discharge,10.0,1.5,A0  no correction,491,2,59.31,43.92
discharge,10.0,1.5,A8  dR_fast alone,491,1,69.61,59.85
discharge,10.0,2,A0  no correction,1055,2,54.33,42.71
discharge,10.0,2,A8  dR_fast alone,1055,1,64.84,58.31
discharge,10.0,999,A0  no correction,2948,2,51.43,47.18
discharge,10.0,999,A8  dR_fast alone,2948,1,64.52,59.73
discharge,2.0,1.5,A0  no correction,140,4,55.80,44.68
discharge,2.0,1.5,A8  dR_fast alone,140,2,58.30,54.25
discharge,2.0,2,A0  no correction,444,4,45.04,31.58
discharge,2.0,2,A8  dR_fast alone,444,2,48.95,45.69
discharge,2.0,999,A0  no correction,2937,4,36.73,31.35
discharge,2.0,999,A8  dR_fast alone,2937,2,44.58,39.54
charge,10.0,1,A0  no correction,1573,1,54.40,44.63
charge,10.0,1,A8  dR_fast alone,1573,1,62.48,53.54
charge,10.0,1.5,A0  no correction,2461,1,51.61,44.55
charge,10.0,1.5,A8  dR_fast alone,2461,1,59.49,53.53
charge,10.0,2,A0  no correction,3155,1,50.18,45.77
charge,10.0,2,A8  dR_fast alone,3155,1,58.61,54.58
charge,10.0,999,A0  no correction,3226,1,50.06,45.89
charge,10.0,999,A8  dR_fast alone,3226,1,58.63,54.71
charge,2.0,1,A0  no correction,665,1,57.85,43.77
charge,2.0,1,A8  dR_fast alone,665,2,63.17,52.67
charge,2.0,1.5,A0  no correction,2082,1,51.56,42.36
charge,2.0,1.5,A8  dR_fast alone,2082,2,57.53,49.65
charge,2.0,2,A0  no correction,2837,1,49.51,42.27
charge,2.0,2,A8  dR_fast alone,2837,2,55.48,49.27
charge,2.0,999,A0  no correction,3338,1,48.96,43.27
charge,2.0,999,A8  dR_fast alone,3338,2,55.56,50.15
