direction,tau_s,method,params,n,lambda,optimism_pct,rmse_A,usable_pct
discharge,10.0,A0  no correction,0,491,0.520,79.8,5.62,59.3
discharge,10.0,direct plug-in,0,491,0.461,4.3,10.10,32.6
discharge,10.0,shrinkage coefficient,2,491,0.692,15.7,4.72,62.4
discharge,10.0,A8  dR_fast alone,4,491,0.683,54.4,3.21,69.1
discharge,10.0,A3  12 features,26,491,0.679,61.9,3.39,70.3
discharge,10.0,[upper bound] HPPC-RLS,0,490,0.652,83.5,3.65,71.1
discharge,10.0,"LSTM (seq, 5954)",5954,490,0.639,80.0,3.78,68.9
discharge,10.0,"GRU (seq, 4482)",4482,490,0.639,79.8,3.64,69.1
discharge,10.0,FFRLS adaptive ECM,1,490,0.455,19.4,7.61,37.2
discharge,2.0,A0  no correction,0,140,0.361,100.0,15.76,51.4
discharge,2.0,direct plug-in,0,140,0.409,42.1,7.78,37.0
discharge,2.0,shrinkage coefficient,2,140,0.496,92.1,8.44,59.6
discharge,2.0,A8  dR_fast alone,4,140,0.470,92.1,8.61,55.8
discharge,2.0,A3  12 features,26,140,0.462,95.7,9.63,57.7
discharge,2.0,[upper bound] HPPC-RLS,0,140,0.397,100.0,13.03,54.0
discharge,2.0,"LSTM (seq, 5954)",5954,140,0.420,100.0,11.80,56.2
discharge,2.0,"GRU (seq, 4482)",4482,140,0.420,100.0,11.59,55.8
discharge,2.0,FFRLS adaptive ECM,1,140,0.401,52.1,7.83,41.3
charge,10.0,A0  no correction,0,2461,0.471,74.6,3.24,50.7
charge,10.0,direct plug-in,0,2461,0.487,14.1,6.21,39.6
charge,10.0,shrinkage coefficient,2,2461,0.592,37.1,2.32,57.4
charge,10.0,A8  dR_fast alone,4,2461,0.586,57.1,2.00,59.6
charge,10.0,A3  12 features,26,2461,0.567,61.3,2.08,57.9
charge,10.0,[upper bound] HPPC-RLS,0,2461,0.516,80.8,2.49,55.2
charge,10.0,"LSTM (seq, 5954)",5954,2461,0.556,84.8,2.19,59.3
charge,10.0,"GRU (seq, 4482)",4482,2461,0.557,85.9,2.23,59.3
charge,10.0,FFRLS adaptive ECM,1,2461,0.476,52.1,4.16,47.9
charge,2.0,A0  no correction,0,2082,0.459,71.1,3.83,50.1
charge,2.0,direct plug-in,0,2082,0.490,16.8,4.92,41.4
charge,2.0,shrinkage coefficient,2,2082,0.562,41.3,2.45,54.7
charge,2.0,A8  dR_fast alone,4,2082,0.560,59.9,2.18,57.5
charge,2.0,A3  12 features,26,2082,0.544,62.1,2.32,56.5
charge,2.0,[upper bound] HPPC-RLS,0,2082,0.508,71.3,2.72,54.3
charge,2.0,"LSTM (seq, 5954)",5954,2082,0.540,79.4,2.36,58.4
charge,2.0,"GRU (seq, 4482)",4482,2082,0.538,78.3,2.40,58.2
charge,2.0,FFRLS adaptive ECM,1,2082,0.480,50.2,2.97,48.0
