direction,tau_s,method,usable_mean_pct,boot_lo_pct,boot_hi_pct,n_rows,exceed,usable_worst_pct,rank_in_condition,interval_vs_a8
charge,10.0,lstm,59.99,57.71,62.08,2461,2,55.24,1,overlaps
charge,10.0,gru,59.89,58.03,61.58,2461,1,56.54,2,overlaps
charge,10.0,a8,59.50,56.30,62.35,2461,1,53.54,3,—
charge,10.0,a3,57.97,54.58,60.98,2461,1,52.06,4,overlaps
charge,10.0,shrink,57.44,54.46,60.25,2461,1,52.16,5,overlaps
charge,10.0,ffrls,49.06,46.68,51.61,2461,12,44.94,6,"separated, A8 higher"
charge,2.0,lstm,58.54,55.43,61.26,2082,2,52.35,1,overlaps
charge,2.0,gru,58.31,55.27,60.98,2082,1,52.83,2,overlaps
charge,2.0,a8,57.54,53.25,61.50,2082,2,49.66,3,—
charge,2.0,a3,56.17,51.72,60.23,2082,2,48.06,4,overlaps
charge,2.0,shrink,55.14,50.77,59.55,2082,2,47.62,5,overlaps
charge,2.0,ffrls,49.35,47.29,51.91,2082,9,46.12,6,"separated, A8 higher"
discharge,10.0,a3,70.03,65.53,72.74,491,1,58.92,1,overlaps
discharge,10.0,a8,69.61,65.54,72.08,491,1,59.87,2,—
discharge,10.0,gru,69.54,67.13,71.14,490,2,61.79,3,overlaps
discharge,10.0,lstm,69.09,67.01,70.54,490,2,61.51,4,overlaps
discharge,10.0,shrink,64.69,60.33,68.64,491,3,57.52,5,overlaps
discharge,10.0,ffrls,43.28,38.13,51.67,490,3,35.03,6,"separated, A8 higher"
discharge,2.0,shrink,61.28,58.23,63.99,140,2,57.85,1,overlaps
discharge,2.0,gru,59.03,53.04,68.28,140,4,52.68,2,overlaps
discharge,2.0,a3,58.97,55.05,64.11,140,3,54.43,3,overlaps
discharge,2.0,lstm,58.70,52.29,68.61,140,5,51.85,4,overlaps
discharge,2.0,a8,58.30,54.54,63.70,140,2,54.25,5,—
discharge,2.0,ffrls,49.02,39.05,64.42,140,2,38.95,6,overlaps
