direction,tau_s,outer_cell,picked_rung,picked_agg,picked_tol_A,lambda,n_rows,exceed,outer_usable_pct,inner_usable_pct
discharge,10.0,BOOST,A8,q75,0.00,0.6513,113,0,70.41,69.69
discharge,10.0,BOOST_NEGPULSE,A3,max,0.00,0.6786,43,0,61.56,72.15
discharge,10.0,BOOST_NEGPULSE_1S,A8,median,0.00,0.6218,124,1,70.71,68.34
discharge,10.0,BOOST_REST,A3,max,0.00,0.6786,25,0,58.91,71.06
discharge,10.0,CC,A3,last,0.00,0.6393,110,1,70.57,70.12
discharge,10.0,CC_CELL2,A8,q75,0.00,0.6513,76,0,65.65,71.05
discharge,2.0,BOOST,A8,q75,0.00,0.4407,40,0,55.03,61.21
discharge,2.0,BOOST_NEGPULSE_1S,A8,max,0.00,0.4701,45,0,55.30,63.95
discharge,2.0,CC,A8,median,0.00,0.4568,43,3,68.14,63.95
discharge,2.0,CC_CELL2,A8,q90,0.00,0.4629,12,0,56.46,59.41
charge,10.0,BOOST,A8,q75,0.50,0.5684,442,0,62.17,59.56
charge,10.0,BOOST_NEGPULSE,A8,q75,0.50,0.5684,389,0,57.53,61.05
charge,10.0,BOOST_NEGPULSE_1S,A3,max,0.50,0.5665,453,0,63.38,56.36
charge,10.0,BOOST_REST,A8,q75,0.50,0.5684,326,0,55.14,60.54
charge,10.0,CC,A8,max,0.50,0.5909,424,1,62.43,61.18
charge,10.0,CC_CELL2,A8,q75,0.50,0.5684,427,0,56.76,60.95
charge,2.0,BOOST,A8,q75,0.50,0.5426,387,0,61.03,57.52
charge,2.0,BOOST_NEGPULSE,A3,median,0.50,0.5061,319,0,51.68,57.36
charge,2.0,BOOST_NEGPULSE_1S,A8,q75,0.50,0.5513,384,2,65.42,58.93
charge,2.0,BOOST_REST,A8,max,0.50,0.5599,254,0,49.65,58.00
charge,2.0,CC,A8,max,0.50,0.5599,369,0,60.71,58.84
charge,2.0,CC_CELL2,A3,q75,0.50,0.5157,369,0,51.42,56.61
