direction,tau_s,soh,lambda,N,exceed_pct,worst_A,usable_pct
방전,10.0,정답,0.683,1,0.0,0.00,69.1
방전,10.0,정답,0.683,12,0.0,0.00,74.1
방전,10.0,정답,0.683,48,0.0,0.00,76.3
방전,10.0,정답,0.683,96,0.0,0.00,78.5
방전,10.0,정답,0.683,192,0.0,0.00,79.8
방전,10.0,추정,0.659,1,0.0,0.00,67.1
방전,10.0,추정,0.659,12,0.0,0.00,67.9
방전,10.0,추정,0.659,48,0.0,0.00,68.2
방전,10.0,추정,0.659,96,0.0,0.00,67.6
방전,10.0,추정,0.659,192,0.0,0.00,66.7
방전,2.0,정답,0.470,1,0.0,0.00,57.2
방전,2.0,정답,0.470,12,0.0,0.00,76.8
방전,2.0,정답,0.470,48,0.0,0.00,80.2
방전,2.0,정답,0.470,96,0.0,0.00,80.2
방전,2.0,정답,0.470,192,0.0,0.00,80.2
방전,2.0,추정,0.464,1,0.0,0.00,56.6
방전,2.0,추정,0.464,12,0.0,0.00,75.2
방전,2.0,추정,0.464,48,0.0,0.00,78.4
방전,2.0,추정,0.464,96,0.0,0.00,78.4
방전,2.0,추정,0.464,192,0.0,0.00,78.4
충전,10.0,정답,0.586,1,0.7,0.50,59.6
충전,10.0,정답,0.586,12,3.6,0.40,61.5
충전,10.0,정답,0.586,48,4.2,0.18,60.6
충전,10.0,정답,0.586,96,4.1,0.13,60.1
충전,10.0,정답,0.586,192,4.4,0.09,59.1
충전,10.0,추정,0.553,1,0.5,0.50,56.7
충전,10.0,추정,0.553,12,1.8,0.33,58.5
충전,10.0,추정,0.553,48,0.8,0.18,59.1
충전,10.0,추정,0.553,96,0.1,0.03,58.5
충전,10.0,추정,0.553,192,0.0,0.00,57.6
충전,2.0,정답,0.560,1,1.2,0.47,57.6
충전,2.0,정답,0.560,12,1.2,0.22,60.6
충전,2.0,정답,0.560,48,0.1,0.13,59.0
충전,2.0,정답,0.560,96,0.0,0.00,58.4
충전,2.0,정답,0.560,192,0.0,0.00,57.1
충전,2.0,추정,0.561,1,0.7,0.50,57.8
충전,2.0,추정,0.561,12,0.9,0.44,61.7
충전,2.0,추정,0.561,48,0.0,0.00,61.3
충전,2.0,추정,0.561,96,0.0,0.00,60.2
충전,2.0,추정,0.561,192,0.0,0.00,60.2
