direction,tau_s,method,soh_arm,cell,n,lambda_i,exceed,worst_A,usable_pct,optimism_pct,rmse_A
discharge,10.0,a3,est,BOOST,115,0.6785,1,0.351,70.69,73.0,3.034
discharge,10.0,a3,est,BOOST_NEGPULSE,47,0.6556,0,0.000,62.08,36.2,4.215
discharge,10.0,a3,est,BOOST_NEGPULSE_1S,124,0.6556,0,0.000,69.48,83.9,2.729
discharge,10.0,a3,est,BOOST_REST,19,0.6556,0,0.000,56.36,10.5,5.663
discharge,10.0,a3,est,CC,110,0.6556,0,0.000,66.24,57.3,2.997
discharge,10.0,a3,est,CC_CELL2,81,0.6556,0,0.000,66.96,59.3,4.696
discharge,2.0,a3,est,BOOST,40,0.4905,0,0.000,58.13,90.0,8.740
discharge,2.0,a3,est,BOOST_NEGPULSE_1S,43,0.4905,0,0.000,59.54,97.7,9.167
discharge,2.0,a3,est,CC,41,0.4994,1,0.287,62.93,92.7,9.793
discharge,2.0,a3,est,CC_CELL2,14,0.4905,0,0.000,65.16,100.0,12.384
charge,10.0,a3,est,BOOST,442,0.5186,0,0.000,55.41,86.9,1.912
charge,10.0,a3,est,BOOST_NEGPULSE,389,0.5186,0,0.000,50.28,34.2,1.645
charge,10.0,a3,est,BOOST_NEGPULSE_1S,453,0.5795,2,2.679,65.04,94.9,2.614
charge,10.0,a3,est,BOOST_REST,326,0.5186,0,0.000,47.80,22.7,3.019
charge,10.0,a3,est,CC,422,0.5186,0,0.269,54.52,66.4,1.983
charge,10.0,a3,est,CC_CELL2,427,0.5186,0,0.000,53.22,65.3,1.875
charge,2.0,a3,est,BOOST,387,0.5388,0,0.115,59.81,89.7,2.146
charge,2.0,a3,est,BOOST_NEGPULSE,319,0.5388,0,0.022,51.29,30.4,1.727
charge,2.0,a3,est,BOOST_NEGPULSE_1S,384,0.5593,3,1.245,64.70,94.8,3.077
charge,2.0,a3,est,BOOST_REST,254,0.5388,0,0.038,49.06,22.0,2.938
charge,2.0,a3,est,CC,367,0.5388,0,0.419,58.07,71.7,2.234
charge,2.0,a3,est,CC_CELL2,369,0.5388,0,0.000,54.75,57.7,1.705
