direction,tau_s,method,soh_arm,cell,n,lambda_i,exceed,worst_A,usable_pct,optimism_pct,rmse_A
discharge,10.0,a3,oracle,BOOST,113,0.6786,0,0.000,70.71,66.4,2.265
discharge,10.0,a3,oracle,BOOST_NEGPULSE,43,0.6786,0,0.000,61.56,25.6,4.795
discharge,10.0,a3,oracle,BOOST_NEGPULSE_1S,124,0.6995,1,0.326,74.87,83.1,2.709
discharge,10.0,a3,oracle,BOOST_REST,25,0.6786,0,0.000,58.91,8.0,4.781
discharge,10.0,a3,oracle,CC,110,0.6786,0,0.000,71.97,70.0,3.031
discharge,10.0,a3,oracle,CC_CELL2,76,0.6786,0,0.000,66.69,47.4,4.585
discharge,2.0,a3,oracle,BOOST,40,0.4623,0,0.000,54.42,92.5,8.505
discharge,2.0,a3,oracle,BOOST_NEGPULSE_1S,45,0.4623,0,0.000,56.73,97.8,9.728
discharge,2.0,a3,oracle,CC,43,0.4994,3,1.193,65.54,95.3,10.603
discharge,2.0,a3,oracle,CC_CELL2,12,0.4623,0,0.000,58.96,100.0,9.081
charge,10.0,a3,oracle,BOOST,442,0.5665,0,0.186,59.89,86.2,1.727
charge,10.0,a3,oracle,BOOST_NEGPULSE,389,0.5665,0,0.000,53.32,24.9,1.853
charge,10.0,a3,oracle,BOOST_NEGPULSE_1S,453,0.5665,0,0.479,63.38,95.8,2.533
charge,10.0,a3,oracle,BOOST_REST,326,0.5665,0,0.085,52.06,23.3,2.618
charge,10.0,a3,oracle,CC,424,0.5720,1,0.521,61.12,84.0,1.998
charge,10.0,a3,oracle,CC_CELL2,427,0.5665,0,0.000,55.76,38.6,1.639
charge,2.0,a3,oracle,BOOST,387,0.5444,0,0.164,59.10,86.3,1.927
charge,2.0,a3,oracle,BOOST_NEGPULSE,319,0.5444,0,0.080,50.60,24.1,2.062
charge,2.0,a3,oracle,BOOST_NEGPULSE_1S,384,0.5494,2,0.580,63.54,96.1,3.008
charge,2.0,a3,oracle,BOOST_REST,254,0.5444,0,0.131,48.03,23.2,2.712
charge,2.0,a3,oracle,CC,369,0.5444,0,0.480,59.37,86.4,2.317
charge,2.0,a3,oracle,CC_CELL2,369,0.5444,0,0.010,52.56,36.3,1.688
