direction,tau_s,method,soh_arm,cell,n,lambda_i,exceed,worst_A,usable_pct,optimism_pct,rmse_A
discharge,10.0,a8,est,BOOST,115,0.6589,0,0.000,67.44,58.3,2.910
discharge,10.0,a8,est,BOOST_NEGPULSE,46,0.6589,0,0.000,62.61,28.3,4.157
discharge,10.0,a8,est,BOOST_NEGPULSE_1S,125,0.7178,1,0.862,76.10,82.4,2.742
discharge,10.0,a8,est,BOOST_REST,45,0.6589,0,0.000,69.88,66.7,5.036
discharge,10.0,a8,est,CC,113,0.6589,0,0.000,64.89,44.2,3.244
discharge,10.0,a8,est,CC_CELL2,70,0.6589,0,0.000,65.13,47.1,4.327
discharge,2.0,a8,est,BOOST,40,0.4638,0,0.000,53.52,90.0,7.376
discharge,2.0,a8,est,BOOST_NEGPULSE_1S,46,0.4638,0,0.000,57.06,95.7,9.172
discharge,2.0,a8,est,CC,43,0.4956,3,0.941,62.85,83.7,9.427
discharge,2.0,a8,est,CC_CELL2,10,0.4638,0,0.000,55.45,100.0,7.476
charge,10.0,a8,est,BOOST,437,0.5533,0,0.111,58.62,76.0,1.784
charge,10.0,a8,est,BOOST_NEGPULSE,389,0.5533,0,0.000,53.83,31.4,1.362
charge,10.0,a8,est,BOOST_NEGPULSE_1S,453,0.5840,3,1.441,65.19,96.9,2.547
charge,10.0,a8,est,BOOST_REST,326,0.5533,0,0.000,54.60,44.5,2.119
charge,10.0,a8,est,CC,423,0.5533,0,0.385,57.10,62.2,1.928
charge,10.0,a8,est,CC_CELL2,415,0.5533,0,0.000,54.96,45.1,1.649
charge,2.0,a8,est,BOOST,383,0.5607,0,0.190,60.73,84.9,1.765
charge,2.0,a8,est,BOOST_NEGPULSE,319,0.5607,0,0.000,53.59,28.8,1.620
charge,2.0,a8,est,BOOST_NEGPULSE_1S,384,0.5671,1,0.525,65.27,95.3,2.989
charge,2.0,a8,est,BOOST_REST,254,0.5607,0,0.000,52.28,33.9,2.199
charge,2.0,a8,est,CC,368,0.5607,0,0.475,58.81,65.2,2.081
charge,2.0,a8,est,CC_CELL2,356,0.5607,0,0.000,54.88,37.6,1.715
