direction,tau_s,method,soh_arm,cell,n,lambda_i,exceed,worst_A,usable_pct,optimism_pct,rmse_A
discharge,10.0,ffrls,est,BOOST,115,0.4732,0,0.000,37.19,3.5,6.943
discharge,10.0,ffrls,est,BOOST_NEGPULSE,47,0.4732,0,0.000,61.08,85.1,9.942
discharge,10.0,ffrls,est,BOOST_NEGPULSE_1S,124,0.4732,0,0.000,37.96,1.6,6.455
discharge,10.0,ffrls,est,BOOST_REST,19,0.4732,0,0.000,46.81,47.4,8.702
discharge,10.0,ffrls,est,CC,110,0.5875,3,6.578,43.12,2.7,9.867
discharge,10.0,ffrls,est,CC_CELL2,78,0.4732,0,0.000,50.26,66.7,5.388
discharge,2.0,ffrls,est,BOOST,40,0.4110,0,0.000,39.80,45.0,4.952
discharge,2.0,ffrls,est,BOOST_NEGPULSE_1S,43,0.4110,0,0.000,40.06,39.5,4.427
discharge,2.0,ffrls,est,CC,41,0.5822,2,13.439,55.78,46.3,11.357
discharge,2.0,ffrls,est,CC_CELL2,14,0.4110,0,0.000,56.82,100.0,13.323
charge,10.0,ffrls,est,BOOST,442,0.4910,0,0.000,46.51,39.1,4.083
charge,10.0,ffrls,est,BOOST_NEGPULSE,389,0.4910,0,0.000,55.42,89.5,4.447
charge,10.0,ffrls,est,BOOST_NEGPULSE_1S,453,0.4910,0,0.000,48.02,45.9,3.520
charge,10.0,ffrls,est,BOOST_REST,326,0.4910,0,0.118,50.99,59.5,4.392
charge,10.0,ffrls,est,CC,422,0.5414,11,1.751,49.00,30.1,6.149
charge,10.0,ffrls,est,CC_CELL2,427,0.4910,0,0.000,51.64,74.9,2.395
charge,2.0,ffrls,est,BOOST,387,0.4909,0,0.000,47.87,43.9,2.704
charge,2.0,ffrls,est,BOOST_NEGPULSE,319,0.4909,0,0.101,53.00,80.3,2.815
charge,2.0,ffrls,est,BOOST_NEGPULSE_1S,384,0.4909,0,0.014,49.70,52.9,2.320
charge,2.0,ffrls,est,BOOST_REST,254,0.4909,0,0.166,48.94,49.2,2.862
charge,2.0,ffrls,est,CC,367,0.5983,9,5.646,55.71,35.7,4.904
charge,2.0,ffrls,est,CC_CELL2,369,0.4909,0,0.000,50.98,67.5,2.056
