direction,tau_s,method,soh_arm,cell,n,lambda_i,exceed,worst_A,usable_pct,optimism_pct,rmse_A
discharge,10.0,ffrls,oracle,BOOST,113,0.4552,0,0.000,35.03,0.0,7.190
discharge,10.0,ffrls,oracle,BOOST_NEGPULSE,43,0.4552,0,0.000,56.15,76.7,8.789
discharge,10.0,ffrls,oracle,BOOST_NEGPULSE_1S,124,0.4552,0,0.000,36.38,1.6,6.367
discharge,10.0,ffrls,oracle,BOOST_REST,25,0.4552,0,0.000,58.67,64.0,10.320
discharge,10.0,ffrls,oracle,CC,110,0.6396,3,11.710,48.89,2.7,9.344
discharge,10.0,ffrls,oracle,CC_CELL2,75,0.4552,0,0.000,46.40,54.7,5.030
discharge,2.0,ffrls,oracle,BOOST,40,0.4014,0,0.000,38.95,47.5,4.910
discharge,2.0,ffrls,oracle,BOOST_NEGPULSE_1S,45,0.4014,0,0.000,39.15,44.4,4.387
discharge,2.0,ffrls,oracle,CC,43,0.6585,2,20.651,67.80,51.2,11.338
discharge,2.0,ffrls,oracle,CC_CELL2,12,0.4014,0,0.000,52.31,100.0,10.139
charge,10.0,ffrls,oracle,BOOST,442,0.4762,0,0.000,44.94,37.6,4.159
charge,10.0,ffrls,oracle,BOOST_NEGPULSE,389,0.4762,0,0.000,52.81,82.3,3.936
charge,10.0,ffrls,oracle,BOOST_NEGPULSE_1S,453,0.4762,0,0.000,46.73,45.9,3.460
charge,10.0,ffrls,oracle,BOOST_REST,326,0.4762,0,0.070,49.58,62.9,4.775
charge,10.0,ffrls,oracle,CC,424,0.5668,12,4.082,53.11,35.6,5.840
charge,10.0,ffrls,oracle,CC_CELL2,427,0.4762,0,0.000,47.98,54.1,1.974
charge,2.0,ffrls,oracle,BOOST,387,0.4799,0,0.000,46.12,39.0,2.815
charge,2.0,ffrls,oracle,BOOST_NEGPULSE,319,0.4799,0,0.138,50.59,71.2,2.458
charge,2.0,ffrls,oracle,BOOST_NEGPULSE_1S,384,0.4799,0,0.000,48.65,54.7,2.241
charge,2.0,ffrls,oracle,BOOST_REST,254,0.4799,0,0.198,48.40,54.7,2.964
charge,2.0,ffrls,oracle,CC,369,0.5727,9,4.606,54.97,42.3,4.653
charge,2.0,ffrls,oracle,CC_CELL2,369,0.4799,0,0.000,47.42,43.9,1.801
