direction,tau_s,method,soh_arm,cell,n,lambda_i,exceed,worst_A,usable_pct,optimism_pct,rmse_A
discharge,10.0,gru,est,BOOST,115,0.6267,1,0.051,69.30,91.3,3.957
discharge,10.0,gru,est,BOOST_NEGPULSE,47,0.6235,0,0.000,66.90,83.0,4.334
discharge,10.0,gru,est,BOOST_NEGPULSE_1S,124,0.6235,0,0.000,67.38,88.7,3.072
discharge,10.0,gru,est,BOOST_REST,19,0.6235,0,0.000,59.14,21.1,3.079
discharge,10.0,gru,est,CC,110,0.6235,0,0.000,66.16,77.3,3.766
discharge,10.0,gru,est,CC_CELL2,77,0.6235,0,0.000,69.32,75.3,5.671
discharge,2.0,gru,est,BOOST,40,0.4528,0,0.000,58.24,100.0,10.831
discharge,2.0,gru,est,BOOST_NEGPULSE_1S,43,0.4528,0,0.000,56.90,97.7,9.534
discharge,2.0,gru,est,CC,41,0.4899,2,1.296,67.64,100.0,12.499
discharge,2.0,gru,est,CC_CELL2,14,0.4528,0,0.000,66.36,100.0,16.281
charge,10.0,gru,est,BOOST,442,0.5292,0,0.202,58.24,97.7,2.508
charge,10.0,gru,est,BOOST_NEGPULSE,389,0.5292,0,0.000,57.74,92.3,2.398
charge,10.0,gru,est,BOOST_NEGPULSE_1S,453,0.5556,1,1.423,62.93,98.2,2.761
charge,10.0,gru,est,BOOST_REST,326,0.5292,0,0.075,53.67,56.4,2.143
charge,10.0,gru,est,CC,422,0.5292,0,0.354,57.12,81.3,2.440
charge,10.0,gru,est,CC_CELL2,427,0.5292,0,0.000,56.84,89.5,2.420
charge,2.0,gru,est,BOOST,387,0.5377,0,0.306,61.32,95.6,2.835
charge,2.0,gru,est,BOOST_NEGPULSE,319,0.5377,0,0.119,57.43,84.3,1.725
charge,2.0,gru,est,BOOST_NEGPULSE_1S,384,0.5491,2,0.684,64.29,97.4,3.206
charge,2.0,gru,est,BOOST_REST,254,0.5377,0,0.121,53.60,49.6,1.875
charge,2.0,gru,est,CC,367,0.5377,0,0.454,59.89,86.1,2.850
charge,2.0,gru,est,CC_CELL2,369,0.5377,0,0.000,57.48,82.9,2.125
