direction,tau_s,method,soh_arm,cell,n,lambda_i,exceed,worst_A,usable_pct,optimism_pct,rmse_A
discharge,10.0,gru,oracle,BOOST,113,0.6390,0,0.000,69.95,89.4,3.274
discharge,10.0,gru,oracle,BOOST_NEGPULSE,43,0.6390,0,0.000,66.10,62.8,3.772
discharge,10.0,gru,oracle,BOOST_NEGPULSE_1S,124,0.6390,0,0.000,69.67,89.5,2.993
discharge,10.0,gru,oracle,BOOST_REST,25,0.6390,0,0.000,61.79,20.0,2.339
discharge,10.0,gru,oracle,CC,110,0.6631,2,0.369,72.79,90.9,4.232
discharge,10.0,gru,oracle,CC_CELL2,75,0.6390,0,0.000,68.52,62.7,4.404
discharge,2.0,gru,oracle,BOOST,40,0.4201,0,0.000,53.44,100.0,10.645
discharge,2.0,gru,oracle,BOOST_NEGPULSE_1S,45,0.4201,0,0.000,52.68,100.0,10.054
discharge,2.0,gru,oracle,CC,43,0.4899,4,2.366,71.24,100.0,13.381
discharge,2.0,gru,oracle,CC_CELL2,12,0.4201,0,0.000,57.66,100.0,12.987
charge,10.0,gru,oracle,BOOST,442,0.5566,0,0.346,60.37,95.7,2.287
charge,10.0,gru,oracle,BOOST_NEGPULSE,389,0.5566,0,0.000,59.13,86.9,1.872
charge,10.0,gru,oracle,BOOST_NEGPULSE_1S,453,0.5566,0,0.472,62.89,98.0,2.691
charge,10.0,gru,oracle,BOOST_REST,326,0.5566,0,0.145,56.54,60.4,1.804
charge,10.0,gru,oracle,CC,424,0.5640,1,0.529,61.95,94.8,2.687
charge,10.0,gru,oracle,CC_CELL2,427,0.5566,0,0.000,57.40,72.6,1.626
charge,2.0,gru,oracle,BOOST,387,0.5380,0,0.336,60.21,91.0,2.609
charge,2.0,gru,oracle,BOOST_NEGPULSE,319,0.5380,0,0.161,55.92,74.6,1.382
charge,2.0,gru,oracle,BOOST_NEGPULSE_1S,384,0.5397,1,0.527,62.94,97.1,3.131
charge,2.0,gru,oracle,BOOST_REST,254,0.5380,0,0.199,52.83,45.3,1.576
charge,2.0,gru,oracle,CC,369,0.5380,0,0.493,61.20,93.2,3.088
charge,2.0,gru,oracle,CC_CELL2,369,0.5380,0,0.036,54.42,56.4,1.481
