direction,tau_s,method,soh_arm,cell,n,lambda_i,exceed,worst_A,usable_pct,optimism_pct,rmse_A
discharge,10.0,lstm,est,BOOST,115,0.6239,0,0.000,68.97,88.7,3.759
discharge,10.0,lstm,est,BOOST_NEGPULSE,47,0.6239,0,0.000,67.13,80.9,4.396
discharge,10.0,lstm,est,BOOST_NEGPULSE_1S,124,0.6239,0,0.000,66.84,87.9,2.885
discharge,10.0,lstm,est,BOOST_REST,19,0.6239,0,0.000,57.91,15.8,3.329
discharge,10.0,lstm,est,CC,110,0.6317,1,0.118,67.50,77.3,3.858
discharge,10.0,lstm,est,CC_CELL2,77,0.6239,0,0.000,71.48,76.6,6.937
discharge,2.0,lstm,est,BOOST,40,0.4481,0,0.000,56.95,97.5,10.456
discharge,2.0,lstm,est,BOOST_NEGPULSE_1S,43,0.4481,0,0.000,54.78,97.7,9.199
discharge,2.0,lstm,est,CC,41,0.4851,2,1.310,67.18,100.0,12.688
discharge,2.0,lstm,est,CC_CELL2,14,0.4481,0,0.000,69.44,100.0,19.738
charge,10.0,lstm,est,BOOST,442,0.5125,0,0.076,56.38,97.7,2.389
charge,10.0,lstm,est,BOOST_NEGPULSE,389,0.5125,0,0.000,55.70,91.0,2.309
charge,10.0,lstm,est,BOOST_NEGPULSE_1S,453,0.5667,1,2.460,63.54,98.5,2.590
charge,10.0,lstm,est,BOOST_REST,326,0.5125,0,0.000,51.05,46.9,2.240
charge,10.0,lstm,est,CC,422,0.5125,0,0.294,55.62,85.3,2.436
charge,10.0,lstm,est,CC_CELL2,427,0.5125,0,0.000,55.44,91.3,2.794
charge,2.0,lstm,est,BOOST,387,0.5324,0,0.216,60.40,96.1,2.665
charge,2.0,lstm,est,BOOST_NEGPULSE,319,0.5324,0,0.103,56.88,82.4,1.647
charge,2.0,lstm,est,BOOST_NEGPULSE_1S,384,0.5490,1,1.106,63.41,97.4,2.963
charge,2.0,lstm,est,BOOST_REST,254,0.5324,0,0.047,52.51,43.7,2.165
charge,2.0,lstm,est,CC,367,0.5324,0,0.434,59.70,88.0,2.842
charge,2.0,lstm,est,CC_CELL2,369,0.5324,0,0.050,57.08,84.6,2.603
