direction,tau_s,method,soh_arm,cell,n,lambda_i,exceed,worst_A,usable_pct,optimism_pct,rmse_A
discharge,10.0,lstm,oracle,BOOST,113,0.6388,0,0.000,69.18,87.6,3.043
discharge,10.0,lstm,oracle,BOOST_NEGPULSE,43,0.6388,0,0.000,66.07,62.8,3.846
discharge,10.0,lstm,oracle,BOOST_NEGPULSE_1S,124,0.6388,0,0.000,68.64,87.1,2.789
discharge,10.0,lstm,oracle,BOOST_REST,25,0.6388,0,0.000,61.50,16.0,2.564
discharge,10.0,lstm,oracle,CC,110,0.6554,2,0.254,71.89,90.9,4.352
discharge,10.0,lstm,oracle,CC_CELL2,75,0.6388,0,0.000,69.76,72.0,5.322
discharge,2.0,lstm,oracle,BOOST,40,0.4197,0,0.000,52.81,100.0,10.246
discharge,2.0,lstm,oracle,BOOST_NEGPULSE_1S,45,0.4197,0,0.000,51.83,100.0,9.664
discharge,2.0,lstm,oracle,CC,43,0.4853,5,2.223,70.65,100.0,13.566
discharge,2.0,lstm,oracle,CC_CELL2,12,0.4197,0,0.000,61.35,100.0,16.243
charge,10.0,lstm,oracle,BOOST,442,0.5565,0,0.276,60.27,96.4,2.189
charge,10.0,lstm,oracle,BOOST_NEGPULSE,389,0.5565,0,0.000,58.74,85.9,1.789
charge,10.0,lstm,oracle,BOOST_NEGPULSE_1S,453,0.5565,0,0.417,62.51,98.2,2.471
charge,10.0,lstm,oracle,BOOST_REST,326,0.5565,0,0.068,55.24,47.9,1.781
charge,10.0,lstm,oracle,CC,424,0.5789,2,0.589,63.96,96.7,2.714
charge,10.0,lstm,oracle,CC_CELL2,427,0.5565,0,0.000,57.87,73.8,1.916
charge,2.0,lstm,oracle,BOOST,387,0.5395,0,0.272,59.98,92.0,2.443
charge,2.0,lstm,oracle,BOOST_NEGPULSE,319,0.5395,0,0.131,55.96,72.7,1.327
charge,2.0,lstm,oracle,BOOST_NEGPULSE_1S,384,0.5395,0,0.435,62.38,97.1,2.854
charge,2.0,lstm,oracle,BOOST_REST,254,0.5395,0,0.144,52.35,41.7,1.842
charge,2.0,lstm,oracle,CC,369,0.5502,2,0.543,62.84,95.1,3.104
charge,2.0,lstm,oracle,CC_CELL2,369,0.5395,0,0.095,55.24,63.7,1.820
