direction,tau_s,method,soh_arm,cell,n,lambda_i,exceed,worst_A,usable_pct,optimism_pct,rmse_A
discharge,10.0,a8,oracle,BOOST,113,0.6834,0,0.000,69.75,57.5,2.155
discharge,10.0,a8,oracle,BOOST_NEGPULSE,43,0.6834,0,0.000,62.22,23.3,4.337
discharge,10.0,a8,oracle,BOOST_NEGPULSE_1S,124,0.7081,1,0.383,74.06,72.6,2.263
discharge,10.0,a8,oracle,BOOST_REST,25,0.6834,0,0.000,59.87,4.0,4.733
discharge,10.0,a8,oracle,CC,110,0.6834,0,0.000,71.53,62.7,3.090
discharge,10.0,a8,oracle,CC_CELL2,76,0.6834,0,0.000,66.76,42.1,4.434
discharge,2.0,a8,oracle,BOOST,40,0.4703,0,0.000,54.25,90.0,7.449
discharge,2.0,a8,oracle,BOOST_NEGPULSE_1S,45,0.4703,0,0.000,55.30,95.6,8.611
discharge,2.0,a8,oracle,CC,43,0.5022,2,0.964,65.95,88.4,9.951
discharge,2.0,a8,oracle,CC_CELL2,12,0.4703,0,0.000,55.64,100.0,6.736
charge,10.0,a8,oracle,BOOST,442,0.5862,0,0.213,61.58,74.7,1.590
charge,10.0,a8,oracle,BOOST_NEGPULSE,389,0.5862,0,0.000,55.61,23.7,1.609
charge,10.0,a8,oracle,BOOST_NEGPULSE_1S,453,0.5862,0,0.482,64.48,97.6,2.260
charge,10.0,a8,oracle,BOOST_REST,326,0.5862,0,0.074,53.54,23.9,2.798
charge,10.0,a8,oracle,CC,424,0.5910,1,0.518,62.42,75.2,1.978
charge,10.0,a8,oracle,CC_CELL2,427,0.5862,0,0.000,57.23,34.0,1.650
charge,2.0,a8,oracle,BOOST,387,0.5601,0,0.178,60.02,81.4,1.635
charge,2.0,a8,oracle,BOOST_NEGPULSE,319,0.5601,0,0.060,52.51,25.7,1.886
charge,2.0,a8,oracle,BOOST_NEGPULSE_1S,384,0.5687,2,0.634,64.94,96.9,2.620
charge,2.0,a8,oracle,BOOST_REST,254,0.5601,0,0.131,49.66,20.5,2.894
charge,2.0,a8,oracle,CC,369,0.5601,0,0.467,60.72,81.8,2.197
charge,2.0,a8,oracle,CC_CELL2,369,0.5601,0,0.000,53.85,33.6,1.795
