direction,tau_s,method,soh_arm,cell,n,lambda_i,exceed,worst_A,usable_pct,optimism_pct,rmse_A
discharge,10.0,shrink,est,BOOST,115,0.7162,0,0.000,62.13,8.7,4.588
discharge,10.0,shrink,est,BOOST_NEGPULSE,47,0.7162,0,0.000,63.88,23.4,5.510
discharge,10.0,shrink,est,BOOST_NEGPULSE_1S,124,0.7162,0,0.000,68.59,29.8,2.749
discharge,10.0,shrink,est,BOOST_REST,19,0.7162,0,0.000,58.67,5.3,7.262
discharge,10.0,shrink,est,CC,110,0.7378,2,0.820,62.28,10.9,5.986
discharge,10.0,shrink,est,CC_CELL2,81,0.7162,0,0.000,71.27,49.4,4.875
discharge,2.0,shrink,est,BOOST,40,0.5146,0,0.000,60.37,90.0,7.799
discharge,2.0,shrink,est,BOOST_NEGPULSE_1S,43,0.5159,1,0.040,61.29,95.3,8.150
discharge,2.0,shrink,est,CC,41,0.5146,0,0.000,61.85,78.0,8.763
discharge,2.0,shrink,est,CC_CELL2,14,0.5146,0,0.000,65.32,100.0,10.174
charge,10.0,shrink,est,BOOST,442,0.5551,0,0.059,56.42,58.1,1.792
charge,10.0,shrink,est,BOOST_NEGPULSE,389,0.5551,0,0.000,51.38,18.0,2.185
charge,10.0,shrink,est,BOOST_NEGPULSE_1S,453,0.6137,2,2.456,65.33,67.3,2.183
charge,10.0,shrink,est,BOOST_REST,326,0.5551,0,0.000,48.80,11.3,3.613
charge,10.0,shrink,est,CC,422,0.5551,0,0.290,53.98,40.5,2.905
charge,10.0,shrink,est,CC_CELL2,427,0.5551,0,0.000,55.20,47.5,1.919
charge,2.0,shrink,est,BOOST,387,0.5618,0,0.142,57.88,62.0,1.758
charge,2.0,shrink,est,BOOST_NEGPULSE,319,0.5618,0,0.000,50.72,17.6,2.456
charge,2.0,shrink,est,BOOST_NEGPULSE_1S,384,0.5938,3,1.056,65.28,75.5,2.379
charge,2.0,shrink,est,BOOST_REST,254,0.5618,0,0.013,48.53,12.2,3.568
charge,2.0,shrink,est,CC,367,0.5618,0,0.382,56.11,49.3,2.836
charge,2.0,shrink,est,CC_CELL2,369,0.5618,0,0.000,55.47,44.7,1.811
