direction,tau_s,method,soh_arm,cell,n,lambda_i,exceed,worst_A,usable_pct,optimism_pct,rmse_A
discharge,10.0,shrink,oracle,BOOST,113,0.6895,0,0.000,59.56,0.0,4.643
discharge,10.0,shrink,oracle,BOOST_NEGPULSE,43,0.6895,0,0.000,58.51,14.0,6.265
discharge,10.0,shrink,oracle,BOOST_NEGPULSE_1S,124,0.6895,0,0.000,66.15,27.4,2.695
discharge,10.0,shrink,oracle,BOOST_REST,25,0.6895,0,0.000,57.52,0.0,6.257
discharge,10.0,shrink,oracle,CC,110,0.8144,3,4.412,71.74,8.2,5.097
discharge,10.0,shrink,oracle,CC_CELL2,76,0.6895,0,0.000,65.60,36.8,5.486
discharge,2.0,shrink,oracle,BOOST,40,0.4965,0,0.000,57.85,90.0,7.420
discharge,2.0,shrink,oracle,BOOST_NEGPULSE_1S,45,0.4965,0,0.000,61.33,97.8,8.638
discharge,2.0,shrink,oracle,CC,43,0.5147,2,0.546,64.91,86.0,9.368
discharge,2.0,shrink,oracle,CC_CELL2,12,0.4965,0,0.000,59.49,100.0,6.980
charge,10.0,shrink,oracle,BOOST,442,0.5923,0,0.220,59.17,49.5,1.743
charge,10.0,shrink,oracle,BOOST_NEGPULSE,389,0.5923,0,0.000,53.09,10.8,2.476
charge,10.0,shrink,oracle,BOOST_NEGPULSE_1S,453,0.6004,1,0.529,63.24,66.9,2.084
charge,10.0,shrink,oracle,BOOST_REST,326,0.5923,0,0.048,52.16,12.0,3.152
charge,10.0,shrink,oracle,CC,424,0.5923,0,0.470,58.31,44.8,2.469
charge,10.0,shrink,oracle,CC_CELL2,427,0.5923,0,0.000,56.64,28.1,2.021
charge,2.0,shrink,oracle,BOOST,387,0.5619,0,0.170,56.96,54.3,1.693
charge,2.0,shrink,oracle,BOOST_NEGPULSE,319,0.5619,0,0.032,49.11,13.5,2.797
charge,2.0,shrink,oracle,BOOST_NEGPULSE_1S,384,0.5835,2,0.834,64.26,74.7,2.319
charge,2.0,shrink,oracle,BOOST_REST,254,0.5619,0,0.096,47.62,11.0,3.310
charge,2.0,shrink,oracle,CC,369,0.5619,0,0.419,56.60,51.8,2.501
charge,2.0,shrink,oracle,CC_CELL2,369,0.5619,0,0.000,52.69,27.4,2.130
