direction,tau_s,method,soh_arm,tolerance_A,n_rows,exceed,usable_mean_pct,usable_worst_pct,exceed_ub95_pct
discharge,10.0,a3,est,0.00,496,1,67.43,56.36,0.953
discharge,10.0,a3,est,0.25,496,1,69.08,57.76,0.953
discharge,10.0,a3,est,0.50,496,1,70.74,59.16,0.953
discharge,10.0,a3,est,1.00,496,1,74.05,61.97,0.953
discharge,2.0,a3,est,0.00,138,1,60.71,58.13,3.391
discharge,2.0,a3,est,0.25,138,1,61.67,59.05,3.391
discharge,2.0,a3,est,0.50,138,1,62.62,59.97,3.391
discharge,2.0,a3,est,1.00,138,1,64.53,61.80,3.391
charge,10.0,a3,est,0.00,2459,1,45.44,40.36,0.193
charge,10.0,a3,est,0.25,2459,2,52.29,46.48,0.256
charge,10.0,a3,est,0.50,2459,2,54.83,47.80,0.256
charge,10.0,a3,est,1.00,2459,1,57.12,49.09,0.193
charge,2.0,a3,est,0.00,2080,1,44.34,38.33,0.228
charge,2.0,a3,est,0.25,2080,1,51.03,44.14,0.228
charge,2.0,a3,est,0.50,2080,3,56.89,49.06,0.372
charge,2.0,a3,est,1.00,2080,2,59.78,50.31,0.302
