direction,tau_s,method,soh_arm,tolerance_A,n_rows,exceed,usable_mean_pct,usable_worst_pct,exceed_ub95_pct
discharge,10.0,a3,oracle,0.00,491,1,70.02,58.91,0.962
discharge,10.0,a3,oracle,0.25,491,1,71.74,60.30,0.962
discharge,10.0,a3,oracle,0.50,491,1,73.47,61.69,0.962
discharge,10.0,a3,oracle,1.00,491,1,76.54,64.46,0.962
discharge,2.0,a3,oracle,0.00,140,3,58.97,54.42,5.445
discharge,2.0,a3,oracle,0.25,140,3,59.93,55.34,5.445
discharge,2.0,a3,oracle,0.50,140,3,60.90,56.25,5.445
discharge,2.0,a3,oracle,1.00,140,3,62.83,58.08,5.445
charge,10.0,a3,oracle,0.00,2461,1,44.71,40.21,0.193
charge,10.0,a3,oracle,0.25,2461,1,51.33,46.14,0.193
charge,10.0,a3,oracle,0.50,2461,1,57.95,52.06,0.193
charge,10.0,a3,oracle,1.00,2461,1,65.06,58.27,0.193
charge,2.0,a3,oracle,0.00,2082,1,43.45,37.18,0.228
charge,2.0,a3,oracle,0.25,2082,1,50.01,42.82,0.228
charge,2.0,a3,oracle,0.50,2082,2,56.15,48.03,0.302
charge,2.0,a3,oracle,1.00,2082,1,60.98,50.80,0.228
