direction,tau_s,method,soh_arm,tolerance_A,n_rows,exceed,usable_mean_pct,usable_worst_pct,exceed_ub95_pct
discharge,10.0,a8,est,0.00,514,1,68.45,62.61,0.920
discharge,10.0,a8,est,0.25,514,1,69.87,64.23,0.920
discharge,10.0,a8,est,0.50,514,1,71.29,65.86,0.920
discharge,10.0,a8,est,1.00,514,1,74.13,69.10,0.920
discharge,2.0,a8,est,0.00,139,3,57.71,53.52,5.483
discharge,2.0,a8,est,0.25,139,3,58.71,54.49,5.483
discharge,2.0,a8,est,0.50,139,3,59.71,55.46,5.483
discharge,2.0,a8,est,1.00,139,3,61.71,57.41,5.483
charge,10.0,a8,est,0.00,2443,1,46.01,43.32,0.194
charge,10.0,a8,est,0.25,2443,1,52.94,49.89,0.194
charge,10.0,a8,est,0.50,2443,3,57.66,53.83,0.317
charge,10.0,a8,est,1.00,2443,2,60.25,55.41,0.257
charge,2.0,a8,est,0.00,2064,1,44.62,40.11,0.230
charge,2.0,a8,est,0.25,2064,1,51.35,46.19,0.230
charge,2.0,a8,est,0.50,2064,1,58.08,52.28,0.230
charge,2.0,a8,est,1.00,2064,3,63.29,55.70,0.375
