direction,tau_s,method,soh_arm,tolerance_A,n_rows,exceed,usable_mean_pct,usable_worst_pct,exceed_ub95_pct
discharge,10.0,lstm,est,0.00,492,1,67.90,57.91,0.961
discharge,10.0,lstm,est,0.25,492,1,69.45,59.39,0.961
discharge,10.0,lstm,est,0.50,492,1,70.30,59.96,0.961
discharge,10.0,lstm,est,1.00,492,3,72.00,61.09,1.568
discharge,2.0,lstm,est,0.00,138,2,60.58,54.78,4.492
discharge,2.0,lstm,est,0.25,138,2,61.53,55.64,4.492
discharge,2.0,lstm,est,0.50,138,2,62.49,56.51,4.492
discharge,2.0,lstm,est,1.00,138,2,64.39,58.24,4.492
charge,10.0,lstm,est,0.00,2459,2,47.26,43.36,0.256
charge,10.0,lstm,est,0.25,2459,2,54.31,49.90,0.256
charge,10.0,lstm,est,0.50,2459,1,56.59,51.05,0.193
charge,10.0,lstm,est,1.00,2459,1,58.95,52.43,0.193
charge,2.0,lstm,est,0.00,2080,2,46.43,41.70,0.302
charge,2.0,lstm,est,0.25,2080,2,53.43,47.98,0.302
charge,2.0,lstm,est,0.50,2080,1,58.74,52.51,0.228
charge,2.0,lstm,est,1.00,2080,2,61.23,53.86,0.302
