direction,tau_s,method,soh_arm,tolerance_A,n_rows,exceed,usable_mean_pct,usable_worst_pct,exceed_ub95_pct
discharge,10.0,lstm,oracle,0.00,490,2,69.08,61.50,1.279
discharge,10.0,lstm,oracle,0.25,490,2,70.80,63.06,1.279
discharge,10.0,lstm,oracle,0.50,490,4,72.53,64.63,1.858
discharge,10.0,lstm,oracle,1.00,490,4,75.05,66.67,1.858
discharge,2.0,lstm,oracle,0.00,140,5,58.70,51.83,7.362
discharge,2.0,lstm,oracle,0.25,140,5,59.69,52.73,7.362
discharge,2.0,lstm,oracle,0.50,140,5,60.68,53.64,7.362
discharge,2.0,lstm,oracle,1.00,140,4,62.65,55.46,6.419
charge,10.0,lstm,oracle,0.00,2461,2,46.28,42.66,0.256
charge,10.0,lstm,oracle,0.25,2461,2,53.14,48.95,0.256
charge,10.0,lstm,oracle,0.50,2461,2,59.99,55.24,0.256
charge,10.0,lstm,oracle,1.00,2461,1,67.61,62.59,0.193
charge,2.0,lstm,oracle,0.00,2082,2,45.26,40.44,0.302
charge,2.0,lstm,oracle,0.25,2082,2,51.96,46.39,0.302
charge,2.0,lstm,oracle,0.50,2082,2,58.54,52.35,0.302
charge,2.0,lstm,oracle,1.00,2082,1,64.23,56.46,0.228
