direction,tau_s,method,soh_arm,tolerance_A,n_rows,exceed,usable_mean_pct,usable_worst_pct,exceed_ub95_pct
discharge,10.0,a8,oracle,0.00,491,1,69.61,59.85,0.962
discharge,10.0,a8,oracle,0.25,491,1,71.00,61.26,0.962
discharge,10.0,a8,oracle,0.50,491,1,72.40,62.67,0.962
discharge,10.0,a8,oracle,1.00,491,2,74.71,64.65,1.277
discharge,2.0,a8,oracle,0.00,140,2,58.30,54.25,4.428
discharge,2.0,a8,oracle,0.25,140,2,59.28,55.20,4.428
discharge,2.0,a8,oracle,0.50,140,2,60.27,56.16,4.428
discharge,2.0,a8,oracle,1.00,140,2,62.24,58.06,4.428
charge,10.0,a8,oracle,0.00,2461,1,45.90,41.35,0.193
charge,10.0,a8,oracle,0.25,2461,1,52.69,47.44,0.193
charge,10.0,a8,oracle,0.50,2461,1,59.49,53.53,0.193
charge,10.0,a8,oracle,1.00,2461,3,67.25,60.27,0.315
charge,2.0,a8,oracle,0.00,2082,1,44.71,38.64,0.228
charge,2.0,a8,oracle,0.25,2082,1,51.45,44.50,0.228
charge,2.0,a8,oracle,0.50,2082,2,57.53,49.65,0.302
charge,2.0,a8,oracle,1.00,2082,1,62.57,52.52,0.228
