estimator,perturbation,rmse_mean_pct,rmse_worst_run_pct
coulomb counting,no distortion,0.125,0.483
coulomb counting,initial SOC +10 %p,9.953,10.143
coulomb counting,initial SOC -10 %p,10.035,10.370
coulomb counting,current offset +0.10 A,10.319,10.862
coulomb counting,current offset -0.10 A,10.391,11.156
coulomb counting,current gain +1 %,0.368,0.713
coulomb counting,current gain -1 %,0.293,0.513
1RC-EKF,no distortion,1.742,4.445
1RC-EKF,initial SOC +10 %p,1.799,4.462
1RC-EKF,initial SOC -10 %p,1.794,4.460
1RC-EKF,current offset +0.10 A,3.185,7.472
1RC-EKF,current offset -0.10 A,3.917,7.557
1RC-EKF,current gain +1 %,1.778,4.446
1RC-EKF,current gain -1 %,1.748,4.448
2RC-EKF (adopted),no distortion,1.740,4.441
2RC-EKF (adopted),initial SOC +10 %p,1.798,4.458
2RC-EKF (adopted),initial SOC -10 %p,1.792,4.457
2RC-EKF (adopted),current offset +0.10 A,3.067,7.141
2RC-EKF (adopted),current offset -0.10 A,3.772,7.404
2RC-EKF (adopted),current gain +1 %,1.776,4.442
2RC-EKF (adopted),current gain -1 %,1.746,4.444
adaptive-R EKF,no distortion,1.243,4.568
adaptive-R EKF,initial SOC +10 %p,1.409,4.712
adaptive-R EKF,initial SOC -10 %p,1.335,4.320
adaptive-R EKF,current offset +0.10 A,8.152,11.240
adaptive-R EKF,current offset -0.10 A,7.399,9.811
adaptive-R EKF,current gain +1 %,1.368,4.398
adaptive-R EKF,current gain -1 %,1.183,4.747
dual EKF (current bias),no distortion,1.870,5.134
dual EKF (current bias),initial SOC +10 %p,1.923,5.148
dual EKF (current bias),initial SOC -10 %p,1.918,5.148
dual EKF (current bias),current offset +0.10 A,2.533,6.270
dual EKF (current bias),current offset -0.10 A,3.328,7.117
dual EKF (current bias),current gain +1 %,1.897,5.085
dual EKF (current bias),current gain -1 %,1.881,5.191
UKF,no distortion,1.763,4.907
UKF,initial SOC +10 %p,1.751,4.382
UKF,initial SOC -10 %p,1.740,4.443
UKF,current offset +0.10 A,3.820,9.774
UKF,current offset -0.10 A,4.068,8.100
UKF,current gain +1 %,1.810,4.808
UKF,current gain -1 %,1.787,5.231
