direction,tau_s,method,cell,n,lambda_deployed,lambda_fleet,lambda_cell_oracle,usable_pct,vs_fleet_pct,vs_cell_oracle_pct,exceed_deployed,exceed_fleet,binding_cell
discharge,10.0,a8,BOOST,115,0.6831,0.6831,0.6930,70.30,100.0,98.6,0,0,BOOST_NEGPULSE_1S
discharge,10.0,a8,BOOST_NEGPULSE,47,0.6831,0.6831,0.8538,64.20,100.0,80.0,0,0,BOOST_NEGPULSE_1S
discharge,10.0,a8,BOOST_NEGPULSE_1S,124,0.6930,0.6831,0.6831,71.47,101.4,101.4,1,0,BOOST_NEGPULSE_1S
discharge,10.0,a8,BOOST_REST,19,0.6831,0.6831,0.9188,58.94,100.0,74.4,0,0,BOOST_NEGPULSE_1S
discharge,10.0,a8,CC,110,0.6831,0.6831,0.7112,68.09,100.0,96.1,0,0,BOOST_NEGPULSE_1S
discharge,10.0,a8,CC_CELL2,81,0.6831,0.6831,0.7306,69.04,100.0,93.5,0,0,BOOST_NEGPULSE_1S
discharge,10.0,a8,(mean),496,,0.6831,,68.89,100.4,95.2,1,0,BOOST_NEGPULSE_1S
discharge,2.0,a8,BOOST,40,0.5021,0.5021,0.5665,57.78,100.0,88.6,0,0,BOOST_NEGPULSE_1S
discharge,2.0,a8,BOOST_NEGPULSE_1S,43,0.5091,0.5021,0.5021,59.86,101.4,101.4,1,0,BOOST_NEGPULSE_1S
discharge,2.0,a8,CC,41,0.5021,0.5021,0.5091,61.03,100.0,98.6,0,0,BOOST_NEGPULSE_1S
discharge,2.0,a8,CC_CELL2,14,0.5021,0.5021,0.6374,63.60,100.0,78.8,0,0,BOOST_NEGPULSE_1S
discharge,2.0,a8,(mean),138,,0.5021,,59.99,100.4,94.6,1,0,BOOST_NEGPULSE_1S
charge,10.0,a8,BOOST,442,0.5272,0.5272,0.6778,56.21,100.0,77.8,0,0,BOOST_NEGPULSE_1S
charge,10.0,a8,BOOST_NEGPULSE,389,0.5272,0.5272,0.8393,51.49,100.0,62.8,0,0,BOOST_NEGPULSE_1S
charge,10.0,a8,BOOST_NEGPULSE_1S,453,0.5992,0.5272,0.5272,65.96,113.6,113.6,2,0,BOOST_NEGPULSE_1S
charge,10.0,a8,BOOST_REST,326,0.5272,0.5272,0.7426,48.13,100.0,71.0,0,0,BOOST_NEGPULSE_1S
charge,10.0,a8,CC,422,0.5272,0.5272,0.5992,55.11,100.0,88.0,0,0,BOOST_NEGPULSE_1S
charge,10.0,a8,CC_CELL2,427,0.5272,0.5272,0.7345,53.55,100.0,71.8,0,0,BOOST_NEGPULSE_1S
charge,10.0,a8,(mean),2459,,0.5272,,55.54,102.5,81.8,2,0,BOOST_NEGPULSE_1S
charge,2.0,a8,BOOST,387,0.5479,0.5479,0.6225,60.31,100.0,88.0,0,0,BOOST_NEGPULSE_1S
charge,2.0,a8,BOOST_NEGPULSE,319,0.5479,0.5479,0.7607,52.62,100.0,72.0,0,0,BOOST_NEGPULSE_1S
charge,2.0,a8,BOOST_NEGPULSE_1S,384,0.5788,0.5479,0.5479,65.96,105.6,105.6,3,0,BOOST_NEGPULSE_1S
charge,2.0,a8,BOOST_REST,254,0.5479,0.5479,0.7370,49.96,100.0,74.3,0,0,BOOST_NEGPULSE_1S
charge,2.0,a8,CC,367,0.5479,0.5479,0.5788,58.77,100.0,94.7,0,0,BOOST_NEGPULSE_1S
charge,2.0,a8,CC_CELL2,369,0.5479,0.5479,0.7708,55.31,100.0,71.1,0,0,BOOST_NEGPULSE_1S
charge,2.0,a8,(mean),2080,,0.5479,,57.75,101.0,85.3,3,0,BOOST_NEGPULSE_1S
discharge,10.0,a3,(mean),496,,0.6556,,67.43,100.8,94.5,1,0,BOOST
discharge,2.0,a3,(mean),138,,0.4905,,60.71,100.5,94.9,1,0,CC
charge,10.0,a3,(mean),2459,,0.5186,,54.83,102.2,82.6,2,0,BOOST_NEGPULSE_1S
charge,2.0,a3,(mean),2080,,0.5388,,56.89,100.7,85.9,3,0,BOOST_NEGPULSE_1S
discharge,10.0,lstm,(mean),492,,0.6239,,67.90,100.3,96.0,1,0,CC
discharge,2.0,lstm,(mean),138,,0.4481,,60.58,102.5,95.0,2,0,CC
charge,10.0,lstm,(mean),2459,,0.5125,,56.59,101.9,86.2,1,0,BOOST_NEGPULSE_1S
charge,2.0,lstm,(mean),2080,,0.5324,,58.74,100.6,88.9,1,0,BOOST_NEGPULSE_1S
discharge,10.0,gru,(mean),492,,0.6235,,67.50,100.1,95.0,1,0,BOOST
discharge,2.0,gru,(mean),138,,0.4528,,61.44,102.4,95.0,2,0,CC
charge,10.0,gru,(mean),2459,,0.5292,,57.99,100.9,88.2,1,0,BOOST_NEGPULSE_1S
charge,2.0,gru,(mean),2080,,0.5377,,59.40,100.4,89.3,2,0,BOOST_NEGPULSE_1S
discharge,10.0,ffrls,(mean),493,,0.4732,,43.42,105.4,75.0,3,0,CC
discharge,2.0,ffrls,(mean),138,,0.4110,,46.35,112.4,84.9,2,0,CC
charge,10.0,ffrls,(mean),2459,,0.4910,,50.11,101.8,80.4,11,0,CC
charge,2.0,ffrls,(mean),2080,,0.4909,,51.06,103.9,82.3,9,0,CC
discharge,10.0,shrink,(mean),496,,0.7162,,65.30,100.7,91.8,2,0,CC
discharge,2.0,shrink,(mean),138,,0.5146,,61.60,100.1,95.4,1,0,BOOST_NEGPULSE_1S
charge,10.0,shrink,(mean),2459,,0.5551,,55.62,101.9,83.6,2,0,BOOST_NEGPULSE_1S
charge,2.0,shrink,(mean),2080,,0.5618,,56.27,101.1,86.1,3,0,BOOST_NEGPULSE_1S
