direction,tau_s,method,n_cells,rmse_mV,BOOST,BOOST_NEGPULSE,BOOST_NEGPULSE_1S,BOOST_REST,CC,CC_CELL2
discharge,pooled,A0,6,85.36,61.54,87.91,76.54,147.71,73.47,64.97
discharge,2.0,A0,6,78.31,56.01,78.99,71.97,132.09,70.37,60.43
discharge,10.0,A0,6,91.83,66.61,96.01,80.86,161.82,76.44,69.22
charge,pooled,A0,6,49.90,38.39,46.50,45.89,87.19,44.30,37.13
charge,2.0,A0,6,49.22,36.91,46.60,45.16,86.22,43.92,36.53
charge,10.0,A0,6,50.56,39.81,46.40,46.62,88.16,44.67,37.72
discharge,pooled,direct,6,134.57,151.48,142.41,129.19,130.28,159.93,94.14
discharge,2.0,direct,6,109.00,119.49,119.48,98.97,109.32,125.35,81.37
discharge,10.0,direct,6,155.90,177.80,162.12,153.57,148.30,188.26,105.38
charge,pooled,direct,6,87.20,94.95,99.09,81.73,87.55,102.00,57.90
charge,2.0,direct,6,72.33,75.69,84.79,63.30,75.66,82.14,52.38
charge,10.0,direct,6,99.79,110.92,111.56,96.71,98.01,118.58,62.94
discharge,pooled,shrink,6,69.23,46.48,73.80,48.56,114.91,59.23,72.39
discharge,2.0,shrink,6,60.92,34.35,67.24,46.37,104.87,47.04,65.64
discharge,10.0,shrink,6,76.42,56.04,79.82,50.66,124.13,69.30,78.56
charge,pooled,shrink,6,39.79,24.89,41.49,30.11,68.28,33.33,40.62
charge,2.0,shrink,6,38.36,22.16,41.11,28.32,66.95,31.57,40.03
charge,10.0,shrink,6,41.13,27.35,41.86,31.81,69.58,35.01,41.21
discharge,pooled,A8,6,62.78,44.27,60.88,57.47,99.29,52.69,62.07
discharge,2.0,A8,6,56.36,38.89,54.10,53.77,86.04,47.79,57.55
discharge,10.0,A8,6,68.57,49.06,66.97,60.94,110.97,57.18,66.29
charge,pooled,A8,6,36.70,25.92,33.45,33.55,60.66,30.00,36.64
charge,2.0,A8,6,35.48,23.47,32.94,32.49,59.39,28.63,35.94
charge,10.0,A8,6,37.87,28.15,33.95,34.57,61.91,31.30,37.32
discharge,pooled,A3,6,58.71,46.44,56.59,58.00,83.49,54.58,53.16
discharge,2.0,A3,6,52.54,40.95,51.36,54.11,71.29,50.55,46.98
discharge,10.0,A3,6,64.25,51.34,61.37,61.65,94.13,58.33,58.70
charge,pooled,A3,6,34.09,27.92,29.95,34.28,50.34,32.29,29.77
charge,2.0,A3,6,32.86,25.79,29.55,33.24,48.82,31.32,28.47
charge,10.0,A3,6,35.27,29.91,30.34,35.29,51.81,33.24,31.01
discharge,pooled,RLS,6,49.89,42.24,49.48,46.35,70.21,50.58,40.49
discharge,2.0,RLS,6,47.42,41.11,44.77,44.96,67.52,50.87,35.29
discharge,10.0,RLS,6,52.17,43.35,53.77,47.71,72.80,50.28,45.09
charge,pooled,RLS,6,33.59,27.58,32.20,31.37,53.21,31.30,25.87
charge,2.0,RLS,6,31.57,23.92,32.12,28.01,51.20,28.72,25.41
charge,10.0,RLS,6,35.44,30.81,32.27,34.39,55.14,33.68,26.32
