cell,cycle,SOH,CAP_Ah,SOC,direction,rate_rank,I_A,V_pre_V,rest_before_s,n_points,R0_mOhm,R1_mOhm,tau1_s,R2_mOhm,tau2_s,fit_rmse_mV
RPC_CC,1,1.0,2.9103,0.9973,discharge,3,-30.0,4.1819,3841.2,11,10.6028,0.001,0.2134,4.2026,4.8261,0.886
RPC_CC,1,1.0,2.9103,0.9487,discharge,3,-30.0,4.1053,3600.0,11,10.2369,0.001,0.2134,3.1106,5.6061,1.006
RPC_CC,1,1.0,2.9103,0.9002,discharge,3,-30.0,4.0834,3600.0,11,10.114,0.001,0.2134,3.7354,7.7948,0.929
RPC_CC,1,1.0,2.9103,0.8032,discharge,3,-30.0,4.0341,3600.0,11,10.2802,0.001,0.2134,5.2171,8.0319,1.04
RPC_CC,1,1.0,2.9103,0.7062,discharge,3,-30.0,3.9276,3600.0,11,10.2026,0.001,0.2134,4.0642,6.9144,1.164
RPC_CC,1,1.0,2.9103,0.6091,discharge,3,-30.0,3.845,3600.0,11,9.9585,0.001,0.2134,4.4924,8.2762,0.958
RPC_CC,1,1.0,2.9103,0.5855,charge,1,15.001,3.8002,60.0,11,9.3824,0.001,0.2134,6.4569,11.8574,0.521
RPC_CC,1,1.0,2.9103,0.5121,discharge,3,-30.0,3.7408,3600.0,11,9.6617,0.001,0.2134,4.9757,8.0319,0.911
RPC_CC,1,1.0,2.9103,0.4884,charge,1,15.001,3.707,60.0,11,9.3455,0.001,0.2134,5.198,8.2762,0.408
RPC_CC,1,1.0,2.9103,0.415,discharge,3,-30.0,3.6593,3600.0,11,9.6342,0.001,0.2134,5.2388,8.528,0.699
RPC_CC,1,1.0,2.9103,0.3914,charge,1,15.001,3.628,60.0,11,9.2574,0.001,0.2134,5.403,8.2762,0.229
RPC_CC,1,1.0,2.9103,0.318,discharge,3,-30.0,3.6012,3600.0,11,9.7185,0.001,0.2134,5.8094,9.0547,0.587
RPC_CC,1,1.0,2.9103,0.2944,charge,1,15.001,3.5633,60.0,11,9.3172,0.001,0.2134,6.9861,11.5074,0.158
RPC_CC,1,1.0,2.9103,0.221,discharge,3,-30.0,3.5154,3600.0,11,10.0598,0.001,0.2134,5.2738,7.5647,0.777
RPC_CC,1,1.0,2.9103,0.1973,charge,1,15.001,3.4683,60.0,11,9.638,0.001,0.2134,7.5261,11.8574,0.39
RPC_CC,1,1.0,2.9103,0.1724,discharge,3,-30.0,3.4481,3600.0,11,10.2697,0.001,0.2134,7.9184,14.6245,1.42
RPC_CC,1,1.0,2.9103,0.1488,charge,1,15.001,3.422,60.0,11,9.7923,0.001,0.2134,4.4505,9.0547,0.42
RPC_CC,1,1.0,2.9103,0.1003,charge,1,15.001,3.3833,60.0,11,10.4963,0.001,0.2134,4.136,5.9524,0.64
RPC_CC,1,1.0,2.9103,0.0754,discharge,2,-24.733,3.3665,3600.0,11,14.9598,0.001,0.2134,19.3754,2.4964,32.126
RPC_CC,1,1.0,2.9103,0.0572,charge,1,15.0,3.2323,60.0,11,12.3409,0.001,0.2134,13.7716,9.9063,0.511
RPC_CC,1,1.0,2.9103,0.0357,charge,1,15.001,3.0474,60.0,11,14.6393,0.001,0.2134,21.2391,11.1677,0.865
RPC_CC,1,1.0,2.9103,0.025,charge,1,15.001,2.9003,60.0,11,16.7104,0.001,0.2134,25.5828,9.9063,1.148
RPC_CC,1,1.0,2.9103,0.9973,discharge,3,-30.0,4.1851,1454.8,12,10.5516,0.001,0.2134,4.3261,4.9729,0.875
RPC_CC,1,1.0,2.9103,0.9487,discharge,3,-30.0,4.1045,300.0,12,10.0132,0.001,0.2134,3.0938,5.6061,0.999
