cell,cycle,SOC,direction,I_A,tau_s,tau_actual_s,T_C,rest_before_s,V_pre_V,V_tau_V,R_mOhm,CAP_Ah,SOH
RPC_CC,1,0.9973,discharge,-30.0,2.0,2.0,25.43,3841.2,4.1819,3.82,12.0633,2.9103,1.0
RPC_CC,1,0.9973,discharge,-30.0,10.0,9.0,25.43,3841.2,4.1819,3.7564,14.1833,2.9103,1.0
RPC_CC,1,0.9726,charge,2.251,2.0,2.0,26.26,60.0,4.12,4.1501,13.3695,2.9103,1.0
RPC_CC,1,0.9726,charge,2.251,10.0,9.0,26.26,60.0,4.12,4.15,13.325,2.9103,1.0
RPC_CC,1,0.9487,discharge,-30.0,2.0,2.0,25.43,3600.0,4.1053,3.7689,11.2133,2.9103,1.0
RPC_CC,1,0.9487,discharge,-30.0,10.0,9.0,25.43,3600.0,4.1053,3.7227,12.7533,2.9103,1.0
RPC_CC,1,0.9244,charge,5.481,2.0,2.0,26.19,60.0,4.0837,4.1501,12.1137,2.9103,1.0
RPC_CC,1,0.9244,charge,5.481,10.0,9.0,26.19,60.0,4.0837,4.15,12.0955,2.9103,1.0
RPC_CC,1,0.9002,discharge,-30.0,2.0,2.0,25.48,3600.0,4.0834,3.7533,11.0033,2.9103,1.0
RPC_CC,1,0.9002,discharge,-30.0,10.0,9.0,25.48,3600.0,4.0834,3.7026,12.6933,2.9103,1.0
RPC_CC,1,0.876,charge,6.796,2.0,2.0,26.25,60.0,4.0685,4.1501,12.0074,2.9103,1.0
RPC_CC,1,0.876,charge,6.796,10.0,9.0,26.25,60.0,4.0685,4.15,11.9927,2.9103,1.0
RPC_CC,1,0.8032,discharge,-30.0,2.0,1.0,25.45,3600.0,4.0341,3.7057,10.9467,2.9103,1.0
RPC_CC,1,0.8032,discharge,-30.0,10.0,9.0,25.45,3600.0,4.0341,3.6196,13.8167,2.9103,1.0
RPC_CC,1,0.7795,charge,13.137,2.0,2.0,26.28,60.0,3.9822,4.1494,12.7274,2.9103,1.0
RPC_CC,1,0.7795,charge,13.137,10.0,9.0,26.28,60.0,3.9822,4.1501,12.7807,2.9103,1.0
RPC_CC,1,0.7062,discharge,-30.0,2.0,2.0,25.46,3600.0,3.9276,3.5894,11.2733,2.9103,1.0
RPC_CC,1,0.7062,discharge,-30.0,10.0,9.0,25.46,3600.0,3.9276,3.5318,13.1933,2.9103,1.0
RPC_CC,1,0.6825,charge,15.001,2.0,2.0,26.2,60.0,3.8781,4.0351,10.466,2.9103,1.0
RPC_CC,1,0.6825,charge,15.001,10.0,9.0,26.2,60.0,3.8781,4.0817,13.5724,2.9103,1.0
RPC_CC,1,0.6091,discharge,-30.0,2.0,1.0,25.49,3600.0,3.845,3.5294,10.52,2.9103,1.0
RPC_CC,1,0.6091,discharge,-30.0,10.0,9.0,25.49,3600.0,3.845,3.4562,12.96,2.9103,1.0
RPC_CC,1,0.5855,charge,15.001,2.0,2.0,26.18,60.0,3.8002,3.9567,10.4326,2.9103,1.0
RPC_CC,1,0.5855,charge,15.001,10.0,9.0,26.18,60.0,3.8002,3.9929,12.8458,2.9103,1.0
RPC_CC,1,0.5121,discharge,-30.0,2.0,2.0,25.49,3600.0,3.7408,3.4168,10.8,2.9103,1.0
RPC_CC,1,0.5121,discharge,-30.0,10.0,9.0,25.49,3600.0,3.7408,3.3496,13.04,2.9103,1.0
RPC_CC,1,0.4884,charge,15.001,2.0,2.0,26.23,60.0,3.707,3.8645,10.4993,2.9103,1.0
RPC_CC,1,0.4884,charge,15.001,10.0,9.0,26.23,60.0,3.707,3.8992,12.8125,2.9103,1.0
RPC_CC,1,0.415,discharge,-30.0,2.0,2.0,25.48,3600.0,3.6593,3.3364,10.7633,2.9103,1.0
RPC_CC,1,0.415,discharge,-30.0,10.0,9.0,25.48,3600.0,3.6593,3.2674,13.0633,2.9103,1.0
RPC_CC,1,0.3914,charge,15.001,2.0,2.0,26.31,60.0,3.628,3.7846,10.4393,2.9103,1.0
RPC_CC,1,0.3914,charge,15.001,10.0,9.0,26.31,60.0,3.628,3.8208,12.8525,2.9103,1.0
RPC_CC,1,0.318,discharge,-30.0,2.0,2.0,25.48,3600.0,3.6012,3.2743,10.8967,2.9103,1.0
RPC_CC,1,0.318,discharge,-30.0,10.0,9.0,25.48,3600.0,3.6012,3.1995,13.39,2.9103,1.0
RPC_CC,1,0.2944,charge,15.001,2.0,2.0,26.38,60.0,3.5633,3.72,10.446,2.9103,1.0
RPC_CC,1,0.2944,charge,15.001,10.0,9.0,26.38,60.0,3.5633,3.76,13.1125,2.9103,1.0
RPC_CC,1,0.221,discharge,-30.0,2.0,2.0,25.48,3600.0,3.5154,3.1758,11.32,2.9103,1.0
RPC_CC,1,0.221,discharge,-30.0,10.0,9.0,25.48,3600.0,3.5154,3.1029,13.75,2.9103,1.0
RPC_CC,1,0.1973,charge,15.001,2.0,2.0,26.39,60.0,3.4683,3.631,10.8459,2.9103,1.0
RPC_CC,1,0.1973,charge,15.001,10.0,9.0,26.39,60.0,3.4683,3.6732,13.6591,2.9103,1.0
RPC_CC,1,0.1724,discharge,-30.0,2.0,2.0,25.48,3600.0,3.4481,3.1077,11.3467,2.9103,1.0
RPC_CC,1,0.1724,discharge,-30.0,10.0,9.0,25.48,3600.0,3.4481,3.0296,13.95,2.9103,1.0
RPC_CC,1,0.1488,charge,15.001,2.0,2.0,26.41,60.0,3.422,3.5827,10.7126,2.9103,1.0
RPC_CC,1,0.1488,charge,15.001,10.0,9.0,26.41,60.0,3.422,3.6113,12.6192,2.9103,1.0
RPC_CC,1,0.1239,discharge,-30.0,2.0,2.0,25.48,3600.0,3.4148,3.0243,13.0167,2.9103,1.0
RPC_CC,1,0.1239,discharge,-30.0,10.0,9.0,25.48,3600.0,3.4148,2.8088,20.2,2.9103,1.0
RPC_CC,1,0.1003,charge,15.001,2.0,2.0,26.68,60.0,3.3833,3.5593,11.7326,2.9103,1.0
RPC_CC,1,0.1003,charge,15.001,10.0,9.0,26.68,60.0,3.3833,3.5897,13.7591,2.9103,1.0
RPC_CC,1,0.0754,discharge,-24.733,2.0,2.0,25.47,3600.0,3.3665,2.7796,23.7294,2.9103,1.0
RPC_CC,1,0.0754,discharge,-24.733,10.0,9.0,25.47,3600.0,3.3665,2.5497,33.0247,2.9103,1.0
RPC_CC,1,0.0572,charge,15.0,2.0,2.0,26.86,60.0,3.2323,3.4559,14.9067,2.9103,1.0
RPC_CC,1,0.0572,charge,15.0,10.0,9.0,26.86,60.0,3.2323,3.541,20.58,2.9103,1.0
RPC_CC,1,0.0463,discharge,-11.56,2.0,1.0,25.49,3600.0,3.2149,2.5463,57.8374,2.9103,1.0
RPC_CC,1,0.0463,discharge,-11.56,10.0,9.0,25.49,3600.0,3.2149,2.5498,57.5346,2.9103,1.0
RPC_CC,1,0.0357,charge,15.001,2.0,2.0,26.32,60.0,3.0474,3.3205,18.2055,2.9103,1.0
RPC_CC,1,0.0357,charge,15.001,10.0,9.0,26.32,60.0,3.0474,3.444,26.4382,2.9103,1.0
RPC_CC,1,0.0318,discharge,-8.039,2.0,1.0,25.51,3600.0,3.0928,2.5482,67.7456,2.9103,1.0
RPC_CC,1,0.0318,discharge,-8.039,10.0,9.0,25.51,3600.0,3.0928,2.5498,67.5466,2.9103,1.0
RPC_CC,1,0.025,charge,15.001,2.0,2.0,26.0,60.0,2.9003,3.2227,21.4919,2.9103,1.0
RPC_CC,1,0.025,charge,15.001,10.0,9.0,26.0,60.0,2.9003,3.3809,32.0379,2.9103,1.0
RPC_CC,1,0.9973,discharge,-30.0,2.0,2.0,25.48,1454.8,4.1851,3.8244,12.0233,2.9103,1.0
RPC_CC,1,0.9973,discharge,-30.0,10.0,9.0,25.48,1454.8,4.1851,3.7594,14.19,2.9103,1.0
RPC_CC,1,0.9487,discharge,-30.0,2.0,2.0,25.88,300.0,4.1045,3.7749,10.9867,2.9103,1.0
RPC_CC,1,0.9487,discharge,-30.0,10.0,9.0,25.88,300.0,4.1045,3.7292,12.51,2.9103,1.0
RPC_CC,1,0.9002,discharge,-30.0,2.0,2.0,25.97,300.0,4.0823,3.7605,10.7267,2.9103,1.0
RPC_CC,1,0.9002,discharge,-30.0,10.0,9.0,25.97,300.0,4.0823,3.7087,12.4533,2.9103,1.0
RPC_CC,1,0.8032,discharge,-30.001,2.0,2.0,25.88,300.0,4.0318,3.6951,11.223,2.9103,1.0
RPC_CC,1,0.8032,discharge,-30.001,10.0,9.0,25.88,300.0,4.0318,3.6238,13.5995,2.9103,1.0
RPC_CC,1,0.7061,discharge,-30.001,2.0,2.0,25.92,300.0,3.9245,3.5962,10.943,2.9103,1.0
RPC_CC,1,0.7061,discharge,-30.001,10.0,9.0,25.92,300.0,3.9245,3.5373,12.9062,2.9103,1.0
RPC_CC,1,0.6091,discharge,-30.001,2.0,2.0,25.95,300.0,3.831,3.5162,10.493,2.9103,1.0
RPC_CC,1,0.6091,discharge,-30.001,10.0,9.0,25.95,300.0,3.831,3.4545,12.5496,2.9103,1.0
RPC_CC,1,0.5121,discharge,-30.0,2.0,2.0,25.81,300.0,3.7385,3.4192,10.6433,2.9103,1.0
RPC_CC,1,0.5121,discharge,-30.0,10.0,9.0,25.81,300.0,3.7385,3.3488,12.99,2.9103,1.0
RPC_CC,1,0.415,discharge,-30.0,2.0,2.0,25.75,300.0,3.6555,3.3372,10.61,2.9103,1.0
RPC_CC,1,0.415,discharge,-30.0,10.0,9.0,25.75,300.0,3.6555,3.2659,12.9867,2.9103,1.0
RPC_CC,1,0.318,discharge,-30.001,2.0,2.0,25.82,300.0,3.5947,3.2738,10.6963,2.9103,1.0
RPC_CC,1,0.318,discharge,-30.001,10.0,9.01,25.82,300.0,3.5947,3.1983,13.2129,2.9103,1.0
RPC_CC,1,0.221,discharge,-30.001,2.0,2.0,25.96,300.0,3.5118,3.1818,10.9996,2.9103,1.0
RPC_CC,1,0.221,discharge,-30.001,10.0,9.0,25.96,300.0,3.5118,3.1096,13.4062,2.9103,1.0
RPC_CC,1,0.1724,discharge,-30.001,2.0,1.0,26.07,300.0,3.4478,3.1332,10.4863,2.9103,1.0
RPC_CC,1,0.1724,discharge,-30.001,10.0,9.0,26.07,300.0,3.4478,3.0355,13.7429,2.9103,1.0
RPC_CC,1,0.1239,discharge,-30.001,2.0,2.0,26.13,300.0,3.412,3.0324,12.6529,2.9103,1.0
