sheet,cycle,temp_C,SOC,cap_Ah,SOP_disch,SOP_disch_CCCV,SOP_char,SOP_char_CCCV
Test#1,1,25,1.0,,-112.7815,-112.782,,
Test#1,1,10,1.0,,-108.2074,-108.2062,,
Test#1,1,25,0.95,,-111.8758,-111.8762,13.2728,13.271
Test#1,1,10,0.95,,-107.7838,-107.7779,10.082,10.082
Test#1,1,25,0.9,,-111.2665,-111.2606,21.6112,21.6106
Test#1,1,10,0.9,,-107.2865,-107.2839,15.6171,15.6171
Test#1,1,25,0.8,,-108.7202,-108.7184,35.8985,35.8962
Test#1,1,10,0.8,,-104.9006,-104.8957,27.1654,27.1654
Test#1,1,25,0.7,,-106.1246,-106.1213,61.7396,61.7388
Test#1,1,10,0.7,,-102.3506,-102.3514,55.8349,55.8349
Test#1,1,25,0.6,,-103.643,-103.6377,60.4218,60.4178
Test#1,1,10,0.6,,-99.5929,-99.5895,61.1754,61.1754
Test#1,1,25,0.5,,-100.469,-100.4702,58.898,58.8996
Test#1,1,10,0.5,,-96.5338,-96.532,59.8446,59.8446
Test#1,1,25,0.4,,-97.9762,-97.9782,57.6355,57.6378
Test#1,1,10,0.4,,-94.0818,-94.0846,58.5699,58.5699
Test#1,1,25,0.3,,-95.9568,-95.957,56.7496,56.7471
Test#1,1,10,0.3,,-91.7656,-91.7587,57.6698,57.6698
Test#1,1,25,0.2,,-93.2872,-93.2876,55.6302,55.6316
Test#1,1,10,0.2,,-87.8038,-87.8001,56.5473,56.5482
Test#1,1,25,0.15,,-90.8086,-91.0675,54.7545,54.7568
Test#1,1,10,0.15,,-81.7358,-81.931,55.7548,55.7548
Test#1,1,25,0.1,,-83.7618,-84.4611,54.0732,54.0755
Test#1,1,10,0.1,,-54.5063,-39.6506,55.2698,55.2698
Test#1,1,25,0.05,,-51.5481,-36.8344,53.7871,53.7881
Test#1,1,10,0.05,,-25.3043,-15.3607,54.9663,54.9663
Test#1,1,25,0.02,,-28.5282,-19.2615,52.6212,52.6205
Test#1,1,25,0.005,,-16.8771,-9.4647,51.2432,51.2447
Test#1,136,25,1.0,,-112.2948,-112.2963,,
Test#1,136,10,1.0,2.911126,-107.0656,-106.8053,,
Test#1,136,25,0.95,,-111.52,-111.5218,13.9464,
Test#1,136,10,0.95,2.911126,-106.7377,-106.7394,10.7811,10.7811
Test#1,136,25,0.9,,-110.8717,-110.8713,21.9681,21.9609
Test#1,136,10,0.9,2.911126,-106.2203,-106.2205,15.9679,15.9679
Test#1,136,25,0.8,,-108.331,-108.3274,37.3256,37.326
Test#1,136,10,0.8,2.911126,-104.0654,-104.0589,30.5354,30.5354
Test#1,136,25,0.7,,-105.9768,-105.9761,61.7108,61.7107
Test#1,136,10,0.7,2.911126,-101.8966,-101.8958,57.4732,57.4732
Test#1,136,25,0.6,,-103.4754,-103.4701,60.4059,60.4038
Test#1,136,10,0.6,2.911126,-98.7902,-99.079,61.0525,61.0525
Test#1,136,25,0.5,,-100.2481,-100.2524,58.8813,58.8823
Test#1,136,10,0.5,2.911126,-95.7103,-95.9886,59.6675,59.6675
Test#1,136,25,0.4,,-97.7442,-97.7427,57.6353,57.6341
Test#1,136,10,0.4,2.911126,-93.201,-93.4702,58.4429,58.4429
Test#1,136,25,0.3,,-95.6178,-95.618,56.7455,56.7456
Test#1,136,10,0.3,2.911126,-90.445,-90.7112,57.5383,57.5383
Test#1,136,25,0.2,,-92.5493,-92.552,55.6131,55.6125
Test#1,136,10,0.2,2.911126,-82.6685,-83.965,56.2713,56.2713
Test#1,136,25,0.15,,-88.9239,-89.2033,54.7398,54.7394
Test#1,136,10,0.15,2.911126,-60.6031,-58.9068,55.5385,55.5385
Test#1,136,25,0.1,,-78.5087,-77.9417,54.1346,54.1351
Test#1,136,10,0.1,2.911126,-33.9081,-27.0909,55.2774,55.2774
Test#1,136,25,0.05,,-45.7109,-32.344,53.8682,53.8674
Test#1,136,25,0.02,,-25.4869,-16.6782,52.6989,52.7023
Test#1,136,25,0.005,,-14.242,-8.3065,51.3455,51.3423
Test#1,264,25,1.0,,-111.1522,-111.1479,,
Test#1,264,10,1.0,,-105.5036,-105.5053,,
Test#1,264,25,0.95,,-110.484,-110.4887,13.643,13.643
Test#1,264,10,0.95,,-105.3995,-105.4034,10.0108,10.0108
Test#1,264,25,0.9,,-109.7561,-109.7561,20.8621,20.8621
Test#1,264,10,0.9,,-104.7236,-104.7193,14.5729,14.5729
Test#1,264,25,0.8,,-107.3607,-107.3581,37.1794,37.1794
Test#1,264,10,0.8,,-102.6937,-102.6946,29.6401,29.6401
Test#1,264,25,0.7,,-105.2074,-105.2089,61.8168,61.8168
Test#1,264,10,0.7,,-100.7168,-100.7206,53.1275,53.1275
Test#1,264,25,0.6,,-102.636,-102.6348,60.4774,60.4774
Test#1,264,10,0.6,,-97.9171,-97.9156,61.3466,61.3466
Test#1,264,25,0.5,,-99.4506,-99.453,59.0166,59.0166
Test#1,264,10,0.5,,-94.8568,-94.8559,60.0162,60.0162
Test#1,264,25,0.4,,-96.9453,-96.9474,57.778,57.778
Test#1,264,10,0.4,,-92.2635,-92.2598,58.8039,58.8039
Test#1,264,25,0.3,,-94.6623,-94.6652,56.8933,56.8933
Test#1,264,10,0.3,,-89.0191,-89.2597,57.9252,57.9252
Test#1,264,25,0.2,,-90.9211,-90.9185,55.7668,55.7668
Test#1,264,10,0.2,,-80.9643,-81.3731,56.8544,56.8544
Test#1,264,25,0.15,,-85.4371,-85.7918,54.9322,54.9322
Test#1,264,10,0.15,,-62.4543,-54.0559,56.1309,56.1309
Test#1,264,25,0.1,,-68.3267,-61.5683,54.3666,54.3666
Test#1,264,10,0.1,,-36.7309,-27.7237,55.6913,55.6913
Test#1,264,25,0.05,,-38.219,-28.602,54.105,54.105
Test#1,264,10,0.05,,-18.8503,-13.1547,55.3225,55.3225
Test#1,264,25,0.02,,-22.431,-15.1183,53.085,53.085
Test#1,264,25,0.005,,-13.244,-8.7715,51.8403,51.8403
Test#1,389,25,1.0,,-110.1364,-110.135,,
Test#1,389,10,1.0,,-103.8232,-103.4016,,
Test#1,389,25,0.95,,-109.5463,-109.5538,12.9723,12.9723
Test#1,389,10,0.95,,-103.846,-103.5252,9.1172,9.1172
Test#1,389,25,0.9,,-108.7618,-108.7604,19.605,19.605
Test#1,389,10,0.9,,-102.9881,-102.9864,13.1645,13.1645
Test#1,389,25,0.8,,-106.5357,-106.5359,36.1633,36.1633
Test#1,389,10,0.8,,-101.2332,-101.2341,28.8666,28.8666
Test#1,389,25,0.7,,-104.5016,-104.5028,61.9495,61.9495
Test#1,389,10,0.7,,-99.4065,-99.4074,50.2525,50.2525
Test#1,389,25,0.6,,-101.9006,-101.9037,60.5983,60.5983
Test#1,389,10,0.6,,-96.7342,-96.7344,61.5707,61.5707
Test#1,389,25,0.5,,-98.7813,-98.7776,59.1965,59.1965
Test#1,389,10,0.5,,-93.8014,-93.7978,60.2689,60.2689
Test#1,389,25,0.4,,-96.258,-96.2582,57.9672,57.9672
Test#1,389,10,0.4,,-91.1533,-91.1561,59.0855,59.0855
Test#1,389,25,0.3,,-93.8607,-93.8596,57.0813,57.0813
Test#1,389,10,0.3,,-87.5248,-87.9481,58.2253,58.2253
Test#1,389,25,0.2,,-89.5998,-89.5981,56.0072,56.0072
Test#1,389,10,0.2,,-79.3914,-79.3895,57.2058,57.2058
Test#1,389,25,0.15,,-84.202,-83.7127,55.2469,55.2469
Test#1,389,10,0.15,,-56.3491,-56.3499,56.5621,56.5621
Test#1,389,25,0.1,,-65.6018,-57.9914,54.6145,54.6145
Test#1,389,10,0.1,,-34.3074,-31.7619,56.0588,56.0588
Test#1,389,25,0.05,,-39.5353,-29.3071,54.3614,54.3614
Test#1,389,10,0.05,,-19.136,-15.9093,55.6824,55.6824
Test#1,389,25,0.02,,-24.4611,-16.8474,53.8185,53.8185
Test#1,389,25,0.005,,-17.1031,-11.3416,52.9178,52.9178
Test#1,495,25,1.0,,-109.14,-109.13,,
Test#1,495,10,1.0,,-102.21,-101.69,,
Test#1,495,25,0.95,,-108.61,-108.61,12.397,12.397
Test#1,495,10,0.95,,-102.22,-101.84,8.2216,8.2216
Test#1,495,25,0.9,,-107.78,-107.78,18.381,18.381
Test#1,495,10,0.9,,-101.68,-101.39,12.001,12.001
Test#1,495,25,0.8,,-105.69,-105.68,36.066,36.066
Test#1,495,10,0.8,,-99.694,-99.69,28.897,28.897
Test#1,495,25,0.7,,-103.69,-103.69,62.034,62.034
Test#1,495,10,0.7,,-97.842,-97.839,48.681,48.681
Test#1,495,25,0.6,,-100.97,-100.97,60.622,60.622
Test#1,495,10,0.6,,-95.113,-95.109,61.699,61.699
Test#1,495,25,0.5,,-97.873,-97.869,59.261,59.261
Test#1,495,10,0.5,,-92.191,-92.19,60.391,60.391
Test#1,495,25,0.4,,-95.35,-95.349,58.052,58.052
Test#1,495,10,0.4,,-89.437,-89.442,59.249,59.249
Test#1,495,25,0.3,,-92.723,-92.724,57.171,57.171
Test#1,495,10,0.3,,-85.06,-85.491,58.394,58.394
Test#1,495,25,0.2,,-87.419,-87.153,56.063,56.063
Test#1,495,10,0.2,,-66.704,-66.705,57.344,57.344
Test#1,495,25,0.15,,-79.827,-79.047,55.28,55.28
Test#1,495,10,0.15,,-42.848,-42.852,56.719,56.719
Test#1,495,25,0.1,,-54.824,-46.932,54.788,54.788
Test#1,495,10,0.1,,-27.049,-23.9,56.278,56.278
Test#1,495,25,0.05,,-31.824,-23.681,54.481,54.481
Test#1,495,10,0.05,,-15.639,-11.529,,
Test#1,495,25,0.02,,-18.894,-12.391,53.486,53.486
Test#1,495,25,0.005,,-10.9673,-7.0806,,
Test#1,610,25,1.0,,-108.09,-108.09,,
Test#1,610,10,1.0,,-100.65,-100.08,,
Test#1,610,25,0.95,,-107.62,-107.62,11.649,11.649
Test#1,610,10,0.95,,-100.7,-100.25,8.487,8.487
Test#1,610,25,0.9,,-106.81,-106.8,17.039,17.039
Test#1,610,10,0.9,,-100.24,-99.888,13.724,13.724
Test#1,610,25,0.8,,-104.83,-104.82,35.41,35.41
Test#1,610,10,0.8,,-98.254,-98.253,29.857,29.857
Test#1,610,25,0.7,,-102.86,-102.86,62.153,62.153
Test#1,610,10,0.7,,-96.395,-96.396,51.688,51.688
Test#1,610,25,0.6,,-100.08,-100.08,60.714,60.714
Test#1,610,10,0.6,,-93.672,-93.675,61.443,61.443
Test#1,610,25,0.5,,-97.014,-97.017,59.377,59.377
Test#1,610,10,0.5,,-90.796,-90.795,60.591,60.591
Test#1,610,25,0.4,,-94.474,-94.473,58.187,58.187
Test#1,610,10,0.4,,-87.94,-87.936,59.26,59.26
Test#1,610,25,0.3,,-91.643,-91.635,57.328,57.328
Test#1,610,10,0.3,,-82.876,-83.382,58.386,58.386
Test#1,610,25,0.2,,-85.284,-84.903,56.227,56.227
Test#1,610,10,0.2,,-57.873,-57.873,57.872,57.872
Test#1,610,25,0.15,,-76.966,-74.876,55.452,55.452
Test#1,610,10,0.15,,-37.886,-37.885,57.045,57.045
Test#1,610,25,0.1,,-50.047,-42.126,55.006,55.006
Test#1,610,10,0.1,,-24.392,-21.71,56.551,56.551
Test#1,610,25,0.05,,-29.229,-21.628,54.676,54.676
Test#1,610,10,0.05,,-14.782,-10.983,,
Test#1,610,25,0.02,,-16.703,-11.377,53.63,53.63
Test#1,728,25,1.0,,-106.9,-106.9,,
Test#1,728,10,1.0,,-99.263,-99.084,,
Test#1,728,25,0.95,,-106.46,-106.46,10.755,10.755
Test#1,728,10,0.95,,-99.252,-99.165,6.4786,6.4786
Test#1,728,25,0.9,,-105.69,-105.69,15.592,15.592
Test#1,728,10,0.9,,-98.831,-98.778,10.234,10.234
Test#1,728,25,0.8,,-103.82,-103.81,34.35,34.35
Test#1,728,10,0.8,,-97.04,-97.053,27.165,27.165
Test#1,728,25,0.7,,-101.84,-101.84,61.587,61.587
Test#1,728,10,0.7,,-94.888,-95.016,43.891,43.891
Test#1,728,25,0.6,,-99.011,-99.012,60.84,60.84
Test#1,728,10,0.6,,-91.882,-92.133,62.107,62.107
Test#1,728,25,0.5,,-95.998,-95.997,59.534,59.534
Test#1,728,10,0.5,,-88.894,-89.19,60.805,60.805
Test#1,728,25,0.4,,-93.418,-93.42,58.365,58.365
Test#1,728,10,0.4,,-85.755,-86.178,59.773,59.773
Test#1,728,25,0.3,,-90.33,-90.33,57.524,57.524
Test#1,728,10,0.3,,-80.059,-80.949,58.991,58.991
Test#1,728,25,0.2,,-82.868,-82.419,56.437,56.437
Test#1,728,10,0.2,,-50.451,-51.672,57.997,57.997
Test#1,728,25,0.15,,-70.827,-65.15,55.7,55.7
Test#1,728,10,0.15,,-33.614,-34.611,57.383,57.383
Test#1,728,25,0.1,,-46.329,-38.742,55.273,55.273
Test#1,728,10,0.1,,-21.705,-20.509,56.926,56.926
Test#1,728,25,0.05,,-27.937,-20.368,54.911,54.911
Test#1,728,10,0.05,,-14.365,-12.049,,
Test#1,728,25,0.02,,-16.428,-10.783,53.902,53.902
Test#1,841,25,1.0,,-105.74,-105.74,,
Test#1,841,10,1.0,,-97.746,-97.746,,
Test#1,841,25,0.95,,-105.33,-105.33,9.9181,9.9181
Test#1,841,10,0.95,,-97.765,-97.767,5.6411,5.6411
Test#1,841,25,0.9,,-104.64,-104.64,14.364,14.364
Test#1,841,10,0.9,,-97.373,-97.38,9.5421,9.5421
Test#1,841,25,0.8,,-102.84,-102.83,33.313,33.313
Test#1,841,10,0.8,,-95.574,-95.577,26.119,26.119
Test#1,841,25,0.7,,-100.84,-100.84,58.525,58.525
Test#1,841,10,0.7,,-93.326,-93.321,41.767,41.767
Test#1,841,25,0.6,,-97.976,-97.98,60.985,60.985
Test#1,841,10,0.6,,-90.279,-90.285,61.639,61.639
Test#1,841,25,0.5,,-95.015,-95.013,59.687,59.687
Test#1,841,10,0.5,,-87.282,-87.279,61.021,61.021
Test#1,841,25,0.4,,-92.384,-92.388,58.548,58.548
Test#1,841,10,0.4,,-83.85,-83.856,60.052,60.052
