temp_set_C,T_cell_C,tau_s,SOC,direction,I_A,rest_before_s,V_pre_V,V_tau_V,R_mOhm
0,1.29,10.0,1.0043,discharge,-29.998,2988.1,4.193,3.3084,29.4886
0,1.6,10.0,1.0069,discharge,-30.0,20.2,4.1984,3.3067,29.7233
0,1.16,10.0,1.0092,discharge,-2.271,20.0,4.1705,4.0484,53.7554
0,1.17,10.0,0.9618,charge,3.349,20.2,4.0964,4.1998,30.8795
0,1.22,10.0,0.9616,discharge,-29.416,20.2,4.0865,3.3948,23.5144
0,1.56,10.0,0.9642,discharge,-29.778,20.2,4.0943,3.4134,22.8659
0,1.47,10.0,0.9196,charge,4.773,20.2,4.0805,4.2013,25.309
0,1.48,10.0,0.9192,discharge,-29.553,20.2,4.0707,3.3886,23.0806
0,1.6,10.0,0.9219,charge,1.115,20.2,4.0837,4.111,24.4887
0,0.94,10.0,0.8744,charge,4.999,20.2,4.0506,4.1786,25.6072
0,1.28,10.0,0.874,discharge,-29.691,20.2,4.0401,3.3544,23.0945
0,1.16,10.0,0.8767,charge,2.397,20.2,4.0615,4.1199,24.3679
0,0.88,10.0,0.8291,charge,4.998,20.2,3.9947,4.1215,25.3717
0,1.45,10.0,0.8286,discharge,-29.717,20.2,3.9849,3.3207,22.3508
0,0.91,10.0,0.8313,charge,4.631,20.2,4.0099,4.1212,24.0326
0,1.39,10.0,0.8308,charge,4.267,20.2,3.999,4.1096,25.922
0,1.23,10.0,0.7829,charge,5.0,20.2,3.9359,4.0613,25.0825
0,1.01,10.0,0.7825,discharge,-29.591,20.2,3.9262,3.2883,21.5572
0,1.28,10.0,0.7852,charge,4.984,20.2,3.9542,4.0703,23.295
0,1.28,10.0,0.7373,charge,5.0,20.2,3.8923,4.0111,23.7619
0,1.49,10.0,0.7368,discharge,-29.497,20.2,3.8817,3.2565,21.1954
0,1.21,10.0,0.7395,charge,4.98,20.2,3.9046,4.0218,23.5327
0,1.78,10.0,0.6912,charge,4.998,20.2,3.8545,3.9682,22.7509
0,1.23,10.0,0.6907,discharge,-28.806,20.2,3.8435,3.2257,21.4469
0,1.65,10.0,0.6933,charge,4.986,20.2,3.8612,3.9742,22.6657
0,0.9,10.0,0.6929,discharge,-29.687,20.2,3.8489,3.2275,20.9317
0,1.02,10.0,0.6476,charge,4.997,20.2,3.8126,3.9252,22.5317
0,1.78,10.0,0.6471,discharge,-26.784,20.2,3.8013,3.2168,21.8227
0,1.27,10.0,0.6495,charge,4.986,20.2,3.8174,3.9283,22.2427
0,1.73,10.0,0.6008,charge,5.0,20.2,3.7634,3.8768,22.6818
0,1.58,10.0,0.6003,discharge,-24.182,20.2,3.753,3.2104,22.4382
0,1.21,10.0,0.6025,charge,4.99,20.2,3.769,3.8804,22.3264
0,1.15,10.0,0.5531,charge,5.0,20.2,3.7107,3.826,23.0614
0,1.76,10.0,0.5527,discharge,-21.961,20.2,3.7014,3.1984,22.9042
0,1.19,10.0,0.5546,charge,4.986,20.2,3.7182,3.8314,22.7017
0,1.56,10.0,0.5052,charge,4.999,20.2,3.6609,3.7773,23.2833
0,1.71,10.0,0.5047,discharge,-19.592,20.2,3.6536,3.1963,23.3412
0,1.22,10.0,0.5065,charge,4.985,20.2,3.6713,3.7859,22.9899
