cell,cycle,SOH,SOC_true,SOC_ekf,soc_err,extrap,I_meas_A,I_oracle_A,I_ekf_A
BOOST,40,0.99259,1.0,0.9897,-0.0103,3.616,-123.844,-124.249,-126.914
BOOST,40,0.99259,0.9494,0.9435,-0.0059,3.838,-131.429,-130.831,-130.697
BOOST,40,0.99259,0.8998,0.8934,-0.0064,3.813,-130.589,-128.869,-128.266
BOOST,40,0.99259,0.8006,0.7959,-0.0047,3.391,-116.133,-115.747,-115.942
BOOST,40,0.99259,0.7013,0.6993,-0.002,3.347,-114.621,-113.627,-113.589
BOOST,40,0.99259,0.602,0.6104,0.0084,3.127,-107.074,-108.262,-107.436
BOOST,40,0.99259,0.5027,0.4954,-0.0073,2.898,-99.238,-98.994,-98.945
BOOST,40,0.99259,0.4035,0.3959,-0.0076,2.726,-93.361,-92.987,-92.815
BOOST,40,0.99259,0.3042,0.3018,-0.0024,2.495,-85.425,-86.369,-86.509
BOOST,40,0.99259,0.2049,0.207,0.0021,2.161,-74.001,-74.571,-74.515
BOOST,40,0.99259,0.1553,0.1548,-0.0005,1.808,-61.899,-64.526,-64.491
BOOST,76,0.99032,1.0,0.9896,-0.0104,3.61,-123.248,-121.628,-124.208
BOOST,76,0.99032,0.9496,0.9434,-0.0062,3.807,-129.982,-128.025,-127.893
BOOST,76,0.99032,0.9001,0.8935,-0.0066,3.772,-128.79,-126.099,-125.5
BOOST,76,0.99032,0.8012,0.7958,-0.0054,3.429,-117.079,-113.492,-113.64
BOOST,76,0.99032,0.7022,0.6998,-0.0024,3.342,-114.105,-111.365,-111.47
BOOST,76,0.99032,0.6032,0.6097,0.0065,3.128,-106.799,-105.803,-104.886
BOOST,76,0.99032,0.5042,0.4949,-0.0093,2.89,-98.659,-96.874,-96.943
BOOST,76,0.99032,0.4053,0.3956,-0.0097,2.715,-92.711,-91.004,-90.931
BOOST,76,0.99032,0.3063,0.3021,-0.0042,2.486,-84.887,-84.544,-84.782
BOOST,76,0.99032,0.2073,0.2072,-0.0001,2.136,-72.914,-72.86,-72.861
BOOST,76,0.99032,0.1579,0.154,-0.0039,1.742,-59.47,-63.138,-62.894
BOOST,112,0.97994,1.0,0.9896,-0.0104,3.615,-122.018,-114.148,-116.484
BOOST,112,0.97994,0.9503,0.9432,-0.0071,3.811,-128.656,-119.875,-119.825
BOOST,112,0.97994,0.9014,0.8938,-0.0076,3.79,-127.933,-117.958,-117.521
BOOST,112,0.97994,0.8036,0.7976,-0.006,3.382,-114.171,-107.201,-107.076
BOOST,112,0.97994,0.7057,0.7025,-0.0032,3.357,-113.308,-104.825,-105.023
BOOST,112,0.97994,0.6079,0.6139,0.006,3.143,-106.103,-99.147,-98.111
BOOST,112,0.97994,0.51,0.5004,-0.0096,2.917,-98.473,-91.288,-92.22
BOOST,112,0.97994,0.4122,0.4022,-0.01,2.742,-92.573,-85.656,-86.295
BOOST,112,0.97994,0.3143,0.3102,-0.0041,2.506,-84.594,-79.61,-79.826
BOOST,112,0.97994,0.2165,0.2164,-0.0001,2.153,-72.692,-68.384,-68.386
BOOST,112,0.97994,0.1675,0.1643,-0.0032,1.768,-59.689,-59.576,-59.464
BOOST,150,0.97312,1.0,0.9896,-0.0104,3.599,-120.641,-121.043,-123.564
BOOST,150,0.97312,0.9511,0.9435,-0.0076,3.788,-126.962,-127.3,-127.433
BOOST,150,0.97312,0.9025,0.8947,-0.0078,3.694,-123.831,-125.855,-125.508
BOOST,150,0.97312,0.8054,0.799,-0.0064,3.369,-112.95,-114.179,-113.72
BOOST,150,0.97312,0.7082,0.7044,-0.0038,3.351,-112.323,-111.156,-111.491
BOOST,150,0.97312,0.6111,0.6145,0.0034,3.168,-106.214,-106.155,-105.526
BOOST,150,0.97312,0.5139,0.503,-0.0109,2.893,-96.987,-97.714,-98.416
BOOST,150,0.97312,0.4167,0.4056,-0.0111,2.705,-90.682,-91.835,-92.378
BOOST,150,0.97312,0.3196,0.3148,-0.0048,2.509,-84.115,-85.358,-85.399
BOOST,150,0.97312,0.2224,0.222,-0.0004,2.136,-71.603,-72.627,-72.637
BOOST,150,0.97312,0.1738,0.1705,-0.0033,1.722,-57.732,-61.64,-61.621
BOOST,187,0.96527,1.0,0.9896,-0.0104,3.565,-118.505,-117.391,-119.763
BOOST,187,0.96527,0.9516,0.9436,-0.008,3.733,-124.082,-123.19,-123.439
BOOST,187,0.96527,0.9034,0.8954,-0.008,3.689,-122.609,-122.55,-122.304
BOOST,187,0.96527,0.8071,0.8016,-0.0055,3.389,-112.631,-111.356,-110.9
BOOST,187,0.96527,0.7107,0.7073,-0.0034,3.325,-110.512,-107.747,-108.169
BOOST,187,0.96527,0.6144,0.6162,0.0018,3.127,-103.934,-103.536,-103.461
BOOST,187,0.96527,0.518,0.508,-0.01,2.899,-96.347,-95.766,-96.392
BOOST,187,0.96527,0.4217,0.4119,-0.0098,2.745,-91.247,-90.132,-90.598
BOOST,187,0.96527,0.3254,0.3212,-0.0042,2.488,-82.707,-82.944,-82.786
BOOST,187,0.96527,0.229,0.2288,-0.0002,2.119,-70.427,-64.599,-64.551
BOOST,187,0.96527,0.1808,0.1795,-0.0013,1.723,-57.252,-59.058,-59.044
BOOST,225,0.96037,1.0,0.9892,-0.0108,3.589,-118.732,-115.681,-118.074
BOOST,225,0.96037,0.9521,0.9435,-0.0086,3.674,-121.529,-121.359,-121.877
