holdout,cycle,SOH,SOC,T_C,I_meas_A,I_A0_A,I_A3_A,k_f,k_s,k_f_span
CC,389.0,0.9351,0.95,25.0,3.126,1.548,1.524,1.0298,0.9841,0.0721
CC,389.0,0.9351,0.95,10.0,2.197,0.965,0.951,1.0298,0.9841,0.0721
CC,389.0,0.9351,0.9,25.0,4.724,3.468,3.407,1.0298,0.9841,0.0721
CC,389.0,0.9351,0.9,10.0,3.172,2.143,2.106,1.0298,0.9841,0.0721
CC,389.0,0.9351,0.8,25.0,8.714,9.237,9.012,1.0298,0.9841,0.0721
CC,389.0,0.9351,0.8,10.0,6.956,6.876,6.699,1.0298,0.9841,0.0721
CC,495.0,0.9318,0.95,25.0,2.987,1.508,1.296,1.2264,1.021,0.1733
CC,495.0,0.9318,0.95,10.0,1.981,0.94,0.808,1.2264,1.021,0.1733
CC,495.0,0.9318,0.9,25.0,4.429,3.413,2.907,1.2264,1.021,0.1733
CC,495.0,0.9318,0.9,10.0,2.892,2.112,1.802,1.2264,1.021,0.1733
CC,495.0,0.9318,0.8,25.0,8.691,9.185,7.72,1.2264,1.021,0.1733
CC,495.0,0.9318,0.8,10.0,6.963,6.838,5.662,1.2264,1.021,0.1733
CC,728.0,0.9086,0.95,25.0,2.592,1.236,1.049,1.2438,1.028,0.096
CC,728.0,0.9086,0.95,10.0,1.561,0.77,0.654,1.2438,1.028,0.096
CC,728.0,0.9086,0.9,25.0,3.757,3.025,2.546,1.2438,1.028,0.096
CC,728.0,0.9086,0.9,10.0,2.466,1.874,1.579,1.2438,1.028,0.096
CC,728.0,0.9086,0.8,25.0,8.277,8.857,7.36,1.2438,1.028,0.096
CC,728.0,0.9086,0.8,10.0,6.546,6.597,3.956,1.2438,1.028,0.096
CC,728.0,0.9086,0.7,10.0,10.576,11.008,9.219,1.2438,1.028,0.096
CC,841.0,0.8962,0.95,25.0,2.39,1.079,1.011,1.0983,0.9986,0.0635
CC,841.0,0.8962,0.95,10.0,1.359,0.673,0.63,1.0983,0.9986,0.0635
CC,841.0,0.8962,0.9,25.0,3.461,2.816,2.625,1.0983,0.9986,0.0635
CC,841.0,0.8962,0.9,10.0,2.299,1.743,1.626,1.0983,0.9986,0.0635
CC,841.0,0.8962,0.8,25.0,8.027,8.675,8.016,1.0983,0.9986,0.0635
CC,841.0,0.8962,0.8,10.0,6.294,6.456,5.926,1.0983,0.9986,0.0635
CC,841.0,0.8962,0.7,10.0,10.064,10.518,9.782,1.0983,0.9986,0.0635
CC,961.0,0.8859,0.95,25.0,2.145,0.93,0.764,1.2918,1.0439,0.1658
CC,961.0,0.8859,0.95,10.0,1.092,0.58,0.476,1.2918,1.0439,0.1658
CC,961.0,0.8859,0.9,25.0,3.156,2.649,2.159,1.2918,1.0439,0.1658
CC,961.0,0.8859,0.9,10.0,1.976,1.644,1.341,1.2918,1.0439,0.1658
CC,961.0,0.8859,0.8,25.0,7.785,8.478,6.804,1.2918,1.0439,0.1658
CC,961.0,0.8859,0.8,10.0,5.911,6.291,3.583,1.2918,1.0439,0.1658
