holdout,cycle,SOH,SOC,T_C,I_meas_A,I_A0_A,I_A3_A,k_f,k_s,k_f_span
CC,495.0,0.9318,0.2,10.0,-26.158,-29.49,-25.718,1.2042,1.052,0.1652
CC,841.0,0.8962,0.2,10.0,-16.961,-19.542,-18.628,1.079,1.0259,0.0573
CC,961.0,0.8859,0.3,10.0,-25.406,-35.446,-29.844,1.259,1.0724,0.1558
CC,961.0,0.8859,0.2,10.0,-13.73,-18.01,-15.655,1.259,1.0724,0.1558
CC,1067.0,0.8752,0.3,10.0,-24.298,-33.073,-27.393,1.2922,1.0849,0.251
CC,1067.0,0.8752,0.2,10.0,-13.89,-17.185,-14.538,1.2922,1.0849,0.251
CC,1067.0,0.8752,0.4,10.0,-29.904,-43.694,-35.688,1.2922,1.0849,0.251
CC,1067.0,0.8752,0.3,10.0,-19.861,-33.073,-27.393,1.2922,1.0849,0.251
CC,1067.0,0.8752,0.2,10.0,-11.1,-17.185,-14.538,1.2922,1.0849,0.251
CC,1299.0,0.8563,0.4,10.0,-25.109,-39.911,-32.243,1.3155,1.0949,0.1573
CC,1299.0,0.8563,0.3,10.0,-16.584,-27.746,-23.349,1.3155,1.0949,0.1573
CC,1428.0,0.8191,0.4,10.0,-23.236,-33.907,-28.351,1.2566,1.072,0.1325
CC,1428.0,0.8191,0.3,10.0,-15.833,-20.333,-17.339,1.2566,1.072,0.1325
CC,1541.0,0.8117,0.5,10.0,-27.594,-37.073,-30.626,1.2738,1.0788,0.1913
CC,1541.0,0.8117,0.4,10.0,-20.704,-30.327,-25.249,1.2738,1.0788,0.1913
CC,1541.0,0.8117,0.3,25.0,-29.651,-28.38,-23.441,1.2738,1.0788,0.1913
CC,1541.0,0.8117,0.3,10.0,-14.211,-18.904,-16.022,1.2738,1.0788,0.1913
CC,1656.0,0.8008,0.5,10.0,-25.224,-34.728,-28.788,1.2694,1.0772,0.1565
CC,1656.0,0.8008,0.4,10.0,-18.863,-27.018,-22.691,1.2694,1.0772,0.1565
CC,1656.0,0.8008,0.3,25.0,-27.273,-25.371,-20.857,1.2694,1.0772,0.1565
CC,1656.0,0.8008,0.3,10.0,-13.133,-17.185,-14.548,1.2694,1.0772,0.1565
CC,1769.0,0.7899,0.6,10.0,-28.471,-36.629,-30.314,1.2732,1.0795,0.0398
CC,1769.0,0.7899,0.5,10.0,-23.033,-32.613,-26.84,1.2732,1.0795,0.0398
CC,1769.0,0.7899,0.4,10.0,-17.146,-25.297,-20.58,1.2732,1.0795,0.0398
CC,1769.0,0.7899,0.3,10.0,-12.116,-16.062,-13.585,1.2732,1.0795,0.0398
CC,1885.0,0.7767,0.6,10.0,-25.888,-34.142,-28.342,1.2656,1.0771,0.0845
CC,1885.0,0.7767,0.5,10.0,-20.743,-30.2,-24.797,1.2656,1.0771,0.0845
CC,1885.0,0.7767,0.4,10.0,-15.458,-23.149,-18.561,1.2656,1.0771,0.0845
CC,1885.0,0.7767,0.3,10.0,-11.141,-14.233,-11.924,1.2656,1.0771,0.0845
CC_CELL2,389.0,0.9351,0.15,10.0,-22.098,-20.151,-19.731,1.0414,1.0033,0.0869
CC_CELL2,495.0,0.9318,0.2,10.0,-26.158,-28.048,-24.608,1.1568,1.0518,0.0957
CC_CELL2,495.0,0.9318,0.15,10.0,-16.803,-19.761,-17.635,1.1568,1.0518,0.0957
CC_CELL2,728.0,0.9086,0.2,10.0,-19.785,-19.284,-17.351,1.1959,1.0651,0.074
CC_CELL2,841.0,0.8962,0.2,10.0,-16.961,-16.875,-16.165,1.0948,1.0201,0.0555
CC_CELL2,961.0,0.8859,0.3,10.0,-25.406,-34.185,-30.072,1.1839,1.0581,0.0538
CC_CELL2,961.0,0.8859,0.2,10.0,-13.73,-16.079,-14.672,1.1839,1.0581,0.0538
CC_CELL2,1067.0,0.8752,0.3,10.0,-24.298,-31.745,-27.288,1.2255,1.0734,0.1775
CC_CELL2,1067.0,0.8752,0.2,10.0,-13.89,-14.911,-13.193,1.2255,1.0734,0.1775
CC_CELL2,1067.0,0.8752,0.4,10.0,-29.904,-42.226,-35.831,1.2255,1.0734,0.1775
CC_CELL2,1067.0,0.8752,0.3,10.0,-19.861,-31.745,-27.288,1.2255,1.0734,0.1775
CC_CELL2,1067.0,0.8752,0.2,10.0,-11.1,-14.911,-13.193,1.2255,1.0734,0.1775
CC_CELL2,1299.0,0.8563,0.4,10.0,-25.109,-38.365,-32.43,1.2302,1.0741,0.0629
CC_CELL2,1299.0,0.8563,0.3,10.0,-16.584,-26.504,-22.861,1.2302,1.0741,0.0629
CC_CELL2,1428.0,0.8191,0.4,10.0,-23.236,-30.891,-26.167,1.1775,1.0495,0.0857
CC_CELL2,1428.0,0.8191,0.3,10.0,-15.833,-18.407,-16.321,1.1775,1.0495,0.0857
CC_CELL2,1541.0,0.8117,0.5,10.0,-27.594,-34.433,-30.223,1.1766,1.0511,0.1272
CC_CELL2,1541.0,0.8117,0.4,10.0,-20.704,-29.698,-23.96,1.1766,1.0511,0.1272
CC_CELL2,1541.0,0.8117,0.3,25.0,-29.651,-28.008,-23.41,1.1766,1.0511,0.1272
CC_CELL2,1541.0,0.8117,0.3,10.0,-14.211,-16.881,-14.673,1.1766,1.0511,0.1272
CC_CELL2,1656.0,0.8008,0.5,10.0,-25.224,-31.986,-27.314,1.1955,1.0553,0.1353
CC_CELL2,1656.0,0.8008,0.4,10.0,-18.863,-26.218,-19.498,1.1955,1.0553,0.1353
CC_CELL2,1656.0,0.8008,0.3,25.0,-27.273,-24.834,-20.171,1.1955,1.0553,0.1353
CC_CELL2,1656.0,0.8008,0.3,10.0,-13.133,-13.896,-11.648,1.1955,1.0553,0.1353
CC_CELL2,1769.0,0.7899,0.6,10.0,-28.471,-33.919,-30.545,1.1408,1.0406,0.0324
CC_CELL2,1769.0,0.7899,0.5,10.0,-23.033,-31.484,-27.853,1.1408,1.0406,0.0324
CC_CELL2,1769.0,0.7899,0.4,10.0,-17.146,-24.74,-19.265,1.1408,1.0406,0.0324
CC_CELL2,1769.0,0.7899,0.3,10.0,-12.116,-14.657,-13.166,1.1408,1.0406,0.0324
CC_CELL2,1885.0,0.7767,0.6,10.0,-25.888,-31.881,-26.467,1.2284,1.066,0.1581
CC_CELL2,1885.0,0.7767,0.5,10.0,-20.743,-30.597,-23.594,1.2284,1.066,0.1581
