cell,cycle,SOH,CAP_Ah,SOC,soc_group,tau_s,direction,V_pre_V,V_min_V,n_rates,I_max_meas_A,I_star_lin4_A,I_star_lin2hi_A,spread_A,extrap,fit_r2
BOOST,5,0.99876,2.99189,0.8005,10,2.0,charge,4.0286,4.2,3,-15.063,15.057,15.012,0.045,1.0,0.99969
BOOST,5,0.99876,2.99189,0.8005,10,10.0,charge,4.0286,4.2,3,-15.063,14.827,15.033,0.206,0.984,0.99355
BOOST,5,0.99876,2.99189,0.6011,16,2.0,charge,3.8529,4.2,3,-17.947,33.506,33.987,0.481,1.867,0.99934
BOOST,5,0.99876,2.99189,0.6011,16,10.0,charge,3.8529,4.2,3,-17.947,27.609,27.876,0.268,1.538,0.99955
BOOST,5,0.99876,2.99189,0.2023,27,2.0,charge,3.5055,4.2,3,-17.945,63.459,64.748,1.289,3.536,0.99933
BOOST,5,0.99876,2.99189,0.2023,27,10.0,charge,3.5055,4.2,3,-17.945,50.292,50.931,0.639,2.803,0.99968
BOOST,5,0.99876,2.99189,0.1524,29,2.0,charge,3.4466,4.2,4,-29.912,69.198,70.783,1.584,2.313,0.99963
BOOST,5,0.99876,2.99189,0.1524,29,10.0,charge,3.4466,4.2,4,-29.912,54.99,56.921,1.931,1.838,0.99913
BOOST,5,0.99876,2.99189,0.1025,30,2.0,charge,3.4023,4.2,4,-29.913,73.715,76.83,3.115,2.464,0.99896
BOOST,5,0.99876,2.99189,0.1025,30,10.0,charge,3.4023,4.2,4,-29.913,59.646,60.852,1.207,1.994,0.99958
BOOST,5,0.99876,2.99189,0.0527,31,2.0,charge,3.3504,4.2,4,-29.913,72.294,76.671,4.377,2.417,0.99675
BOOST,5,0.99876,2.99189,0.0527,31,10.0,charge,3.3504,4.2,4,-29.913,61.063,64.649,3.586,2.041,0.99601
BOOST,40,0.99259,2.97342,0.9495,1,2.0,charge,4.1044,4.2,4,-7.981,8.073,7.995,0.078,1.012,0.99389
BOOST,40,0.99259,2.97342,0.9495,1,10.0,charge,4.1044,4.2,4,-7.981,7.745,,,0.97,0.98083
BOOST,40,0.99259,2.97342,0.8999,2,2.0,charge,4.0838,4.2,4,-10.537,10.55,10.525,0.025,1.001,0.99927
BOOST,40,0.99259,2.97342,0.8999,2,10.0,charge,4.0838,4.2,4,-10.537,10.391,,,0.986,0.99293
BOOST,40,0.99259,2.97342,0.8006,3,2.0,charge,4.029,4.2,4,-15.17,15.119,15.44,0.321,0.997,0.99972
BOOST,40,0.99259,2.97342,0.8006,3,10.0,charge,4.029,4.2,4,-15.17,14.989,,,0.988,0.99531
BOOST,40,0.99259,2.97342,0.7013,4,2.0,charge,3.9232,4.2,4,-25.566,26.05,25.503,0.547,1.019,0.99694
BOOST,40,0.99259,2.97342,0.7013,4,10.0,charge,3.9232,4.2,4,-25.566,24.439,25.51,1.071,0.956,0.989
BOOST,40,0.99259,2.97342,0.6021,5,2.0,charge,3.8513,4.2,4,-29.778,35.223,35.701,0.478,1.183,0.99939
BOOST,40,0.99259,2.97342,0.6021,5,10.0,charge,3.8513,4.2,4,-29.778,29.4,29.731,0.331,0.987,0.99879
BOOST,40,0.99259,2.97342,0.5028,6,2.0,charge,3.7283,4.2,4,-29.775,47.538,48.106,0.568,1.597,0.99982
BOOST,40,0.99259,2.97342,0.5028,6,10.0,charge,3.7283,4.2,4,-29.775,37.918,38.217,0.3,1.273,0.99984
BOOST,40,0.99259,2.97342,0.4036,7,2.0,charge,3.6489,4.2,4,-29.776,56.808,58.05,1.242,1.908,0.99966
BOOST,40,0.99259,2.97342,0.4036,7,10.0,charge,3.6489,4.2,4,-29.776,46.393,46.762,0.369,1.558,0.99979
BOOST,40,0.99259,2.97342,0.3043,8,2.0,charge,3.5894,4.2,4,-29.775,61.19,61.935,0.746,2.055,0.99988
BOOST,40,0.99259,2.97342,0.3043,8,10.0,charge,3.5894,4.2,4,-29.775,50.689,51.641,0.953,1.702,0.99958
BOOST,40,0.99259,2.97342,0.205,9,2.0,charge,3.5023,4.2,4,-29.777,66.93,68.912,1.982,2.248,0.99939
BOOST,40,0.99259,2.97342,0.205,9,10.0,charge,3.5023,4.2,4,-29.777,53.535,55.51,1.975,1.798,0.99904
BOOST,40,0.99259,2.97342,0.1554,10,2.0,charge,3.4432,4.2,4,-29.779,71.867,73.404,1.537,2.413,0.99968
BOOST,40,0.99259,2.97342,0.1554,10,10.0,charge,3.4432,4.2,4,-29.779,56.334,58.013,1.679,1.892,0.99937
BOOST,40,0.99259,2.97342,0.1057,11,2.0,charge,3.4017,4.2,4,-29.777,75.924,79.349,3.425,2.55,0.99878
BOOST,40,0.99259,2.97342,0.1057,11,10.0,charge,3.4017,4.2,4,-29.777,61.006,62.12,1.114,2.049,0.99958
BOOST,40,0.99259,2.97342,0.0561,12,2.0,charge,3.3409,4.2,4,-29.777,73.737,78.643,4.907,2.476,0.997
BOOST,40,0.99259,2.97342,0.0561,12,10.0,charge,3.3409,4.2,4,-29.777,62.183,66.471,4.288,2.088,0.9946
BOOST,76,0.99032,2.96662,0.9496,1,2.0,charge,4.1044,4.2,4,-7.808,7.916,7.81,0.106,1.014,0.99293
BOOST,76,0.99032,2.96662,0.9496,1,10.0,charge,4.1044,4.2,4,-7.808,7.572,,,0.97,0.97966
BOOST,76,0.99032,2.96662,0.9002,2,2.0,charge,4.0839,4.2,4,-10.352,10.38,10.36,0.02,1.003,0.99893
BOOST,76,0.99032,2.96662,0.9002,2,10.0,charge,4.0839,4.2,4,-10.352,10.207,,,0.986,0.99288
BOOST,76,0.99032,2.96662,0.8012,3,2.0,charge,4.0285,4.2,4,-15.357,15.291,14.892,0.399,0.996,0.99982
BOOST,76,0.99032,2.96662,0.8012,3,10.0,charge,4.0285,4.2,4,-15.357,15.187,15.171,0.016,0.989,0.99519
BOOST,76,0.99032,2.96662,0.7023,4,2.0,charge,3.9234,4.2,4,-25.516,26.01,25.453,0.557,1.019,0.99685
BOOST,76,0.99032,2.96662,0.7023,4,10.0,charge,3.9234,4.2,4,-25.516,24.408,25.474,1.066,0.957,0.98913
BOOST,76,0.99032,2.96662,0.6033,5,2.0,charge,3.85,4.2,4,-29.689,35.353,35.847,0.494,1.191,0.99935
BOOST,76,0.99032,2.96662,0.6033,5,10.0,charge,3.85,4.2,4,-29.689,29.309,29.661,0.352,0.987,0.99859
BOOST,76,0.99032,2.96662,0.5043,6,2.0,charge,3.7282,4.2,4,-29.689,47.49,48.032,0.542,1.6,0.99983
BOOST,76,0.99032,2.96662,0.5043,6,10.0,charge,3.7282,4.2,4,-29.689,37.87,38.172,0.302,1.276,0.99984
BOOST,76,0.99032,2.96662,0.4053,7,2.0,charge,3.6485,4.2,4,-29.687,56.425,57.228,0.803,1.901,0.99983
BOOST,76,0.99032,2.96662,0.4053,7,10.0,charge,3.6485,4.2,4,-29.687,46.255,46.668,0.413,1.558,0.99977
BOOST,76,0.99032,2.96662,0.3064,8,2.0,charge,3.5889,4.2,4,-29.688,61.381,62.688,1.307,2.068,0.99974
BOOST,76,0.99032,2.96662,0.3064,8,10.0,charge,3.5889,4.2,4,-29.688,50.638,51.583,0.945,1.706,0.99959
BOOST,76,0.99032,2.96662,0.2074,9,2.0,charge,3.5014,4.2,4,-29.686,66.642,68.283,1.642,2.245,0.99947
BOOST,76,0.99032,2.96662,0.2074,9,10.0,charge,3.5014,4.2,4,-29.686,53.455,55.491,2.036,1.801,0.99898
BOOST,76,0.99032,2.96662,0.1579,10,2.0,charge,3.4409,4.2,4,-29.689,71.604,72.755,1.152,2.412,0.99975
BOOST,76,0.99032,2.96662,0.1579,10,10.0,charge,3.4409,4.2,4,-29.689,56.226,57.876,1.651,1.894,0.9994
BOOST,76,0.99032,2.96662,0.1084,11,2.0,charge,3.4014,4.2,4,-29.689,75.745,79.906,4.161,2.551,0.99838
BOOST,76,0.99032,2.96662,0.1084,11,10.0,charge,3.4014,4.2,4,-29.689,60.874,62.19,1.317,2.05,0.99947
BOOST,76,0.99032,2.96662,0.0589,12,2.0,charge,3.3375,4.2,4,-29.688,73.447,79.647,6.2,2.474,0.99621
BOOST,76,0.99032,2.96662,0.0589,12,10.0,charge,3.3375,4.2,4,-29.688,61.781,66.343,4.561,2.081,0.99396
BOOST,112,0.97994,2.93552,0.9504,1,2.0,charge,4.1042,4.2,4,-7.66,7.768,,,1.014,0.99163
BOOST,112,0.97994,2.93552,0.9504,1,10.0,charge,4.1042,4.2,4,-7.66,7.422,,,0.969,0.97931
BOOST,112,0.97994,2.93552,0.9015,2,2.0,charge,4.0831,4.2,4,-10.226,10.246,10.208,0.038,1.002,0.99895
BOOST,112,0.97994,2.93552,0.9015,2,10.0,charge,4.0831,4.2,4,-10.226,10.072,10.23,0.159,0.985,0.99291
BOOST,112,0.97994,2.93552,0.8036,3,2.0,charge,4.0304,4.2,4,-14.785,14.739,15.007,0.268,0.997,0.9998
BOOST,112,0.97994,2.93552,0.8036,3,10.0,charge,4.0304,4.2,4,-14.785,14.626,,,0.989,0.99476
BOOST,112,0.97994,2.93552,0.7058,4,2.0,charge,3.9249,4.2,4,-25.171,25.709,25.117,0.592,1.021,0.99634
BOOST,112,0.97994,2.93552,0.7058,4,10.0,charge,3.9249,4.2,4,-25.171,24.05,25.115,1.065,0.955,0.98879
BOOST,112,0.97994,2.93552,0.608,5,2.0,charge,3.8517,4.2,4,-29.352,34.939,35.523,0.584,1.19,0.9992
BOOST,112,0.97994,2.93552,0.608,5,10.0,charge,3.8517,4.2,4,-29.352,28.956,29.306,0.35,0.987,0.99856
BOOST,112,0.97994,2.93552,0.5101,6,2.0,charge,3.7324,4.2,4,-29.353,47.118,47.83,0.712,1.605,0.99978
BOOST,112,0.97994,2.93552,0.5101,6,10.0,charge,3.7324,4.2,4,-29.353,37.309,37.582,0.273,1.271,0.99985
