cell,cycle,SOH,CAP_Ah,SOC,soc_group,tau_s,direction,V_pre_V,V_min_V,n_rates,I_max_meas_A,I_star_lin4_A,I_star_lin2hi_A,spread_A,extrap,fit_r2
BOOST,5,0.99876,2.99189,0.95,4,2.0,discharge,4.1036,2.5,3,-23.931,-147.523,-149.966,2.444,6.164,0.99983
BOOST,5,0.99876,2.99189,0.95,4,10.0,discharge,4.1036,2.5,3,-23.931,-124.974,-129.949,4.975,5.222,0.99901
BOOST,5,0.99876,2.99189,0.9001,7,2.0,discharge,4.0824,2.5,3,-23.932,-148.1,-151.065,2.965,6.188,0.99975
BOOST,5,0.99876,2.99189,0.9001,7,10.0,discharge,4.0824,2.5,3,-23.932,-124.723,-129.091,4.368,5.212,0.99923
BOOST,5,0.99876,2.99189,0.8004,10,2.0,discharge,4.0257,2.5,4,-34.4,-144.108,-150.865,6.757,4.189,0.99924
BOOST,5,0.99876,2.99189,0.8004,10,10.0,discharge,4.0257,2.5,4,-34.4,-115.556,-122.188,6.632,3.359,0.99838
BOOST,5,0.99876,2.99189,0.601,16,2.0,discharge,3.851,2.5,4,-34.4,-127.172,-133.745,6.573,3.697,0.99911
BOOST,5,0.99876,2.99189,0.601,16,10.0,discharge,3.851,2.5,4,-34.4,-104.835,-109.998,5.164,3.048,0.99842
BOOST,5,0.99876,2.99189,0.5013,18,2.0,discharge,3.7273,2.5,3,-23.932,-118.28,-119.73,1.45,4.942,0.9999
BOOST,5,0.99876,2.99189,0.5013,18,10.0,discharge,3.7273,2.5,3,-23.932,-94.994,-96.667,1.674,3.969,0.99977
BOOST,5,0.99876,2.99189,0.4016,21,2.0,discharge,3.6473,2.5,3,-23.931,-111.489,-111.819,0.33,4.659,0.99999
BOOST,5,0.99876,2.99189,0.4016,21,10.0,discharge,3.6473,2.5,3,-23.931,-88.954,-90.656,1.702,3.717,0.99972
BOOST,5,0.99876,2.99189,0.3019,24,2.0,discharge,3.5889,2.5,3,-23.932,-104.705,-104.449,0.256,4.375,1.0
BOOST,5,0.99876,2.99189,0.3019,24,10.0,discharge,3.5889,2.5,3,-23.932,-83.528,-84.828,1.3,3.49,0.99981
BOOST,5,0.99876,2.99189,0.2022,27,2.0,discharge,3.5039,2.5,4,-34.399,-94.409,-95.941,1.532,2.745,0.99993
BOOST,5,0.99876,2.99189,0.2022,27,10.0,discharge,3.5039,2.5,4,-34.399,-73.367,-73.854,0.487,2.133,0.99998
BOOST,5,0.99876,2.99189,0.1523,29,2.0,discharge,3.4449,2.5,4,-34.4,-85.014,-86.467,1.454,2.471,0.9999
BOOST,5,0.99876,2.99189,0.1523,29,10.0,discharge,3.4449,2.5,4,-34.4,-62.986,-59.919,3.067,1.831,0.99876
BOOST,5,0.99876,2.99189,0.1025,30,2.0,discharge,3.3999,2.5,4,-34.4,-72.371,-70.554,1.817,2.104,0.99976
BOOST,5,0.99876,2.99189,0.1025,30,10.0,discharge,3.3999,2.5,4,-34.4,-35.705,-34.351,1.355,1.038,0.98482
BOOST,5,0.99876,2.99189,0.0526,31,2.0,discharge,3.3463,2.5,4,-23.355,-30.515,-18.717,11.798,1.307,0.65577
BOOST,5,0.99876,2.99189,0.0526,31,10.0,discharge,3.3463,2.5,4,-23.355,-21.5,-16.847,4.653,0.921,0.96726
BOOST,40,0.99259,2.97342,1.0,0,2.0,discharge,4.1808,2.5,4,-34.245,-149.412,-154.818,5.405,4.363,0.99971
BOOST,40,0.99259,2.97342,1.0,0,10.0,discharge,4.1808,2.5,4,-34.245,-123.844,-136.033,12.188,3.616,0.99733
BOOST,40,0.99259,2.97342,0.9494,1,2.0,discharge,4.1033,2.5,4,-34.244,-153.923,-157.825,3.902,4.495,0.99981
BOOST,40,0.99259,2.97342,0.9494,1,10.0,discharge,4.1033,2.5,4,-34.244,-131.429,-137.155,5.726,3.838,0.99915
BOOST,40,0.99259,2.97342,0.8998,2,2.0,discharge,4.0825,2.5,4,-34.244,-156.339,-162.099,5.761,4.565,0.9996
BOOST,40,0.99259,2.97342,0.8998,2,10.0,discharge,4.0825,2.5,4,-34.244,-130.589,-133.871,3.282,3.813,0.99954
BOOST,40,0.99259,2.97342,0.8006,3,2.0,discharge,4.027,2.5,4,-34.245,-143.337,-150.053,6.716,4.186,0.99949
BOOST,40,0.99259,2.97342,0.8006,3,10.0,discharge,4.027,2.5,4,-34.245,-116.133,-122.605,6.472,3.391,0.9984
BOOST,40,0.99259,2.97342,0.7013,4,2.0,discharge,3.9202,2.5,4,-34.246,-136.736,-144.533,7.797,3.993,0.99906
BOOST,40,0.99259,2.97342,0.7013,4,10.0,discharge,3.9202,2.5,4,-34.246,-114.621,-120.702,6.081,3.347,0.99799
BOOST,40,0.99259,2.97342,0.602,5,2.0,discharge,3.8496,2.5,4,-34.244,-129.621,-134.791,5.171,3.785,0.99938
BOOST,40,0.99259,2.97342,0.602,5,10.0,discharge,3.8496,2.5,4,-34.244,-107.074,-112.201,5.127,3.127,0.9984
BOOST,40,0.99259,2.97342,0.5027,6,2.0,discharge,3.728,2.5,4,-34.243,-122.911,-125.326,2.416,3.589,0.9999
BOOST,40,0.99259,2.97342,0.5027,6,10.0,discharge,3.728,2.5,4,-34.243,-99.238,-101.481,2.242,2.898,0.99974
BOOST,40,0.99259,2.97342,0.4035,7,2.0,discharge,3.6477,2.5,4,-34.246,-115.913,-117.355,1.442,3.385,0.99997
BOOST,40,0.99259,2.97342,0.4035,7,10.0,discharge,3.6477,2.5,4,-34.246,-93.361,-95.412,2.051,2.726,0.99975
BOOST,40,0.99259,2.97342,0.3042,8,2.0,discharge,3.5881,2.5,4,-34.245,-107.354,-109.402,2.048,3.135,0.99992
BOOST,40,0.99259,2.97342,0.3042,8,10.0,discharge,3.5881,2.5,4,-34.245,-85.425,-87.014,1.589,2.495,0.99981
BOOST,40,0.99259,2.97342,0.2049,9,2.0,discharge,3.5006,2.5,4,-34.244,-96.163,-95.422,0.741,2.808,0.99998
BOOST,40,0.99259,2.97342,0.2049,9,10.0,discharge,3.5006,2.5,4,-34.244,-74.001,-73.931,0.07,2.161,1.0
BOOST,40,0.99259,2.97342,0.1553,10,2.0,discharge,3.4412,2.5,4,-34.245,-86.742,-86.904,0.163,2.533,0.99996
BOOST,40,0.99259,2.97342,0.1553,10,10.0,discharge,3.4412,2.5,4,-34.245,-61.899,-58.062,3.836,1.808,0.99763
BOOST,40,0.99259,2.97342,0.1057,11,2.0,discharge,3.3993,2.5,4,-34.244,-72.575,-70.262,2.314,2.119,0.99961
BOOST,40,0.99259,2.97342,0.1057,11,10.0,discharge,3.3993,2.5,4,-34.244,-35.205,-34.198,1.007,1.028,0.98875
BOOST,40,0.99259,2.97342,0.056,12,2.0,discharge,3.3359,2.5,4,-23.289,-30.193,-19.287,10.906,1.296,0.66873
BOOST,40,0.99259,2.97342,0.056,12,10.0,discharge,3.3359,2.5,4,-23.289,-21.538,-5.869,15.669,0.925,0.97233
BOOST,76,0.99032,2.96662,1.0,0,2.0,discharge,4.1795,2.5,4,-34.142,-147.449,-153.384,5.936,4.319,0.99968
