cell,cycle,SOH,SOC,tau_s,OCV_V,R_used_mOhm,I_at_rate_A,I_star_A,I_limited_A,V_at_limit_V,SOP_W,I_max_measured_A,SOP_measured_floor_W,limited_by,rate_extrapolated,ocv_soh_gap,low_soc_hyst
BOOST,40,0.99578,0.9493,2.0,4.11036,10.469,34.244,153.821,35.0,3.7439,131.04,34.244,128.48,current_rating,0,0.0028,0
BOOST,40,0.99578,0.9493,10.0,4.11036,12.341,34.244,130.49,35.0,3.6784,128.74,34.244,126.28,current_rating,0,0.0028,0
BOOST,40,0.99578,0.8997,2.0,4.08726,10.18,34.244,155.921,35.0,3.731,130.58,34.244,128.03,current_rating,0,0.0028,0
BOOST,40,0.99578,0.8997,10.0,4.08726,12.247,34.244,129.6,35.0,3.6586,128.05,34.244,125.6,current_rating,0,0.0028,0
BOOST,40,0.99578,0.8004,2.0,4.03726,10.696,34.245,143.716,35.0,3.6629,128.2,34.245,125.71,current_rating,0,0.0028,0
BOOST,40,0.99578,0.8004,10.0,4.03726,13.336,34.245,115.269,35.0,3.5705,124.97,34.245,122.62,current_rating,0,0.0028,0
BOOST,40,0.99578,0.7012,2.0,3.92837,10.46,34.246,136.56,35.0,3.5623,124.68,34.246,122.26,current_rating,0,0.0028,0
BOOST,40,0.99578,0.7012,10.0,3.92837,12.664,34.246,112.787,35.0,3.4851,121.98,34.246,119.68,current_rating,0,0.0028,0
BOOST,40,0.99578,0.6019,2.0,3.85505,10.498,34.244,129.074,35.0,3.4876,122.07,34.244,119.7,current_rating,0,0.0028,0
BOOST,40,0.99578,0.6019,10.0,3.85505,12.893,34.244,105.101,35.0,3.4038,119.13,34.244,116.89,current_rating,0,0.0028,0
BOOST,40,0.99578,0.5026,2.0,3.74211,10.014,34.243,124.041,35.0,3.3916,118.71,34.243,116.4,current_rating,0,0.0028,0
BOOST,40,0.99578,0.5026,10.0,3.74211,12.449,34.243,99.773,35.0,3.3064,115.72,34.243,113.54,current_rating,0,0.0028,0
BOOST,40,0.99578,0.4033,2.0,3.65798,9.916,34.246,116.773,35.0,3.3109,115.88,34.246,113.64,current_rating,0,0.0028,0
BOOST,40,0.99578,0.4033,10.0,3.65798,12.346,34.246,93.794,35.0,3.2259,112.91,34.246,110.79,current_rating,0,0.0028,0
BOOST,40,0.99578,0.3041,2.0,3.59631,10.112,34.245,108.413,35.0,3.2424,113.48,34.245,111.3,current_rating,0,0.0028,0
BOOST,40,0.99578,0.3041,10.0,3.59631,12.746,34.245,86.009,35.0,3.1502,110.26,34.245,108.21,current_rating,0,0.0028,0
BOOST,40,0.99578,0.2048,2.0,3.51394,10.542,34.244,96.181,35.0,3.145,110.07,34.244,107.97,current_rating,0,0.0028,0
BOOST,40,0.99578,0.2048,10.0,3.51394,13.661,34.244,74.222,35.0,3.0358,106.25,34.244,104.31,current_rating,0,0.0028,0
BOOST,40,0.99578,0.1552,2.0,3.45729,10.878,34.245,88.006,35.0,3.0766,107.68,34.245,105.64,current_rating,0,0.0028,0
BOOST,40,0.99578,0.1552,10.0,3.45729,15.38,34.245,62.241,35.0,2.919,102.16,34.245,100.36,current_rating,0,0.0028,0
BOOST,40,0.99578,0.1055,2.0,3.4087,12.464,34.244,72.909,35.0,2.9725,104.04,34.244,102.11,current_rating,0,0.0028,0
BOOST,40,0.99578,0.1055,10.0,3.4087,26.338,34.244,34.502,34.502,2.5,86.26,34.244,85.84,voltage,0,0.0028,0
BOOST,40,0.99578,0.0559,2.0,3.35245,20.074,23.289,42.465,35.0,2.6499,92.75,23.289,67.19,current_rating,1,0.0028,1
BOOST,40,0.99578,0.0559,10.0,3.35245,36.154,23.289,23.578,23.578,2.5,58.94,23.289,58.47,voltage,0,0.0028,1
BOOST,76,0.99272,0.9495,2.0,4.11048,10.532,34.142,152.905,35.0,3.7418,130.96,34.142,128.06,current_rating,0,0.0,0
BOOST,76,0.99272,0.9495,10.0,4.11048,12.477,34.142,129.073,35.0,3.6738,128.58,34.142,125.8,current_rating,0,0.0,0
BOOST,76,0.99272,0.9,2.0,4.08734,10.336,34.144,153.58,35.0,3.7256,130.4,34.144,127.51,current_rating,0,0.0,0
BOOST,76,0.99272,0.9,10.0,4.08734,12.403,34.144,127.976,35.0,3.6532,127.86,34.144,125.1,current_rating,0,0.0,0
BOOST,76,0.99272,0.8011,2.0,4.03787,10.518,34.143,146.22,35.0,3.6698,128.44,34.143,125.6,current_rating,0,0.0,0
BOOST,76,0.99272,0.8011,10.0,4.03787,13.218,34.143,116.347,35.0,3.5752,125.13,34.143,122.46,current_rating,0,0.0,0
BOOST,76,0.99272,0.7021,2.0,3.92906,10.5,34.143,136.101,35.0,3.5616,124.65,34.143,121.91,current_rating,0,0.0,0
BOOST,76,0.99272,0.7021,10.0,3.92906,12.72,34.143,112.348,35.0,3.4839,121.94,34.143,119.32,current_rating,0,0.0,0
BOOST,76,0.99272,0.6031,2.0,3.85618,10.5,34.144,129.165,35.0,3.4887,122.1,34.144,119.42,current_rating,0,0.0,0
BOOST,76,0.99272,0.6031,10.0,3.85618,12.907,34.144,105.072,35.0,3.4044,119.16,34.144,116.62,current_rating,0,0.0,0
BOOST,76,0.99272,0.5041,2.0,3.74357,10.032,34.142,123.965,35.0,3.3925,118.74,34.142,116.12,current_rating,0,0.0,0
BOOST,76,0.99272,0.5041,10.0,3.74357,12.51,34.142,99.41,35.0,3.3057,115.7,34.142,113.23,current_rating,0,0.0,0
BOOST,76,0.99272,0.4052,2.0,3.65918,9.952,34.144,116.477,35.0,3.3109,115.88,34.144,113.34,current_rating,0,0.0,0
BOOST,76,0.99272,0.4052,10.0,3.65918,12.427,34.144,93.281,35.0,3.2242,112.85,34.144,110.45,current_rating,0,0.0,0
BOOST,76,0.99272,0.3062,2.0,3.59768,10.175,34.144,107.884,35.0,3.2416,113.45,34.144,110.98,current_rating,0,0.0,0
BOOST,76,0.99272,0.3062,10.0,3.59768,12.81,34.144,85.686,35.0,3.1493,110.23,34.144,107.9,current_rating,0,0.0,0
BOOST,76,0.99272,0.2072,2.0,3.51626,10.532,34.143,96.491,35.0,3.1476,110.17,34.143,107.78,current_rating,0,0.0,0
BOOST,76,0.99272,0.2072,10.0,3.51626,13.856,34.143,73.343,35.0,3.0313,106.1,34.143,103.9,current_rating,0,0.0,0
BOOST,76,0.99272,0.1578,2.0,3.4604,11.007,34.142,87.254,35.0,3.0752,107.63,34.142,105.31,current_rating,0,0.0,0
BOOST,76,0.99272,0.1578,10.0,3.4604,16.018,34.142,59.956,35.0,2.8998,101.49,34.142,99.47,current_rating,0,0.0,0
