cell,zipname,file,kind,cycle,n,bad_frac,T_min,T_med,T_lowV_med,note
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-01-21_12.49_CC_protocol_whole_Schedule_IN21700_30T_cycle_#1_week#1.mat,schedule,1,283158,0.0,24.62,26.11,26.14,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-01-21_14.43_CC_protocol_OCV_0.05C_IN21700_30T_cycle_#1.mat,OCV,1,2473,0.0,24.62,25.56,25.44,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-03-21_08.52_CC_protocol_halfC_0.5C_dchg_(a)_IN21700_30T_cycle_#2.mat,halfC,2,7130,0.0,24.73,25.43,25.59,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-03-21_08.52_CC_protocol_halfC_0.5C_dchg_(a1)_IN21700_30T_cycle_#2.mat,halfC,2,7130,0.0,24.73,25.43,25.59,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-03-21_08.52_CC_protocol_halfC_CAP_(a)_forexcel_cycle_#2.mat,CAP,2,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-03-21_08.52_CC_protocol_halfC_CAP_(a1)_forexcel_cycle_#2.mat,CAP,2,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-03-21_11.06_CC_protocol_ONE_C_charge_IN21700_30T_cycle_#2.mat,other,2,342,0.0,24.77,26.07,25.48,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-03-21_12.23_CC_protocol_OneC_1C_dchg_IN21700_30T_cycle_#3.mat,other,3,3536,0.0,24.89,25.83,26.1,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-03-21_14.53_CC_protocol_TwoC_2C_dchg_IN21700_30T_cycle_#4.mat,other,4,1753,0.0,25.29,27.32,27.83,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat,HPPC,5,35047,0.0,24.65,25.83,25.95,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-04-21_23.06_CC_protocol_tenpercent_chg_a_IN21700_30T_cycle_#6.mat,other,6,1071,0.0,24.72,25.41,25.41,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-05-21_00.04_CC_protocol__Fifteen_Drive_Cycles_set_IN21700_30T_cycle_#7_to_21.mat,drive,7,106153,0.0,24.78,26.23,26.28,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-06-21_06.39_CC_protocol_halfC_0.5C_dchg_(b)_IN21700_30T_cycle_#21.mat,halfC,21,7137,0.0,24.68,25.46,25.63,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-06-21_06.39_CC_protocol_halfC_CAP_(b)_forexcel_cycle_#21.mat,CAP,21,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-06-21_08.38_CC_protocol_tenpercent_chg_b_IN21700_30T_cycle_#22.mat,other,22,1072,0.0,24.8,25.52,25.52,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-06-21_09.36_CC_protocol__Fifteen_Drive_Cycles_set_IN21700_30T_cycle_#22_to_36.mat,drive,22,106062,0.0,24.73,26.2,26.23,
