cell,cycle,SOH,CAP_Ah,SOC,direction,rate_rank,I_A,V_pre_V,rest_before_s,n_points,R0_mOhm,R1_mOhm,tau1_s,R2_mOhm,tau2_s,fit_rmse_mV
CC,5,0.99952,2.97197,1.0,discharge,0,-2.975,4.1803,99999.0,101,9.1804,1.0232,0.5543,11.1302,11.4244,0.0946
CC,5,0.99952,2.97197,1.0,charge,0,1.313,4.1887,70.4,100,3.9296,4.7854,0.7366,0.01,2969.3856,0.2669
CC,5,0.99952,2.97197,0.9999,discharge,1,-11.889,4.1801,633.0,101,9.292,0.9459,0.5921,8.3384,9.1353,0.217
CC,5,0.99952,2.97197,1.0,charge,1,1.267,4.1836,160.1,86,11.1295,1.9437,0.05,0.01,2999.5821,0.1224
CC,5,0.99952,2.97197,0.9998,discharge,2,-23.775,4.1801,633.7,101,9.1923,0.8498,0.4538,5.9162,6.2503,0.3781
CC,5,0.99952,2.97197,0.9999,charge,2,1.262,4.1845,278.4,77,12.4133,0.01,0.05,0.01,1039.1671,0.1977
CC,5,0.99952,2.97197,0.9996,discharge,3,-34.174,4.1798,634.2,101,9.1315,0.7758,0.4193,4.5934,4.8211,0.4692
CC,5,0.99952,2.97197,0.9996,charge,3,1.262,4.1844,382.0,80,12.4832,0.01,0.05,0.01,1126.8875,0.2462
CC,5,0.99952,2.97197,0.9501,discharge,0,-2.973,4.104,4787.2,101,9.3555,0.8097,0.6415,6.9505,9.4697,0.1229
CC,5,0.99952,2.97197,0.9501,charge,0,1.484,4.1052,70.4,101,9.0791,0.9756,0.9397,6.4621,10.4575,0.14
CC,5,0.99952,2.97197,0.95,discharge,1,-11.889,4.104,635.4,101,9.1679,0.8528,0.4849,5.0977,6.7943,0.2107
CC,5,0.99952,2.97197,0.9501,charge,1,5.942,4.1064,160.2,101,6.1189,3.5394,0.1295,5.6347,7.892,0.3067
CC,5,0.99952,2.97197,0.9499,discharge,2,-23.776,4.1041,680.5,101,9.1401,0.9193,0.5924,3.9512,6.8609,0.3734
CC,5,0.99952,2.97197,0.9501,charge,2,7.812,4.1078,280.0,101,6.5851,5.259,0.0747,0.01,2999.6629,0.548
CC,5,0.99952,2.97197,0.9498,discharge,3,-34.172,4.1044,698.4,101,9.0526,0.8432,0.5321,3.697,7.2233,0.4556
CC,5,0.99952,2.97197,0.9501,charge,3,7.787,4.1086,384.7,101,8.7256,3.0531,0.05,0.01,3000.0,0.4708
CC,5,0.99952,2.97197,0.9005,discharge,0,-2.971,4.0828,4851.4,101,9.1485,0.8646,0.4095,6.4913,8.4201,0.1382
CC,5,0.99952,2.97197,0.9006,charge,0,1.486,4.084,70.3,101,9.0736,0.7477,0.5192,5.1757,7.9152,0.0947
CC,5,0.99952,2.97197,0.9005,discharge,1,-11.889,4.0826,635.4,101,9.1093,0.8916,0.5632,4.8438,6.8726,0.2003
CC,5,0.99952,2.97197,0.9006,charge,1,5.942,4.0854,160.2,101,6.9981,2.509,0.1046,3.9253,5.8591,0.2487
CC,5,0.99952,2.97197,0.9003,discharge,2,-23.778,4.0828,680.7,101,9.0798,0.9718,0.6108,4.3336,8.9554,0.3927
CC,5,0.99952,2.97197,0.9006,charge,2,10.148,4.0867,280.0,101,5.1633,6.0372,0.0973,0.01,3000.0,1.2103
CC,5,0.99952,2.97197,0.9003,discharge,3,-34.174,4.0831,722.1,101,8.9766,0.8277,0.5023,4.5433,10.0309,0.3829
CC,5,0.99952,2.97197,0.9006,charge,3,10.183,4.0876,384.8,101,7.3362,3.7398,0.05,0.01,2999.9808,0.8039
CC,5,0.99952,2.97197,0.8015,discharge,0,-2.973,4.0276,5418.5,101,9.0681,0.9057,0.4627,11.4487,11.596,0.1497
CC,5,0.99952,2.97197,0.8015,charge,0,1.484,4.0297,70.3,101,8.694,1.0485,0.4374,7.7152,9.4121,0.1312
CC,5,0.99952,2.97197,0.8014,discharge,1,-11.889,4.0276,635.4,101,9.0302,0.9574,0.5341,7.314,7.7262,0.2585
CC,5,0.99952,2.97197,0.8015,charge,1,5.944,4.0319,160.2,101,8.8848,0.8552,0.6227,5.7252,9.3151,0.147
CC,5,0.99952,2.97197,0.8013,discharge,2,-23.776,4.028,680.9,101,8.98,1.0679,0.5869,6.0716,8.9451,0.4452
CC,5,0.99952,2.97197,0.8015,charge,2,14.761,4.0332,280.0,101,4.5456,6.7895,0.1713,0.01,3000.0,1.6335
CC,5,0.99952,2.97197,0.8012,discharge,3,-34.174,4.0282,767.0,101,8.8917,0.9112,0.5379,5.653,9.066,0.425
CC,5,0.99952,2.97197,0.8016,charge,3,14.831,4.0337,385.0,101,6.0716,5.1765,0.0842,0.01,3000.0,1.252
CC,5,0.99952,2.97197,0.7024,discharge,0,-2.971,3.9222,5464.0,101,8.8988,0.913,0.413,12.7273,12.8437,0.1485
CC,5,0.99952,2.97197,0.7024,charge,0,1.486,3.9247,70.3,101,8.6268,0.9416,0.4312,6.8172,8.1078,0.1296
CC,5,0.99952,2.97197,0.7023,discharge,1,-11.889,3.9224,635.4,101,8.9495,0.9044,0.5261,6.3766,6.5446,0.2369
