protocol,cycle,SOH,CAP_Ah,SOC,soc_group,direction,rate_rank,I_A,CRate_rated,tau_s,tau_actual_s,V_pre_V,V_tau_V,R_mOhm,file
CC,5,0.99952,2.97197,1.0,0,discharge,0,-2.975,0.992,2.0,2.0,4.1803,4.1449,11.8988,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,1.0,0,discharge,0,-2.975,0.992,10.0,9.9,4.1803,4.1307,16.6717,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,1.0,0,charge,0,1.313,0.438,2.0,1.9,4.1887,4.1996,8.3025,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,1.0,0,charge,0,1.313,0.438,10.0,9.8,4.1887,4.2002,8.7596,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9999,0,discharge,1,-11.889,3.963,2.0,1.9,4.1801,4.0403,11.7588,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9999,0,discharge,1,-11.889,3.963,10.0,9.9,4.1801,3.9926,15.7709,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,1.0,0,charge,1,1.267,0.422,2.0,2.0,4.1836,4.2002,13.1039,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,1.0,0,charge,1,1.267,0.422,10.0,8.5,4.1836,4.2002,13.1039,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9998,0,discharge,2,-23.775,7.925,2.0,2.0,4.1801,3.9029,11.6593,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9998,0,discharge,2,-23.775,7.925,10.0,9.9,4.1801,3.8289,14.7718,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9999,0,charge,2,1.262,0.421,2.0,1.9,4.1845,4.2001,12.3584,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9996,0,discharge,3,-34.174,11.391,2.0,1.9,4.1798,3.7905,11.3917,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9996,0,discharge,3,-34.174,11.391,10.0,9.9,4.1798,3.7034,13.9404,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9996,0,charge,3,1.262,0.421,2.0,2.0,4.1844,4.2002,12.5158,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9501,1,discharge,0,-2.973,0.991,2.0,2.0,4.104,4.0701,11.4015,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9501,1,discharge,0,-2.973,0.991,10.0,9.9,4.104,4.0604,14.6638,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9501,1,charge,0,1.484,0.495,2.0,2.0,4.1052,4.1215,10.9853,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9501,1,charge,0,1.484,0.495,10.0,9.9,4.1052,4.1259,13.9507,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.95,1,discharge,1,-11.889,3.963,2.0,1.9,4.104,3.9704,11.2373,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.95,1,discharge,1,-11.889,3.963,10.0,9.9,4.104,3.9381,13.9541,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9501,1,charge,1,5.942,1.981,2.0,1.9,4.1064,4.1711,10.8886,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9501,1,charge,1,5.942,1.981,10.0,9.9,4.1064,4.188,13.7327,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9499,1,discharge,2,-23.776,7.925,2.0,2.0,4.1041,3.842,11.0237,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9499,1,discharge,2,-23.776,7.925,10.0,9.9,4.1041,3.7926,13.1014,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9501,1,charge,2,7.812,2.604,2.0,1.9,4.1078,4.2005,11.8667,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9501,1,charge,2,7.812,2.604,10.0,9.9,4.1078,4.2001,11.8155,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9498,1,discharge,3,-34.172,11.391,2.0,1.9,4.1044,3.7381,10.7193,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9498,1,discharge,3,-34.172,11.391,10.0,9.9,4.1044,3.6713,12.6741,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.9501,1,charge,3,7.787,2.596,2.0,2.0,4.1086,4.2002,11.7629,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
