cell,cycle,SOH,SOC,OCV_V,V_dis_V,V_chg_V,hyst_mV
CC,72,0.99089,0.01,2.83003,2.71449,2.94558,231.09
CC,72,0.99089,0.02,3.05176,2.99453,3.109,114.47
CC,72,0.99089,0.03,3.16313,3.1184,3.20786,89.46
CC,72,0.99089,0.04,3.24272,3.20555,3.27988,74.33
CC,72,0.99089,0.05,3.30419,3.27309,3.3353,62.21
CC,72,0.99089,0.06,3.34809,3.32226,3.37393,51.67
CC,72,0.99089,0.07,3.36882,3.34852,3.38912,40.61
CC,72,0.99089,0.08,3.3818,3.36494,3.39865,33.71
CC,72,0.99089,0.09,3.39238,3.37722,3.40755,30.33
CC,72,0.99089,0.1,3.40167,3.3876,3.41575,28.15
CC,72,0.99089,0.11,3.40971,3.39627,3.42316,26.89
CC,72,0.99089,0.12,3.4174,3.40376,3.43103,27.27
CC,72,0.99089,0.13,3.42497,3.41077,3.43917,28.39
CC,72,0.99089,0.14,3.4332,3.41777,3.44863,30.86
CC,72,0.99089,0.15,3.44338,3.42742,3.45934,31.92
CC,72,0.99089,0.16,3.45558,3.44032,3.47085,30.53
CC,72,0.99089,0.17,3.46783,3.45283,3.48284,30.0
CC,72,0.99089,0.18,3.47987,3.46511,3.49463,29.52
CC,72,0.99089,0.19,3.49217,3.47749,3.50685,29.36
CC,72,0.99089,0.2,3.50371,3.48867,3.51875,30.07
CC,72,0.99089,0.21,3.51385,3.49836,3.52934,30.98
CC,72,0.99089,0.22,3.52406,3.50777,3.54035,32.58
CC,72,0.99089,0.23,3.53495,3.51716,3.55274,35.58
CC,72,0.99089,0.24,3.54537,3.52718,3.56356,36.38
CC,72,0.99089,0.25,3.55426,3.53696,3.57156,34.6
CC,72,0.99089,0.26,3.56266,3.54605,3.57927,33.22
CC,72,0.99089,0.27,3.57066,3.55475,3.58658,31.83
CC,72,0.99089,0.28,3.5782,3.56274,3.59367,30.93
CC,72,0.99089,0.29,3.58531,3.57035,3.60027,29.93
CC,72,0.99089,0.3,3.59217,3.57796,3.60638,28.42
CC,72,0.99089,0.31,3.59901,3.58524,3.61278,27.54
CC,72,0.99089,0.32,3.60537,3.59206,3.61868,26.63
CC,72,0.99089,0.33,3.6116,3.59863,3.62458,25.95
CC,72,0.99089,0.34,3.61772,3.60476,3.63068,25.92
CC,72,0.99089,0.35,3.62372,3.61096,3.63648,25.52
CC,72,0.99089,0.36,3.62995,3.61722,3.64268,25.45
CC,72,0.99089,0.37,3.63587,3.62315,3.64858,25.44
CC,72,0.99089,0.38,3.64216,3.62945,3.65487,25.42
CC,72,0.99089,0.39,3.6485,3.63573,3.66128,25.54
CC,72,0.99089,0.4,3.65482,3.64205,3.66759,25.54
CC,72,0.99089,0.41,3.66165,3.64883,3.67448,25.64
CC,72,0.99089,0.42,3.66866,3.65555,3.68178,26.23
CC,72,0.99089,0.43,3.67597,3.66286,3.68908,26.21
CC,72,0.99089,0.44,3.68386,3.67055,3.69717,26.62
CC,72,0.99089,0.45,3.69192,3.67846,3.70538,26.92
CC,72,0.99089,0.46,3.7007,3.68704,3.71436,27.32
CC,72,0.99089,0.47,3.70957,3.69566,3.72347,27.81
CC,72,0.99089,0.48,3.71892,3.70488,3.73296,28.08
CC,72,0.99089,0.49,3.72871,3.71455,3.74287,28.32
CC,72,0.99089,0.5,3.7383,3.72393,3.75267,28.74
CC,72,0.99089,0.51,3.74835,3.73383,3.76287,29.04
CC,72,0.99089,0.52,3.75805,3.74333,3.77277,29.44
CC,72,0.99089,0.53,3.7678,3.75284,3.78276,29.93
CC,72,0.99089,0.54,3.77746,3.76233,3.7926,30.27
CC,72,0.99089,0.55,3.78707,3.77163,3.8025,30.87
CC,72,0.99089,0.56,3.79712,3.78134,3.8129,31.56
CC,72,0.99089,0.57,3.80767,3.79183,3.8235,31.67
CC,72,0.99089,0.58,3.81967,3.80364,3.8357,32.06
CC,72,0.99089,0.59,3.83413,3.81805,3.8502,32.15
CC,72,0.99089,0.6,3.84872,3.83285,3.8646,31.75
CC,72,0.99089,0.61,3.86072,3.84614,3.8753,29.16
CC,72,0.99089,0.62,3.87027,3.85723,3.8833,26.07
CC,72,0.99089,0.63,3.87862,3.86644,3.8908,24.36
CC,72,0.99089,0.64,3.88632,3.87493,3.8977,22.77
CC,72,0.99089,0.65,3.89326,3.88262,3.9039,21.28
CC,72,0.99089,0.66,3.89987,3.88953,3.9102,20.67
CC,72,0.99089,0.67,3.90651,3.89652,3.9165,19.98
CC,72,0.99089,0.68,3.91286,3.90312,3.9226,19.48
CC,72,0.99089,0.69,3.91986,3.91022,3.9295,19.28
CC,72,0.99089,0.7,3.92696,3.91733,3.9366,19.27
CC,72,0.99089,0.71,3.93516,3.92543,3.9449,19.47
CC,72,0.99089,0.72,3.94391,3.93412,3.9537,19.58
CC,72,0.99089,0.73,3.95352,3.94354,3.9635,19.96
CC,72,0.99089,0.74,3.96421,3.95412,3.9743,20.18
CC,72,0.99089,0.75,3.97537,3.96513,3.9856,20.47
CC,72,0.99089,0.76,3.98752,3.97714,3.9979,20.76
CC,72,0.99089,0.77,4.00026,3.98983,4.0107,20.87
CC,72,0.99089,0.78,4.01262,4.00223,4.023,20.77
CC,72,0.99089,0.79,4.02506,4.01482,4.0353,20.48
CC,72,0.99089,0.8,4.03646,4.02623,4.0467,20.47
CC,72,0.99089,0.81,4.04711,4.03712,4.0571,19.98
CC,72,0.99089,0.82,4.05686,4.04692,4.0668,19.88
CC,72,0.99089,0.83,4.06507,4.05562,4.07452,18.9
CC,72,0.99089,0.84,4.07131,4.06241,4.08022,17.81
CC,72,0.99089,0.85,4.07506,4.06661,4.08351,16.9
CC,72,0.99089,0.86,4.07786,4.06961,4.08611,16.5
CC,72,0.99089,0.87,4.08035,4.0722,4.0885,16.3
CC,72,0.99089,0.88,4.08245,4.0743,4.09061,16.31
