cmd,sample,cycles,us,soh
SOH,0,1959,7.8360,0.997061
SOH,1,1624,6.4960,0.989194
SOH,2,1624,6.4960,0.994653
SOH,3,1624,6.4960,0.982687
SOH,4,1624,6.4960,0.984227
SOH,5,1624,6.4960,0.976697
SOH,6,1624,6.4960,0.963937
SOH,7,1624,6.4960,0.959067
SOH,8,1624,6.4960,0.952612
SOH,9,1624,6.4960,0.944823
SOH,10,1624,6.4960,0.943099
SOH,11,1624,6.4960,0.930409
SOH,12,1624,6.4960,0.925782
SOH,13,1624,6.4960,0.921524
SOH,14,1624,6.4960,0.916468
SOH,15,1624,6.4960,0.913950
SOH,16,1624,6.4960,0.909323
SOH,17,1624,6.4960,0.903762
SOH,18,1624,6.4960,0.901334
SOH,19,1624,6.4960,0.900664
SOH,20,1624,6.4960,0.896834
SOH,21,1624,6.4960,0.889195
SOH,22,1624,6.4960,0.889988
SOH,23,1624,6.4960,0.879197
SOH,24,1624,6.4960,0.890504
SOH,25,1624,6.4960,0.884404
SOH,26,1624,6.4960,0.871322
SOH,27,1624,6.4960,0.864580
SOH,28,1624,6.4960,0.863322
SOH,29,1624,6.4960,0.855603
SOH,30,1624,6.4960,0.850374
SOH,31,1624,6.4960,0.844683
SOH,32,1624,6.4960,0.837770
SOH,33,1624,6.4960,0.831560
SOH,34,1624,6.4960,0.827106
SOH,35,1624,6.4960,0.822472
SOH,36,1624,6.4960,0.811288
SOH,37,1624,6.4960,0.801476
SOH,38,1624,6.4960,0.791339
SOH,39,1624,6.4960,0.772749
SOH,40,1624,6.4960,0.764949
SOH,41,1624,6.4960,0.778583
SOH,42,1624,6.4960,0.769502
SOH,43,1624,6.4960,0.741850
SOH,44,1624,6.4960,0.733075
SOH,45,1624,6.4960,0.715905
SOH,46,1624,6.4960,0.718245
SOH,47,1624,6.4960,0.707174
SOH,48,1624,6.4960,0.698713
SOH,49,1624,6.4960,0.690685
SOH,50,1624,6.4960,0.996684
SOH,51,1624,6.4960,0.993320
SOH,52,1624,6.4960,0.993469
SOH,53,1624,6.4960,0.984896
SOH,54,1624,6.4960,0.979072
SOH,55,1624,6.4960,0.975835
SOH,56,1624,6.4960,0.965970
SOH,57,1624,6.4960,0.965568
SOH,58,1624,6.4960,0.956883
SOH,59,1624,6.4960,0.947178
SOH,60,1624,6.4960,0.950672
SOH,61,1624,6.4960,0.944249
SOH,62,1624,6.4960,0.933451
SOH,63,1624,6.4960,0.921399
SOH,64,1624,6.4960,0.925811
SOH,65,1624,6.4960,0.913705
SOH,66,1624,6.4960,0.916301
SOH,67,1624,6.4960,0.906082
SOH,68,1624,6.4960,0.904024
SOH,69,1624,6.4960,0.895886
SOH,70,1624,6.4960,0.894024
SOH,71,1624,6.4960,0.880388
SOH,72,1624,6.4960,0.884052
SOH,73,1624,6.4960,0.882590
SOH,74,1624,6.4960,0.887887
SOH,75,1624,6.4960,0.888659
SOH,76,1624,6.4960,0.866165
SOH,77,1624,6.4960,0.865449
SOH,78,1624,6.4960,0.857694
SOH,79,1624,6.4960,0.854670
SOH,80,1624,6.4960,0.845016
SOH,81,1624,6.4960,0.846119
SOH,82,1624,6.4960,0.841181
SOH,83,1624,6.4960,0.828748
SOH,84,1624,6.4960,0.822951
SOH,85,1624,6.4960,0.823629
SOH,86,1624,6.4960,0.811146
SOH,87,1624,6.4960,0.805118
SOH,88,1624,6.4960,0.787851
SOH,89,1624,6.4960,0.780481
SOH,90,1624,6.4960,0.772794
SOH,91,1624,6.4960,0.770809
SOH,92,1624,6.4960,0.766244
SOH,93,1624,6.4960,0.766640
SOH,94,1624,6.4960,0.743198
SOH,95,1624,6.4960,0.738683
SOH,96,1624,6.4960,0.720613
SOH,97,1624,6.4960,0.722210
SOH,98,1624,6.4960,0.705768
SOH,99,1624,6.4960,0.695495
SOH,100,1624,6.4960,0.674612
SOH,101,1624,6.4960,1.003260
SOH,102,1624,6.4960,0.982777
SOH,103,1624,6.4960,0.979885
SOH,104,1624,6.4960,0.968586
SOH,105,1624,6.4960,0.960605
SOH,106,1624,6.4960,0.949419
SOH,107,1624,6.4960,0.955830
SOH,108,1624,6.4960,0.933183
SOH,109,1624,6.4960,0.920526
SOH,110,1624,6.4960,0.922118
SOH,111,1624,6.4960,0.912076
SOH,112,1624,6.4960,0.901072
SOH,113,1624,6.4960,0.895298
SOH,114,1624,6.4960,0.879593
SOH,115,1624,6.4960,0.878502
SOH,116,1624,6.4960,0.872938
SOH,117,1624,6.4960,0.859538
SOH,118,1624,6.4960,0.851152
SOH,119,1624,6.4960,0.826514
SOH,120,1624,6.4960,0.814094
SOH,121,1624,6.4960,0.805924
SOH,122,1624,6.4960,0.785127
SOH,123,1624,6.4960,0.780523
SOH,124,1624,6.4960,0.771616
SOH,125,1624,6.4960,0.775116
