cmd,sample,cycles,us,soh
SOH,0,4860630,19442.5200,1.000366
SOH,1,4860563,19442.2520,0.992473
SOH,2,4860563,19442.2520,0.979822
SOH,3,4860563,19442.2520,0.978981
SOH,4,4860563,19442.2520,0.973257
SOH,5,4860563,19442.2520,0.967959
SOH,6,4860563,19442.2520,0.956522
SOH,7,4860563,19442.2520,0.959725
SOH,8,4860563,19442.2520,0.954741
SOH,9,4860563,19442.2520,0.942784
SOH,10,4860563,19442.2520,0.942751
SOH,11,4860563,19442.2520,0.931215
SOH,12,4860563,19442.2520,0.926957
SOH,13,4860563,19442.2520,0.909674
SOH,14,4860563,19442.2520,0.913815
SOH,15,4860563,19442.2520,0.911182
SOH,16,4860563,19442.2520,0.906890
SOH,17,4860563,19442.2520,0.901707
SOH,18,4860563,19442.2520,0.894138
SOH,19,4860563,19442.2520,0.891640
SOH,20,4860563,19442.2520,0.888531
SOH,21,4860563,19442.2520,0.886488
SOH,22,4860563,19442.2520,0.877353
SOH,23,4860563,19442.2520,0.876011
SOH,24,4860563,19442.2520,0.890906
SOH,25,4860563,19442.2520,0.884472
SOH,26,4860563,19442.2520,0.856404
SOH,27,4860563,19442.2520,0.852841
SOH,28,4860563,19442.2520,0.850357
SOH,29,4860563,19442.2520,0.848328
SOH,30,4860563,19442.2520,0.842043
SOH,31,4860563,19442.2520,0.835169
SOH,32,4860563,19442.2520,0.831268
SOH,33,4860563,19442.2520,0.822260
SOH,34,4860563,19442.2520,0.822910
SOH,35,4860563,19442.2520,0.814147
SOH,36,4860563,19442.2520,0.807711
SOH,37,4860563,19442.2520,0.788419
SOH,38,4860563,19442.2520,0.779671
SOH,39,4860563,19442.2520,0.775926
SOH,40,4860563,19442.2520,0.748148
SOH,41,4860563,19442.2520,0.747926
SOH,42,4860563,19442.2520,0.745171
SOH,43,4860563,19442.2520,0.736007
SOH,44,4860563,19442.2520,0.732472
SOH,45,4860563,19442.2520,0.725046
SOH,46,4860563,19442.2520,0.723941
SOH,47,4860563,19442.2520,0.714426
SOH,48,4860563,19442.2520,0.705866
SOH,49,4860563,19442.2520,0.700394
SOH,50,4860563,19442.2520,1.009234
SOH,51,4860563,19442.2520,0.996738
SOH,52,4860563,19442.2520,0.990587
SOH,53,4860563,19442.2520,0.985562
SOH,54,4860563,19442.2520,0.984967
SOH,55,4860563,19442.2520,0.977152
SOH,56,4860563,19442.2520,0.969003
SOH,57,4860563,19442.2520,0.962924
SOH,58,4860563,19442.2520,0.960566
SOH,59,4860563,19442.2520,0.949671
SOH,60,4860563,19442.2520,0.944833
SOH,61,4860563,19442.2520,0.940819
SOH,62,4860563,19442.2520,0.939353
SOH,63,4860563,19442.2520,0.923452
SOH,64,4860563,19442.2520,0.916744
SOH,65,4860563,19442.2520,0.914163
SOH,66,4860563,19442.2520,0.915513
SOH,67,4860563,19442.2520,0.908532
SOH,68,4860563,19442.2520,0.900578
SOH,69,4860563,19442.2520,0.897354
SOH,70,4860563,19442.2520,0.898368
SOH,71,4860563,19442.2520,0.894341
SOH,72,4860563,19442.2520,0.878746
SOH,73,4860563,19442.2520,0.885297
SOH,74,4860563,19442.2520,0.895735
SOH,75,4860563,19442.2520,0.883817
SOH,76,4860563,19442.2520,0.867948
SOH,77,4860563,19442.2520,0.858554
SOH,78,4860563,19442.2520,0.853511
SOH,79,4860563,19442.2520,0.850895
SOH,80,4860563,19442.2520,0.843853
SOH,81,4860563,19442.2520,0.843159
SOH,82,4860563,19442.2520,0.841555
SOH,83,4860563,19442.2520,0.827703
SOH,84,4860563,19442.2520,0.824909
SOH,85,4860563,19442.2520,0.818237
SOH,86,4860563,19442.2520,0.804825
SOH,87,4860563,19442.2520,0.798610
SOH,88,4860563,19442.2520,0.790616
SOH,89,4860563,19442.2520,0.778437
SOH,90,4860563,19442.2520,0.768831
SOH,91,4860563,19442.2520,0.763515
SOH,92,4860563,19442.2520,0.757038
SOH,93,4860563,19442.2520,0.747874
SOH,94,4860563,19442.2520,0.738847
SOH,95,4860563,19442.2520,0.734768
SOH,96,4860563,19442.2520,0.723187
SOH,97,4860563,19442.2520,0.719426
SOH,98,4860563,19442.2520,0.703890
SOH,99,4860563,19442.2520,0.701732
SOH,100,4860563,19442.2520,0.686136
SOH,101,4860563,19442.2520,0.993090
SOH,102,4860563,19442.2520,0.978089
SOH,103,4860563,19442.2520,0.971156
SOH,104,4860563,19442.2520,0.968795
SOH,105,4860563,19442.2520,0.961179
SOH,106,4860563,19442.2520,0.949473
SOH,107,4860563,19442.2520,0.956767
SOH,108,4860563,19442.2520,0.932307
SOH,109,4860563,19442.2520,0.925505
SOH,110,4860563,19442.2520,0.919562
SOH,111,4860563,19442.2520,0.904469
SOH,112,4860563,19442.2520,0.892843
SOH,113,4860563,19442.2520,0.881682
SOH,114,4860563,19442.2520,0.888242
SOH,115,4860563,19442.2520,0.876468
SOH,116,4860563,19442.2520,0.854443
SOH,117,4860563,19442.2520,0.849306
SOH,118,4860563,19442.2520,0.837730
SOH,119,4860563,19442.2520,0.829786
SOH,120,4860563,19442.2520,0.816175
SOH,121,4860563,19442.2520,0.801148
SOH,122,4860563,19442.2520,0.788814
SOH,123,4860563,19442.2520,0.789805
SOH,124,4860563,19442.2520,0.780234
SOH,125,4860563,19442.2520,0.770375
SOH,126,4860563,19442.2520,0.759980
SOH,127,4860563,19442.2520,0.758938
SOH,128,4860563,19442.2520,0.752594
SOH,129,4860563,19442.2520,0.755610
SOH,130,4860563,19442.2520,0.746081
SOH,131,4860563,19442.2520,0.743975
SOH,132,4860563,19442.2520,0.726226
SOH,133,4860563,19442.2520,0.722780
SOH,134,4860563,19442.2520,0.709609
SOH,135,4860563,19442.2520,0.703678
SOH,136,4860563,19442.2520,0.700223
SOH,137,4860563,19442.2520,0.696199
SOH,138,4860563,19442.2520,0.987287
SOH,139,4860563,19442.2520,0.980693
SOH,140,4860563,19442.2520,0.981074
SOH,141,4860563,19442.2520,0.972114
SOH,142,4860563,19442.2520,0.967553
SOH,143,4860563,19442.2520,0.960924
SOH,144,4860563,19442.2520,0.959230
SOH,145,4860563,19442.2520,0.944862
SOH,146,4860563,19442.2520,0.947007
SOH,147,4860563,19442.2520,0.942357
SOH,148,4860563,19442.2520,0.937508
SOH,149,4860563,19442.2520,0.924966
SOH,150,4860563,19442.2520,0.921619
SOH,151,4860563,19442.2520,0.915091
SOH,152,4860563,19442.2520,0.903465
SOH,153,4860563,19442.2520,0.898782
SOH,154,4860563,19442.2520,0.887136
SOH,155,4860563,19442.2520,0.880145
SOH,156,4860563,19442.2520,0.878921
SOH,157,4860563,19442.2520,0.875118
SOH,158,4860563,19442.2520,0.872221
SOH,159,4860563,19442.2520,0.857180
SOH,160,4860563,19442.2520,0.855044
SOH,161,4860563,19442.2520,0.848608
SOH,162,4860563,19442.2520,0.859964
SOH,163,4860563,19442.2520,0.848679
SOH,164,4860563,19442.2520,0.825851
SOH,165,4860563,19442.2520,0.817516
SOH,166,4860563,19442.2520,0.805723
SOH,167,4860563,19442.2520,0.795758
SOH,168,4860563,19442.2520,0.808823
SOH,169,4860563,19442.2520,0.805828
SOH,170,4860563,19442.2520,0.794741
SOH,171,4860563,19442.2520,0.785220
SOH,172,4860563,19442.2520,0.791495
SOH,173,4860563,19442.2520,0.777364
