cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
REFF,0.4673,0.8249,2.0,924,0,552,1.220543384552002,1.064273476600647,0.02250334806740284,0.0,3.696
TRIM,0.4673,0.8249,2.0,1647,0,552,1.220543384552002,1.064273476600647,0.0,0.0,6.588
SOLVE,0.4673,0.8249,2.0,10448,17,576,1.220543384552002,1.064273476600647,0.0,-68.49205017089844,41.792
FULL,0.4673,0.8249,2.0,11953,17,576,1.220543384552002,1.064273476600647,0.0,-68.49205017089844,47.812
FEAT,0.4673,0.8249,2.0,3731,0,624,1.220543384552002,1.064273476600647,0.0,0.0,14.924
FEAT_A8,0.4673,0.8249,2.0,1604,0,624,1.220543384552002,1.064273476600647,0.0,0.0,6.416
EKF,0.4673,0.8249,2.0,1866,0,624,1.220543384552002,1.064273476600647,0.0,0.5529649257659912,7.464
EKF_P,0.4673,0.8249,2.0,1234,0,624,1.220543384552002,1.064273476600647,0.0,0.5538908243179321,4.936
REFF,0.5399,0.8472,10.0,908,0,624,1.0850311517715454,1.0259928703308105,0.021387986838817596,0.0,3.632
TRIM,0.5399,0.8472,10.0,1634,0,624,1.0850311517715454,1.0259928703308105,0.0,0.0,6.536
SOLVE,0.5399,0.8472,10.0,12816,17,624,1.0850311517715454,1.0259928703308105,0.0,-65.94978332519531,51.264
FULL,0.5399,0.8472,10.0,14406,17,624,1.0850311517715454,1.0259928703308105,0.0,-65.94978332519531,57.624
FEAT,0.5399,0.8472,10.0,3363,0,624,1.0850311517715454,1.0259928703308105,0.0,0.0,13.452
FEAT_A8,0.5399,0.8472,10.0,1546,0,624,1.0850311517715454,1.0259928703308105,0.0,0.0,6.184
EKF,0.5399,0.8472,10.0,1852,0,624,1.0850311517715454,1.0259928703308105,0.0,0.506268322467804,7.408
EKF_P,0.5399,0.8472,10.0,1271,0,624,1.0850311517715454,1.0259928703308105,0.0,0.5071942210197449,5.084
REFF,0.2608,0.9129,10.0,786,0,624,0.9673376679420471,0.9893811345100403,0.017356107011437416,0.0,3.144
TRIM,0.2608,0.9129,10.0,1618,0,624,0.9673376679420471,0.9893811345100403,0.0,0.0,6.472
SOLVE,0.2608,0.9129,10.0,10963,17,624,0.9673376679420471,0.9893811345100403,0.0,-65.97525024414062,43.852
FULL,0.2608,0.9129,10.0,12568,17,624,0.9673376679420471,0.9893811345100403,0.0,-65.97525024414062,50.272
FEAT,0.2608,0.9129,10.0,3276,0,624,0.9673376679420471,0.9893811345100403,0.0,0.0,13.104
FEAT_A8,0.2608,0.9129,10.0,1481,0,624,0.9673376679420471,0.9893811345100403,0.0,0.0,5.924
EKF,0.2608,0.9129,10.0,1763,0,624,0.9673376679420471,0.9893811345100403,0.0,0.4727838635444641,7.052
EKF_P,0.2608,0.9129,10.0,1205,0,624,0.9673376679420471,0.9893811345100403,0.0,0.4737097918987274,4.82
REFF,0.4256,0.9332,10.0,796,0,624,1.2564371824264526,1.078976035118103,0.01753143221139908,0.0,3.184
TRIM,0.4256,0.9332,10.0,1662,0,624,1.2564371824264526,1.078976035118103,0.0,0.0,6.648
SOLVE,0.4256,0.9332,10.0,10993,17,624,1.2564371824264526,1.078976035118103,0.0,-54.8663330078125,43.972
FULL,0.4256,0.9332,10.0,12629,17,624,1.2564371824264526,1.078976035118103,0.0,-54.8663330078125,50.516
FEAT,0.4256,0.9332,10.0,3318,0,624,1.2564371824264526,1.078976035118103,0.0,0.0,13.272
FEAT_A8,0.4256,0.9332,10.0,1492,0,624,1.2564371824264526,1.078976035118103,0.0,0.0,5.968
EKF,0.4256,0.9332,10.0,1796,0,624,1.2564371824264526,1.078976035118103,0.0,0.37205612659454346,7.184
EKF_P,0.4256,0.9332,10.0,1270,0,624,1.2564371824264526,1.078976035118103,0.0,0.37298205494880676,5.08
REFF,0.4536,0.846,10.0,796,0,624,1.1715431213378906,1.0489689111709595,0.024300318211317062,0.0,3.184
TRIM,0.4536,0.846,10.0,1634,0,624,1.1715431213378906,1.0489689111709595,0.0,0.0,6.536
SOLVE,0.4536,0.846,10.0,10987,17,624,1.1715431213378906,1.0489689111709595,0.0,-49.67724609375,43.948
FULL,0.4536,0.846,10.0,12601,17,624,1.1715431213378906,1.0489689111709595,0.0,-49.67724609375,50.404
