cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
REFF,0.207,0.834,2.0,939,0,560,1.0554839372634888,1.014271855354309,0.031395722180604935,0.0,3.756
TRIM,0.207,0.834,2.0,1634,0,560,1.0554839372634888,1.014271855354309,0.0,0.0,6.536
SOLVE,0.207,0.834,2.0,10496,17,560,1.0554839372634888,1.014271855354309,0.0,-47.5654296875,41.984
FULL,0.207,0.834,2.0,12013,17,560,1.0554839372634888,1.014271855354309,0.0,-47.5654296875,48.052
FEAT,0.207,0.834,2.0,3728,0,560,1.0554839372634888,1.014271855354309,0.0,0.0,14.912
FEAT_A8,0.207,0.834,2.0,1614,0,560,1.0554839372634888,1.014271855354309,0.0,0.0,6.456
EKF,0.207,0.834,2.0,1861,0,560,1.0554839372634888,1.014271855354309,0.0,0.11262790858745575,7.444
EKF_P,0.207,0.834,2.0,1201,0,560,1.0554839372634888,1.014271855354309,0.0,0.11355383694171906,4.804
REFF,0.3917,0.9116,10.0,833,0,560,1.1383410692214966,1.0397295951843262,0.01792849414050579,0.0,3.332
TRIM,0.3917,0.9116,10.0,1643,0,560,1.1383410692214966,1.0397295951843262,0.0,0.0,6.572
SOLVE,0.3917,0.9116,10.0,11607,18,560,1.1383410692214966,1.0397295951843262,0.0,-78.15303802490234,46.428
FULL,0.3917,0.9116,10.0,13222,18,560,1.1383410692214966,1.0397295951843262,0.0,-78.15303802490234,52.888
FEAT,0.3917,0.9116,10.0,3286,0,560,1.1383410692214966,1.0397295951843262,0.0,0.0,13.144
FEAT_A8,0.3917,0.9116,10.0,1470,0,560,1.1383410692214966,1.0397295951843262,0.0,0.0,5.88
EKF,0.3917,0.9116,10.0,1767,0,560,1.1383410692214966,1.0397295951843262,0.0,0.19709940254688263,7.068
EKF_P,0.3917,0.9116,10.0,1214,0,560,1.1383410692214966,1.0397295951843262,0.0,0.19802533090114594,4.856
REFF,0.2888,0.9489,2.0,733,0,560,1.005947470664978,0.9989384412765503,0.011721876449882984,0.0,2.932
TRIM,0.2888,0.9489,2.0,1624,0,560,1.005947470664978,0.9989384412765503,0.0,0.0,6.496
SOLVE,0.2888,0.9489,2.0,10359,17,560,1.005947470664978,0.9989384412765503,0.0,-71.02320861816406,41.436
FULL,0.2888,0.9489,2.0,11956,17,560,1.005947470664978,0.9989384412765503,0.0,-71.02320861816406,47.824
FEAT,0.2888,0.9489,2.0,3281,0,560,1.005947470664978,0.9989384412765503,0.0,0.0,13.124
FEAT_A8,0.2888,0.9489,2.0,1477,0,560,1.005947470664978,0.9989384412765503,0.0,0.0,5.908
EKF,0.2888,0.9489,2.0,1743,0,560,1.005947470664978,0.9989384412765503,0.0,0.17739905416965485,6.972
EKF_P,0.2888,0.9489,2.0,1189,0,560,1.005947470664978,0.9989384412765503,0.0,0.17832498252391815,4.756
REFF,0.5008,0.8624,2.0,733,0,560,0.886957585811615,0.9593002200126648,0.013379596173763275,0.0,2.932
TRIM,0.5008,0.8624,2.0,1651,0,560,0.886957585811615,0.9593002200126648,0.0,0.0,6.604
SOLVE,0.5008,0.8624,2.0,11177,18,560,0.886957585811615,0.9593002200126648,0.0,-108.39376831054688,44.708
FULL,0.5008,0.8624,2.0,12807,18,560,0.886957585811615,0.9593002200126648,0.0,-108.39376831054688,51.228
FEAT,0.5008,0.8624,2.0,3287,0,560,0.886957585811615,0.9593002200126648,0.0,0.0,13.148
FEAT_A8,0.5008,0.8624,2.0,1477,0,560,0.886957585811615,0.9593002200126648,0.0,0.0,5.908
EKF,0.5008,0.8624,2.0,1765,0,560,0.886957585811615,0.9593002200126648,0.0,0.2160341888666153,7.06
EKF_P,0.5008,0.8624,2.0,1214,0,560,0.886957585811615,0.9593002200126648,0.0,0.2169601172208786,4.856
REFF,0.743,0.821,10.0,781,0,560,1.137021780014038,1.0393202304840088,0.027201086282730103,0.0,3.124
