cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
REFF,0.4238,0.7931,10.0,1141,0,552,1.101637601852417,1.0284854173660278,0.029543133452534676,0.0,4.564
TRIM,0.4238,0.7931,10.0,1680,0,552,1.101637601852417,1.0284854173660278,0.0,0.0,6.72
SOLVE,0.4238,0.7931,10.0,11466,16,592,1.101637601852417,1.0284854173660278,0.0,-42.57086944580078,45.864
FULL,0.4238,0.7931,10.0,12975,16,592,1.101637601852417,1.0284854173660278,0.0,-42.57086944580078,51.9
FEAT,0.4238,0.7931,10.0,3750,0,640,1.101637601852417,1.0284854173660278,0.0,0.0,15.0
EKF,0.4238,0.7931,10.0,2120,0,640,1.101637601852417,1.0284854173660278,0.0,0.3457593321800232,8.48
EKF_P,0.4238,0.7931,10.0,1327,0,640,1.101637601852417,1.0284854173660278,0.0,0.3466852605342865,5.308
REFF,0.3366,0.8829,10.0,811,0,640,1.1735483407974243,1.0556734800338745,0.02111254818737507,0.0,3.244
TRIM,0.3366,0.8829,10.0,1675,0,640,1.1735483407974243,1.0556734800338745,0.0,0.0,6.7
SOLVE,0.3366,0.8829,10.0,12027,17,640,1.1735483407974243,1.0556734800338745,0.0,-52.22336196899414,48.108
FULL,0.3366,0.8829,10.0,13622,17,640,1.1735483407974243,1.0556734800338745,0.0,-52.22336196899414,54.488
FEAT,0.3366,0.8829,10.0,3286,0,640,1.1735483407974243,1.0556734800338745,0.0,0.0,13.144
EKF,0.3366,0.8829,10.0,1977,0,640,1.1735483407974243,1.0556734800338745,0.0,0.3053731918334961,7.908
EKF_P,0.3366,0.8829,10.0,1311,0,640,1.1735483407974243,1.0556734800338745,0.0,0.3062991201877594,5.244
REFF,0.2506,0.865,10.0,774,0,640,1.03605055809021,1.0078380107879639,0.0264266487210989,0.0,3.096
TRIM,0.2506,0.865,10.0,1620,0,640,1.03605055809021,1.0078380107879639,0.0,0.0,6.48
SOLVE,0.2506,0.865,10.0,12030,17,640,1.03605055809021,1.0078380107879639,0.0,-47.93678283691406,48.12
FULL,0.2506,0.865,10.0,13571,17,640,1.03605055809021,1.0078380107879639,0.0,-47.93678283691406,54.284
FEAT,0.2506,0.865,10.0,3232,0,640,1.03605055809021,1.0078380107879639,0.0,0.0,12.928
EKF,0.2506,0.865,10.0,1955,0,640,1.03605055809021,1.0078380107879639,0.0,0.32340505719184875,7.82
EKF_P,0.2506,0.865,10.0,1280,0,640,1.03605055809021,1.0078380107879639,0.0,0.32433098554611206,5.12
REFF,0.3241,0.8393,10.0,775,0,640,1.0496889352798462,1.0136723518371582,0.025463150814175606,0.0,3.1
TRIM,0.3241,0.8393,10.0,1620,0,640,1.0496889352798462,1.0136723518371582,0.0,0.0,6.48
SOLVE,0.3241,0.8393,10.0,10722,15,640,1.0496889352798462,1.0136723518371582,0.0,-30.332067489624023,42.888
FULL,0.3241,0.8393,10.0,12277,15,640,1.0496889352798462,1.0136723518371582,0.0,-30.332067489624023,49.108
FEAT,0.3241,0.8393,10.0,3202,0,640,1.0496889352798462,1.0136723518371582,0.0,0.0,12.808
EKF,0.3241,0.8393,10.0,1942,0,640,1.0496889352798462,1.0136723518371582,0.0,0.19848118722438812,7.768
EKF_P,0.3241,0.8393,10.0,1340,0,640,1.0496889352798462,1.0136723518371582,0.0,0.19940711557865143,5.36
REFF,0.2614,0.8409,10.0,782,0,640,0.9998660087585449,0.9986836314201355,0.030191155150532722,0.0,3.128
TRIM,0.2614,0.8409,10.0,1626,0,640,0.9998660087585449,0.9986836314201355,0.0,0.0,6.504
SOLVE,0.2614,0.8409,10.0,12057,17,640,0.9998660087585449,0.9986836314201355,0.0,-49.58979797363281,48.228
FULL,0.2614,0.8409,10.0,13625,17,640,0.9998660087585449,0.9986836314201355,0.0,-49.58979797363281,54.5
FEAT,0.2614,0.8409,10.0,3196,0,640,0.9998660087585449,0.9986836314201355,0.0,0.0,12.784
EKF,0.2614,0.8409,10.0,1962,0,640,0.9998660087585449,0.9986836314201355,0.0,0.25975391268730164,7.848
EKF_P,0.2614,0.8409,10.0,1301,0,640,0.9998660087585449,0.9986836314201355,0.0,0.26067984104156494,5.204
REFF,0.5306,0.9599,10.0,781,0,640,1.1840541362762451,1.0612512826919556,0.015765072777867317,0.0,3.124
TRIM,0.5306,0.9599,10.0,1687,0,640,1.1840541362762451,1.0612512826919556,0.0,0.0,6.748
SOLVE,0.5306,0.9599,10.0,12707,18,640,1.1840541362762451,1.0612512826919556,0.0,-82.70762634277344,50.828
FULL,0.5306,0.9599,10.0,14317,18,640,1.1840541362762451,1.0612512826919556,0.0,-82.70762634277344,57.268
FEAT,0.5306,0.9599,10.0,3200,0,640,1.1840541362762451,1.0612512826919556,0.0,0.0,12.8
EKF,0.5306,0.9599,10.0,1965,0,640,1.1840541362762451,1.0612512826919556,0.0,0.2683050036430359,7.86
EKF_P,0.5306,0.9599,10.0,1304,0,640,1.1840541362762451,1.0612512826919556,0.0,0.2692309319972992,5.216
REFF,0.2892,0.7669,10.0,788,0,640,1.0481876134872437,1.0141921043395996,0.05956433713436127,0.0,3.152
TRIM,0.2892,0.7669,10.0,1620,0,640,1.0481876134872437,1.0141921043395996,0.0,0.0,6.48
SOLVE,0.2892,0.7669,10.0,17993,24,640,1.0481876134872437,1.0141921043395996,0.0,-17.722606658935547,71.972
FULL,0.2892,0.7669,10.0,19543,24,640,1.0481876134872437,1.0141921043395996,0.0,-17.722606658935547,78.172
FEAT,0.2892,0.7669,10.0,3180,0,640,1.0481876134872437,1.0141921043395996,0.0,0.0,12.72
EKF,0.2892,0.7669,10.0,1947,0,640,1.0481876134872437,1.0141921043395996,0.0,0.21299047768115997,7.788
EKF_P,0.2892,0.7669,10.0,1332,0,640,1.0481876134872437,1.0141921043395996,0.0,0.21391640603542328,5.328
REFF,0.8082,0.8958,2.0,739,0,640,0.9654585719108582,0.9904248714447021,0.014306378550827503,0.0,2.956
TRIM,0.8082,0.8958,2.0,1621,0,640,0.9654585719108582,0.9904248714447021,0.0,0.0,6.484
SOLVE,0.8082,0.8958,2.0,11896,18,640,0.9654585719108582,0.9904248714447021,0.0,-82.34274291992188,47.584
FULL,0.8082,0.8958,2.0,13422,18,640,0.9654585719108582,0.9904248714447021,0.0,-82.34274291992188,53.688
FEAT,0.8082,0.8958,2.0,3231,0,640,0.9654585719108582,0.9904248714447021,0.0,0.0,12.924
EKF,0.8082,0.8958,2.0,2006,0,640,0.9654585719108582,0.9904248714447021,0.0,0.21083484590053558,8.024
EKF_P,0.8082,0.8958,2.0,1349,0,640,0.9654585719108582,0.9904248714447021,0.0,0.2117607742547989,5.396
REFF,0.6716,0.8231,2.0,704,0,640,1.018308401107788,1.0061709880828857,0.01797163113951683,0.0,2.816
TRIM,0.6716,0.8231,2.0,1622,0,640,1.018308401107788,1.0061709880828857,0.0,0.0,6.488
SOLVE,0.6716,0.8231,2.0,11844,18,640,1.018308401107788,1.0061709880828857,0.0,-74.14645385742188,47.376
FULL,0.6716,0.8231,2.0,13398,18,640,1.018308401107788,1.0061709880828857,0.0,-74.14645385742188,53.592
