cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
REFF,0.4238,0.7931,10.0,1432,0,560,1.1114718914031982,1.0314338207244873,0.03082546964287758,0.0,5.728
TRIM,0.4238,0.7931,10.0,3457,0,560,1.1114718914031982,1.0314338207244873,0.0,0.0,13.828
SOLVE,0.4238,0.7931,10.0,22583,16,560,1.1114718914031982,1.0314338207244873,0.0,-41.575294494628906,90.332
FULL,0.4238,0.7931,10.0,25993,16,560,1.1114718914031982,1.0314338207244873,0.0,-41.575294494628906,103.972
FEAT,0.4238,0.7931,10.0,6164,0,560,1.1114718914031982,1.0314338207244873,0.0,0.0,24.656
FEAT_A8,0.4238,0.7931,10.0,3034,0,560,1.1114718914031982,1.0314338207244873,0.0,0.0,12.136
EKF,0.4238,0.7931,10.0,3416,0,560,1.1114718914031982,1.0314338207244873,0.0,0.3457031846046448,13.664
EKF_P,0.4238,0.7931,10.0,2339,0,560,1.1114718914031982,1.0314338207244873,0.0,0.3466291129589081,9.356
REFF,0.3366,0.8829,10.0,1432,0,560,1.1772103309631348,1.0519298315048218,0.022169698029756546,0.0,5.728
TRIM,0.3366,0.8829,10.0,3457,0,560,1.1772103309631348,1.0519298315048218,0.0,0.0,13.828
SOLVE,0.3366,0.8829,10.0,23862,17,560,1.1772103309631348,1.0519298315048218,0.0,-52.05588912963867,95.448
FULL,0.3366,0.8829,10.0,27272,17,560,1.1772103309631348,1.0519298315048218,0.0,-52.05588912963867,109.088
FEAT,0.3366,0.8829,10.0,6132,0,560,1.1772103309631348,1.0519298315048218,0.0,0.0,24.528
FEAT_A8,0.3366,0.8829,10.0,3034,0,560,1.1772103309631348,1.0519298315048218,0.0,0.0,12.136
EKF,0.3366,0.8829,10.0,3416,0,560,1.1772103309631348,1.0519298315048218,0.0,0.3032424747943878,13.664
EKF_P,0.3366,0.8829,10.0,2339,0,560,1.1772103309631348,1.0519298315048218,0.0,0.3041684031486511,9.356
REFF,0.2506,0.865,10.0,1432,0,560,0.9946388006210327,0.9953829050064087,0.026762770488858223,0.0,5.728
TRIM,0.2506,0.865,10.0,3382,0,560,0.9946388006210327,0.9953829050064087,0.0,0.0,13.528
SOLVE,0.2506,0.865,10.0,23862,17,560,0.9946388006210327,0.9953829050064087,0.0,-48.204280853271484,95.448
FULL,0.2506,0.865,10.0,27197,17,560,0.9946388006210327,0.9953829050064087,0.0,-48.204280853271484,108.788
FEAT,0.2506,0.865,10.0,6132,0,560,0.9946388006210327,0.9953829050064087,0.0,0.0,24.528
FEAT_A8,0.2506,0.865,10.0,3034,0,560,0.9946388006210327,0.9953829050064087,0.0,0.0,12.136
EKF,0.2506,0.865,10.0,3416,0,560,0.9946388006210327,0.9953829050064087,0.0,0.318584144115448,13.664
EKF_P,0.2506,0.865,10.0,2339,0,560,0.9946388006210327,0.9953829050064087,0.0,0.3195100724697113,9.356
REFF,0.3241,0.8393,10.0,1432,0,560,1.0179122686386108,1.0026730298995972,0.02650177851319313,0.0,5.728
TRIM,0.3241,0.8393,10.0,3370,0,560,1.0179122686386108,1.0026730298995972,0.0,0.0,13.48
SOLVE,0.3241,0.8393,10.0,21413,15,560,1.0179122686386108,1.0026730298995972,0.0,-30.17140007019043,85.652
FULL,0.3241,0.8393,10.0,24736,15,560,1.0179122686386108,1.0026730298995972,0.0,-30.17140007019043,98.944
FEAT,0.3241,0.8393,10.0,6133,0,560,1.0179122686386108,1.0026730298995972,0.0,0.0,24.532
FEAT_A8,0.3241,0.8393,10.0,3034,0,560,1.0179122686386108,1.0026730298995972,0.0,0.0,12.136
EKF,0.3241,0.8393,10.0,3416,0,560,1.0179122686386108,1.0026730298995972,0.0,0.191096231341362,13.664
EKF_P,0.3241,0.8393,10.0,2339,0,560,1.0179122686386108,1.0026730298995972,0.0,0.1920221596956253,9.356
REFF,0.2614,0.8409,10.0,1432,0,560,0.9834602475166321,0.9918394088745117,0.03379678726196289,0.0,5.728
TRIM,0.2614,0.8409,10.0,3382,0,560,0.9834602475166321,0.9918394088745117,0.0,0.0,13.528
SOLVE,0.2614,0.8409,10.0,23971,17,560,0.9834602475166321,0.9918394088745117,0.0,-49.557952880859375,95.884
FULL,0.2614,0.8409,10.0,27306,17,560,0.9834602475166321,0.9918394088745117,0.0,-49.557952880859375,109.224
FEAT,0.2614,0.8409,10.0,6165,0,560,0.9834602475166321,0.9918394088745117,0.0,0.0,24.66
FEAT_A8,0.2614,0.8409,10.0,3034,0,560,0.9834602475166321,0.9918394088745117,0.0,0.0,12.136
EKF,0.2614,0.8409,10.0,3416,0,560,0.9834602475166321,0.9918394088745117,0.0,0.25525715947151184,13.664
EKF_P,0.2614,0.8409,10.0,2339,0,560,0.9834602475166321,0.9918394088745117,0.0,0.25618308782577515,9.356
REFF,0.5306,0.9599,10.0,1432,0,560,1.3390192985534668,1.109284520149231,0.017460422590374947,0.0,5.728
TRIM,0.5306,0.9599,10.0,3599,0,560,1.3390192985534668,1.109284520149231,0.0,0.0,14.396
SOLVE,0.5306,0.9599,10.0,25250,18,560,1.3390192985534668,1.109284520149231,0.0,-75.12345886230469,101.0
FULL,0.5306,0.9599,10.0,28802,18,560,1.3390192985534668,1.109284520149231,0.0,-75.12345886230469,115.208
FEAT,0.5306,0.9599,10.0,6165,0,560,1.3390192985534668,1.109284520149231,0.0,0.0,24.66
FEAT_A8,0.5306,0.9599,10.0,3034,0,560,1.3390192985534668,1.109284520149231,0.0,0.0,12.136
EKF,0.5306,0.9599,10.0,3416,0,560,1.3390192985534668,1.109284520149231,0.0,0.2653101086616516,13.664
EKF_P,0.5306,0.9599,10.0,2339,0,560,1.3390192985534668,1.109284520149231,0.0,0.2662360370159149,9.356
REFF,0.2892,0.7669,10.0,1432,0,560,1.0214083194732666,1.003759741783142,0.06367304921150208,0.0,5.728
TRIM,0.2892,0.7669,10.0,3370,0,560,1.0214083194732666,1.003759741783142,0.0,0.0,13.48
SOLVE,0.2892,0.7669,10.0,36203,24,560,1.0214083194732666,1.003759741783142,0.0,-17.18892478942871,144.812
FULL,0.2892,0.7669,10.0,39526,24,560,1.0214083194732666,1.003759741783142,0.0,-17.18892478942871,158.104
FEAT,0.2892,0.7669,10.0,6133,0,560,1.0214083194732666,1.003759741783142,0.0,0.0,24.532
FEAT_A8,0.2892,0.7669,10.0,3034,0,560,1.0214083194732666,1.003759741783142,0.0,0.0,12.136
EKF,0.2892,0.7669,10.0,3416,0,560,1.0214083194732666,1.003759741783142,0.0,0.20542238652706146,13.664
EKF_P,0.2892,0.7669,10.0,2339,0,560,1.0214083194732666,1.003759741783142,0.0,0.20634831488132477,9.356
REFF,0.8082,0.8958,2.0,1340,0,560,0.9726477861404419,0.9883803129196167,0.014614746905863285,0.0,5.36
TRIM,0.8082,0.8958,2.0,3396,0,560,0.9726477861404419,0.9883803129196167,0.0,0.0,13.584
SOLVE,0.8082,0.8958,2.0,23594,18,560,0.9726477861404419,0.9883803129196167,0.0,-80.72747039794922,94.376
FULL,0.8082,0.8958,2.0,26943,18,560,0.9726477861404419,0.9883803129196167,0.0,-80.72747039794922,107.772
FEAT,0.8082,0.8958,2.0,6133,0,560,0.9726477861404419,0.9883803129196167,0.0,0.0,24.532
FEAT_A8,0.8082,0.8958,2.0,3034,0,560,0.9726477861404419,0.9883803129196167,0.0,0.0,12.136
EKF,0.8082,0.8958,2.0,3416,0,560,0.9726477861404419,0.9883803129196167,0.0,0.2036319226026535,13.664
EKF_P,0.8082,0.8958,2.0,2339,0,560,0.9726477861404419,0.9883803129196167,0.0,0.2045578509569168,9.356
REFF,0.6716,0.8231,2.0,1340,0,560,0.9930086135864258,0.9948680400848389,0.018051153048872948,0.0,5.36
TRIM,0.6716,0.8231,2.0,3382,0,560,0.9930086135864258,0.9948680400848389,0.0,0.0,13.528
SOLVE,0.6716,0.8231,2.0,23594,18,560,0.9930086135864258,0.9948680400848389,0.0,-74.55838775634766,94.376
FULL,0.6716,0.8231,2.0,26929,18,560,0.9930086135864258,0.9948680400848389,0.0,-74.55838775634766,107.716
FEAT,0.6716,0.8231,2.0,6136,0,560,0.9930086135864258,0.9948680400848389,0.0,0.0,24.544
FEAT_A8,0.6716,0.8231,2.0,3034,0,560,0.9930086135864258,0.9948680400848389,0.0,0.0,12.136
EKF,0.6716,0.8231,2.0,3416,0,560,0.9930086135864258,0.9948680400848389,0.0,0.2183169275522232,13.664
EKF_P,0.6716,0.8231,2.0,2339,0,560,0.9930086135864258,0.9948680400848389,0.0,0.2192428559064865,9.356
REFF,0.5222,0.8667,2.0,1340,0,560,1.0754483938217163,1.0203908681869507,0.015649331733584404,0.0,5.36
TRIM,0.5222,0.8667,2.0,3370,0,560,1.0754483938217163,1.0203908681869507,0.0,0.0,13.48
SOLVE,0.5222,0.8667,2.0,23594,18,560,1.0754483938217163,1.0203908681869507,0.0,-84.68608093261719,94.376
FULL,0.5222,0.8667,2.0,26917,18,560,1.0754483938217163,1.0203908681869507,0.0,-84.68608093261719,107.668
FEAT,0.5222,0.8667,2.0,6165,0,560,1.0754483938217163,1.0203908681869507,0.0,0.0,24.66
FEAT_A8,0.5222,0.8667,2.0,3034,0,560,1.0754483938217163,1.0203908681869507,0.0,0.0,12.136
EKF,0.5222,0.8667,2.0,3416,0,560,1.0754483938217163,1.0203908681869507,0.0,0.22478291392326355,13.664
EKF_P,0.5222,0.8667,2.0,2339,0,560,1.0754483938217163,1.0203908681869507,0.0,0.22570884227752686,9.356
REFF,0.6051,0.7954,2.0,1340,0,560,1.0133785009384155,1.0012608766555786,0.020943546667695045,0.0,5.36
TRIM,0.6051,0.7954,2.0,3370,0,560,1.0133785009384155,1.0012608766555786,0.0,0.0,13.48
SOLVE,0.6051,0.7954,2.0,22298,17,560,1.0133785009384155,1.0012608766555786,0.0,-68.84017944335938,89.192
FULL,0.6051,0.7954,2.0,25621,17,560,1.0133785009384155,1.0012608766555786,0.0,-68.84017944335938,102.484
FEAT,0.6051,0.7954,2.0,6165,0,560,1.0133785009384155,1.0012608766555786,0.0,0.0,24.66
FEAT_A8,0.6051,0.7954,2.0,3034,0,560,1.0133785009384155,1.0012608766555786,0.0,0.0,12.136
EKF,0.6051,0.7954,2.0,3416,0,560,1.0133785009384155,1.0012608766555786,0.0,0.237512469291687,13.664
EKF_P,0.6051,0.7954,2.0,2339,0,560,1.0133785009384155,1.0012608766555786,0.0,0.23843839764595032,9.356
REFF,0.5422,0.9774,2.0,1340,0,560,0.980747401714325,0.9909746050834656,0.010518091730773449,0.0,5.36
TRIM,0.5422,0.9774,2.0,3382,0,560,0.980747401714325,0.9909746050834656,0.0,0.0,13.528
SOLVE,0.5422,0.9774,2.0,23594,18,560,0.980747401714325,0.9909746050834656,0.0,-88.97489166259766,94.376
FULL,0.5422,0.9774,2.0,26929,18,560,0.980747401714325,0.9909746050834656,0.0,-88.97489166259766,107.716
FEAT,0.5422,0.9774,2.0,6165,0,560,0.980747401714325,0.9909746050834656,0.0,0.0,24.66
FEAT_A8,0.5422,0.9774,2.0,3034,0,560,0.980747401714325,0.9909746050834656,0.0,0.0,12.136
EKF,0.5422,0.9774,2.0,3416,0,560,0.980747401714325,0.9909746050834656,0.0,0.22943638265132904,13.664
EKF_P,0.5422,0.9774,2.0,2339,0,560,0.980747401714325,0.9909746050834656,0.0,0.23036231100559235,9.356
REFF,0.7606,0.8607,10.0,1432,0,560,1.0409291982650757,1.0097965002059937,0.021832037717103958,0.0,5.728
TRIM,0.7606,0.8607,10.0,3370,0,560,1.0409291982650757,1.0097965002059937,0.0,0.0,13.48
SOLVE,0.7606,0.8607,10.0,23862,17,560,1.0409291982650757,1.0097965002059937,0.0,-66.98460388183594,95.448
FULL,0.7606,0.8607,10.0,27185,17,560,1.0409291982650757,1.0097965002059937,0.0,-66.98460388183594,108.74
FEAT,0.7606,0.8607,10.0,6133,0,560,1.0409291982650757,1.0097965002059937,0.0,0.0,24.532
FEAT_A8,0.7606,0.8607,10.0,3034,0,560,1.0409291982650757,1.0097965002059937,0.0,0.0,12.136
EKF,0.7606,0.8607,10.0,3416,0,560,1.0409291982650757,1.0097965002059937,0.0,0.23469580709934235,13.664
EKF_P,0.7606,0.8607,10.0,2339,0,560,1.0409291982650757,1.0097965002059937,0.0,0.23562173545360565,9.356
REFF,0.622,0.9007,10.0,1432,0,560,1.234666347503662,1.070717215538025,0.02078201062977314,0.0,5.728
TRIM,0.622,0.9007,10.0,3457,0,560,1.234666347503662,1.070717215538025,0.0,0.0,13.828
